FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
2013,Alaska,Aleutians East,,4.35458925,4.246383299,,47.31285989,18.6,14.59033316,29.8,41.8,,86.68015,83000,High,57.01402806,100,9.043629009,44.17798324,20.74544929,13.31984975,1.040161803,9.56370991,1042,,,58.01603206,,,15.84699454,11.03406693,,17.2,
2016,Alaska,Aleutians West,85.91516727,3.952892538,4.311726044,,55.47722343,4.8,7.808430103,27.1,38.9,3,193.79845,104159,High,29.47799386,100,8.585271318,39.28294574,14.26356589,8.178294574,3.837209302,24.6124031,1844,,,77.48208803,,,14.4278607,6.918363313,,16.3,
2020,Alaska,Anchorage,76.34256887,3.880993013,4.880193079,81.79577922,70.09739169,9.9,4.570024271,19.9,34.7,335,781.61321,93881,High,63.73623317,4.269228524,5.117539107,10.37944595,9.601677882,9.686620641,3.368347461,55.19147077,89330,8.847613135,39.31068311,94.28375422,15.00864238,19.28012988,16.55185341,2.115852057,5.8,13.6,10.47752189
2050,Alaska,Bethel,68.86469516,6.53684338,6.488779002,51.10899183,32.53227408,36.2,39.85265045,35.4,41.8,16,2886.30378,62140,Low,60.50203819,72.69366763,0.932835821,1.042581212,1.443151888,85.03072871,0.181079895,7.967515364,5035,9.382550021,19.90914192,80.64792963,50.9662751,38.10436241,55.86283186,1.064730793,,33.8,18.15038894
2060,Alaska,Bristol Bay,,4.22241042,5.032400064,,65.56291391,18,11.67936327,21,38,0,0,99790,High,51.9434629,100,0.947867299,2.132701422,8.056872038,29.26540284,0.829383886,40.99526066,302,,,80.56537103,,,11.11111111,0.491400491,,18,
2063,Alaska,Chugach,,3.925913457,4.886989502,,75.48169557,7.9,,20,34.7,11,221.59846000000002,95180,High,62.70996641,100,1.639828631,7.430935146,5.805879746,11.5674398,0.782981238,67.05569508,2076,,,94.13960433,,,9.266409266,0.953552753,,14.9,
2066,Alaska,Copper River,,4.358014001,5.142004936,,68.53707415,20.1,,22.6,36.3,1,336.57442,69092,Low,67.71378709,100,0.822737472,3.029169783,2.655198205,18.99775617,0.411368736,65.70680628,499,,,81.15183246,,,21.16402116,0,,17.5,
2068,Alaska,Denali,88.59176224,3.806264676,5.0110293,72.5,41.2371134,11.3,33.09144787,20.7,32.3,1,,86118,High,78.23639775,100,3.977272727,6.060606061,3.03030303,7.323232323,0.063131313,74.30555556,970,,,81.8011257,,,27.35849057,0.615384615,,15.1,
2070,Alaska,Dillingham,68.17498243,5.835186128,6.393914167,,46.85714286,31.3,31.46643425,27.9,37.8,12,1041.89277,62598,Low,63.12364425,100,0.651182982,1.041892772,3.733449099,72.69372694,0.238767094,14.47796831,1225,,76.77275265,80.11569053,30.19844694,45.37205082,41.97080292,1.809436555,,27.4,18.8976378
2090,Alaska,Fairbanks North Star,77.68452072,4.191266097,5.184242118,70.10507569,71.61736097,7.9,7.731201721,20.3,36.8,82,850.90679,86780,High,61.69283503,25.36093252,4.727962885,3.442640236,8.821172501,8.219105863,0.686419232,68.14740616,29814,12.45005332,19.53942777,90.58215391,18.24975631,29.84950873,19.32011331,0.618403415,11.9,13.9,12.17015469
2100,Alaska,Haines,78.33646424,3.872201979,4.898751644,,81.78807947,13.1,10.08529376,19.9,33,6,531.40097,78649,Low,76.41824249,100,0.869565217,1.739130435,4.154589372,9.661835749,0,75.50724638,302,,,81.20133482,,,34.19354839,0,,15.7,
2105,Alaska,Hoonah-Angoon,78.26521221,4.73118614,5.43324093,,50.68181818,27.2,31.13017406,24.8,37.7,,221.04332,64720,Low,72.23427332,100,2.16622458,0.928381963,6.542882405,36.73740053,0.17683466,46.02122016,440,,,65.40130152,,,16.66666667,0.627802691,,20.6,
2110,Alaska,Juneau,79.79067596,3.85653015,5.216376702,86,71.00862712,9.5,1.961601361,20.3,32.8,41,1074.31469,99748,High,64.40858578,23.24910867,1.258120742,7.342734907,7.415623515,12.45761369,1.29931865,63.20709872,9389,5.353414586,33.50539751,93.32470696,6.007810153,11.90520947,13.77708978,0.97422901,4.8,14.8,8.962795941
2122,Alaska,Kenai Peninsula,77.88554785,4.614198512,5.136485694,77,60.4030824,12.1,7.868275777,20.3,30.2,48,408.34327,74185,Low,76.77600201,77.40097621,0.788919197,1.844078206,4.547310651,8.139098051,0.356075331,79.11732519,15183,14.72594059,28.90960744,86.86302402,13.90568319,23.89671235,18.09398331,0.517198626,,16.3,9.439421338
2130,Alaska,Ketchikan Gateway,77.62550496,4.23310096,4.864566101,82.5,65.52166111,11.7,0.400955588,20.7,38.8,17,1776.0955,87760,High,67.33677282,14.14539719,1.120978308,8.64026787,5.78686854,14.12869413,0.393070316,62.22157519,3901,,36.37069007,90.05515033,9.852216749,,17.59343665,0.575060533,,15.3,
2150,Alaska,Kodiak Island,77.43933418,3.943003019,4.472785428,87.5,69.24216243,8.8,11.48008115,22.7,38.7,18,429.76522,86250,High,60.69878472,27.25746126,1.249502587,24.62395543,8.651014723,12.31993633,0.79586152,47.39355352,4051,,,91.75347222,13.30008313,16.96431325,23.78255946,4.936646372,,16.8,
2158,Alaska,Kusilvak,64.99340696,7.532361367,7.201798498,68.40062112,22.96296296,36.5,,40.3,45.6,,112.48594000000001,42029,Low,69.43416182,100,0.387451569,0.424946882,0.249968754,93.37582802,0.037495313,2.762154731,2025,,,80.64516129,75.74536664,62.52555131,61.15702479,0.721921422,,38.3,28.95683453
2164,Alaska,Lake and Peninsula,,5.438757333,5.866739353,,43.26424871,27.3,41.60426557,27.2,40.4,0,225.39444,62547,Low,60.55900621,100,1.277235162,3.080390684,2.854996243,59.50413223,0.676183321,21.63786627,386,,,74.22360248,,,28.125,0.427807487,,23.5,
2170,Alaska,Matanuska-Susitna,76.2208921,4.739693805,5.354117724,86,58.0008979,10.5,8.187402145,26,34.2,54,369.66652,94376,High,76.63676226,50.0901187,1.252180252,1.752011038,5.508551792,6.972465919,0.514582737,77.31583926,31184,15.76773081,27.22724879,92.07953228,12.06091371,26.35640033,19.90540008,0.61659896,4.7,19.5,9.479710389
2180,Alaska,Nome,68.92418213,5.533259217,6.174011523,78.125,40.27673897,23,15.19547303,31,44,13,1126.7028599999999,75296,Low,63.35247667,100,0.911605039,1.884666598,2.222677456,75.77588856,0.184369559,12.93659736,2674,14.39698239,,83.48887294,55.0355672,36.27496423,51.93370166,0.275725157,,32.9,18.15336463
2185,Alaska,North Slope,75.75545043,4.489601057,4.8989768,72.5,54.57917261,14.2,7.106164536,24.5,39,4,94.31293,103556,High,49.52380952,100,1.669338866,5.649344525,5.422993492,51.79666132,1.857964727,31.02895407,3505,,,70.74829932,41.52902312,27.57262432,41.56769596,0.96538274,,22.3,17.57188498
2188,Alaska,Northwest Arctic,67.84905494,6.08280325,6.502170729,72.5,36.05,23,29.21955378,30.6,42.7,6,1113.97908,78619,Low,60.48431481,100,1.249830186,1.032468415,2.309468822,80.65480234,0.244531993,9.115609292,2000,,,88.2773803,54.22264875,36.92080487,50.14245014,0.3077825,,29.2,19.69407266
2195,Alaska,Petersburg,78.46581226,4.005476437,4.910892025,,63.74663073,11,0.667492903,20.7,33.3,5,437.70061,68449,Low,70.96285064,100,2.188503064,7.003209805,5.194047272,10.50481471,0.846221185,67.84359498,742,,,86.656558,,,15.70247934,2.561728395,,16.3,
2198,Alaska,Prince of Wales-Hyder,71.90226246,4.905345873,5.520456237,,52.59087394,22.1,8.84107309,24,36.2,10,1000.70225,57304,Low,71.59284497,100,0.79002809,1.492275281,4.248595506,41.78370787,0.491573034,43.69733146,1293,23.28776694,,77.51277683,21.4953271,,20.12987013,0.27619223,,22.1,
2220,Alaska,Sitka,79.00676032,3.847252224,5.064749157,86.625,74.58949097,10.6,6.24763201,20.7,31.8,18,2994.4457899999998,89264,High,61.66143306,9.340269567,1.159140304,8.476213475,7.280850036,15.09297271,0.338082589,61.12050229,2436,,,89.72309449,,,14.68023256,1.098901099,,15.8,
