FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001,Arkansas,Arkansas,68.69002717,5.2203768926,6.6705969874,88.391089109,52.136096188,23.1,23.658697369,36.1,43.7,8.0,141.04371999999998,50198,Low,67.451039927,52.580325383,24.970871405,0.8646593487,4.3110320721,0.4783221929,0.0551910223,67.670325627,3909,34.411280345,,80.962501898,39.256198347,27.948574623,10.614101592,0.5648283303,7.2,22.8,
5003,Arkansas,Ashley,70.864945848,5.858225708,6.5379921206,89.174008811,50.661764706,25.2,9.444407986,36.2,43.8,8.0,87.61362,49560,Low,72.135018753,62.312454097,23.568064834,0.3614061987,6.5874493484,0.9363706056,0.1204687329,67.665096923,4080,24.114874493,24.837227456,79.677733018,34.020362553,19.777245758,12.569060773,1.2854786417,7.4,21.2,
5005,Arkansas,Baxter,74.173299685,5.2509373644,6.221456321,90.580246914,60.043907794,20.6,5.6192546204,29.1,37.4,36.0,305.53936000000004,48804,Low,74.95982166,57.280130684,0.5457725948,0.6833819242,3.0390670554,0.9469387755,0.1142857143,93.359766764,8199,15.710972748,14.193232982,85.499507491,24.67385139,34.225086989,10.883992567,0.1709359362,7.6,21.0,12.881355932
5007,Arkansas,Benton,78.171667307,4.4587780348,5.572248663,89.604960836,67.046172581,9.0,6.6890514669,23.1,34.0,175.0,252.72256,92632,High,67.20350711,24.00424854,2.0037747618,4.8702144283,18.71015038,1.9436486578,0.8678093842,69.878107989,87043,11.265916931,14.457902091,93.019216659,19.267123391,10.855360669,10.503412125,3.8352665512,9.3,13.8,7.2702858239
5009,Arkansas,Boone,74.194103081,5.1685719345,6.4717988903,94.68574514,59.292035398,18.7,8.8325340069,29.5,39.3,23.0,150.53205,56154,High,70.292804622,62.673587884,0.5476252271,0.7033480405,3.3584220088,0.965481443,0.0778614067,92.538281858,8927,20.506121457,15.825706222,87.834821429,25.062327779,21.733253468,10.368663594,0.382115862,7.7,20.0,
5011,Arkansas,Bradley,71.526980159,5.5457211466,6.5140910167,93.084415584,45.931863727,28.7,10.207484005,35.6,43.8,6.0,89.07363000000001,44525,Low,66.861111111,49.947842579,27.54354711,0.6235154394,16.458828187,1.7319873317,0.0791765637,53.553048298,2495,30.789001633,,77.611111111,34.15061296,22.709208584,10.661268556,0.6167763158,8.1,22.3,
5013,Arkansas,Calhoun,69.873328055,5.1929011764,6.3913020421,,47.637415622,17.8,24.688448274,32.7,40.8,1.0,,57689,High,86.363636364,100.0,21.029950442,0.3232062056,2.9304029304,0.7972419737,0.0215470804,72.67830209,1037,48.014460826,,80.303030303,30.303030303,,5.7432432432,2.9482948295,8.2,22.5,
5015,Arkansas,Carroll,75.265721648,5.0919174255,6.2341039492,84.368770764,41.3102675,19.4,6.8550358313,29.5,37.2,19.0,90.23391,53986,High,77.678732217,82.105449398,0.6732838204,2.7243700979,15.96446172,1.4090372735,1.7040327619,76.143541334,6243,23.273934206,24.574912525,85.656401945,35.416666667,20.414484429,14.72694718,4.2729356103,7.9,18.1,
5017,Arkansas,Chicot,69.765682445,5.7790595024,6.6672351359,,50.370713624,37.2,16.10584628,38.5,47.6,6.0,576.64081,40381,Low,67.389640214,100.0,52.390438247,0.8072971273,6.6680645838,0.6395470749,0.0524218914,38.676871462,2158,25.016330104,,77.57080888,38.914490527,33.748908124,14.570361146,1.1495476317,8.6,23.4,
5019,Arkansas,Clark,72.060403275,5.2002772594,6.3880578882,90.318877551,54.243041412,20.4,10.706435376,33.4,43.5,10.0,329.04013999999995,53561,High,61.544126672,52.970250863,22.558052082,0.8367020777,5.8945191313,0.7520917552,0.4371533327,68.120710727,4419,22.726534853,,80.557260341,16.994842944,19.256338545,14.276846679,0.8370673101,8.4,21.5,
5021,Arkansas,Clay,72.812563789,5.5091876658,6.4207026732,,49.431137725,22.3,7.0996772649,33.6,38.8,1.0,98.58460999999998,47663,Low,71.468279922,100.0,0.9013449757,0.2535032744,2.5491162594,0.690092247,0.0422505457,94.077881839,3340,39.128223187,,78.711576194,38.797623209,22.103111013,9.837398374,0.0,8.1,23.6,
5023,Arkansas,Cleburne,75.349563892,5.1774553356,6.4026850613,93.91025641,42.700801251,20.6,6.6200988478,30.4,37.9,17.0,125.76145,56692,High,78.542742398,72.712557161,0.6445274121,0.5462762822,3.0575751621,0.8410296718,0.0550206327,93.26783258,5117,25.08122898,13.291862722,82.788296041,32.441911442,19.981137806,9.7515236756,0.3921568627,8.1,21.2,
5025,Arkansas,Cleveland,71.536978287,5.4989679913,6.8987509997,,56.767561393,20.8,7.6178501897,35.3,44.0,,,54458,High,79.197994987,100.0,10.748170236,1.0165356465,2.7785307671,0.6370290052,0.0542152345,83.166169694,1751,36.130430855,,79.054779807,22.24824356,28.268914474,5.4644808743,0.0,8.0,23.9,
5027,Arkansas,Columbia,71.487972258,5.0946113922,6.2209780707,90.993421053,52.489748096,27.8,8.6118965991,31.3,42.1,14.0,203.16027000000003,44175,Low,69.142447076,54.374808122,34.911963883,1.0744920993,3.5575620767,0.6410835214,0.0586907449,58.496613995,5121,23.34998556,,78.758521708,19.242942145,24.302813051,13.835263835,0.5111942065,8.5,19.8,
5029,Arkansas,Conway,73.106625379,5.6176351443,6.4132522648,89.674369748,49.649904519,23.0,9.7478411188,35.2,40.8,12.0,237.22540999999998,53863,High,71.468144044,69.394158822,11.415286806,0.6357641031,5.0291787256,0.9489016463,0.0379560659,79.793139441,4713,23.2009062,19.060931444,79.597735758,29.702970297,12.417258078,9.8108747045,0.9781066288,8.5,24.1,
5031,Arkansas,Craighead,74.431998348,5.2376314194,6.420873373,89.856144224,62.270434865,23.1,9.1221758572,33.0,41.3,138.0,413.18327,60204,High,59.20151302,33.668671503,18.086198275,1.320256507,6.4714500013,0.5745966858,0.0956199065,71.786864106,31527,16.248115219,13.334123504,87.432248541,25.465508069,17.614177616,13.292726621,0.958686542,8.5,19.8,6.7277368974
5033,Arkansas,Crawford,73.195992697,5.2580324691,6.3313812175,93.230263158,51.583769634,18.3,13.186038528,30.0,37.9,21.0,67.86124,63905,High,74.241106376,49.40881047,1.7336931056,1.9130406683,8.9641466449,2.7920052996,0.1163335542,81.895590635,15280,15.568193265,24.3424825,85.213533965,29.413839317,15.408073188,11.846153846,1.1973741794,8.7,18.9,10.187861272
5035,Arkansas,Crittenden,69.161773093,5.3195831771,6.442830519,86.364005413,52.706576728,29.3,10.622443126,35.7,43.0,13.0,241.83796999999998,52153,High,56.6146799,18.375101219,55.669403254,0.7339994484,3.4493731305,0.5154967225,0.061520185,38.369502959,11860,20.208984677,22.503199674,84.093139928,47.680634592,34.800984491,15.921336207,0.3240719757,7.5,22.6,14.9324861
5037,Arkansas,Cross,70.901982646,5.483468361,6.7260716419,92.96875,47.567831826,25.4,14.551487695,32.9,42.3,7.0,103.53228,47669,Low,66.063764562,55.064456722,22.801461632,0.9378806334,2.2898903776,0.4628501827,0.0791717418,72.113276492,4091,30.063821198,28.326319197,81.637032495,31.085043988,16.965789697,14.866979656,0.6269191402,8.4,21.8,
