FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,63.845346311,6.5741922947,7.5754826296,77.469387755,56.358005574,35.7,35.341359051,31.6,42.7,27,119.93358,43121,Low,79.133029992,100.0,0.6365705148,0.581216557,6.6286364475,73.187157882,0.076880497,19.369272403,16145,61.462940086,39.422460947,53.309848818,24.015623351,22.213567586,27.873489329,4.2289564471,3.3,27.1,18.086625416
4003,Arizona,Cochise,76.089432366,4.6354798451,5.9292248021,73.366256477,62.286557751,19.6,15.553432777,24.0,35.2,73,144.41592,53011,Low,70.500832079,36.767718638,3.6874197689,2.2272143774,34.79139923,1.7883504493,0.4131899872,55.7228819,29809,16.206151311,34.549784657,86.13202314,23.582695611,19.466491521,11.941510967,3.6249737229,6.5,15.3,6.357331572
4005,Arizona,Coconino,75.864470435,4.5850692621,6.1352985015,84.479890934,73.300455028,20.9,13.317311456,18.0,32.9,119,257.48934,71528,High,58.843816413,32.404325263,1.2348413533,2.2246525278,15.629326098,27.028074644,0.1771969655,53.44703472,36701,21.608492137,28.035672497,83.054323105,10.114942529,17.689919392,24.267659449,1.5923196558,5.3,13.8,3.9096630877
4007,Arizona,Gila,69.593726569,5.4308647625,6.638142438,75.325091575,48.828846341,28.0,11.015265243,24.5,36.8,24,92.58745,55804,Low,77.168537393,44.35726085,0.638853397,0.885136011,18.282317649,18.065663019,0.1833231487,62.387274781,10289,30.256543641,40.169577416,80.694964091,32.271944923,40.412129571,17.619367855,0.4703999375,6.0,18.5,11.956521739
4009,Arizona,Graham,73.543255415,5.1437442873,5.9283869986,86.185328185,48.607709751,20.4,15.74426948,25.6,37.6,16,58.19102,66469,High,73.539325843,52.427789168,1.5003162555,0.8450347881,30.975332068,13.148640101,0.2504743833,53.447185326,11025,21.560216197,36.739576213,84.077046549,28.733306354,14.95238439,16.587473002,0.9581497797,5.4,15.7,12.210915819
4011,Arizona,Greenlee,75.103455247,4.5545688761,5.5851673061,95.546875,60.702022129,9.6,14.048794021,25.0,37.7,6,,71273,High,55.807200929,100.0,1.5903511581,1.1420642545,46.888675419,5.4328103319,0.1174084748,45.031486818,2621,21.181312031,35.654437195,86.8757259,24.173655649,,6.7381316998,0.8006405124,5.4,13.4,
4012,Arizona,La Paz,69.329962473,5.6291311932,6.157131773,83.794642857,43.870967742,29.3,26.486596307,29.2,39.0,6,89.76661,48801,Low,70.428716102,43.419701637,0.987432675,1.3764213046,25.296229803,17.10353082,0.3411131059,58.569718731,2635,44.35782952,62.506894143,75.706087544,36.66921314,39.33747412,19.124423963,4.9047349557,4.2,18.6,
4013,Arizona,Maricopa,77.470431797,4.1252926687,5.4517249661,76.969872368,68.456292157,13.9,5.5091398411,22.0,34.9,3144,213.78709,86973,High,65.013002683,2.3046585869,6.0804370642,5.1415314561,31.405898683,2.9330524125,0.3065284654,53.213337226,1251137,12.692503098,36.573929789,92.064710589,16.111419833,15.548252839,17.075942775,4.1607388472,12.6,11.8,7.4126996064
4015,Arizona,Mohave,72.784224521,5.2493275255,6.4955744996,78.715741789,53.08254717,22.7,18.697614504,27.3,41.7,116,80.47138,56302,Low,73.630274822,23.932441494,1.2893303887,1.4489319659,17.630385994,3.0328770308,0.2812027789,75.532675852,42400,20.135660658,29.586069536,86.726385205,23.239978684,32.113008089,14.949559991,1.2186410858,6.1,17.6,16.001017553
4017,Arizona,Navajo,67.131288084,6.0288699749,6.7727710037,81.033287101,51.116465863,29.0,26.001611185,25.9,37.8,68,106.25143,51011,Low,72.742590182,64.25311806,0.8664987406,0.8051293794,11.097778796,43.724295855,0.1776963591,43.506297229,24900,40.168473598,41.956893852,71.343596028,28.549530561,24.169601547,22.931765349,2.7965322605,5.3,22.4,18.044027427
