FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
6001,California,Alameda,81.980724102,3.8422362146,5.3320567738,88.771180181,78.665401985,9.0,1.117399283,18.8,35.1,1847.0,766.37233,119230,High,54.072299395,0.4905629199,9.6429020557,34.532310682,23.338601938,1.2211901457,0.9272044917,27.881786821,520816,6.8341540646,19.899284921,93.499258999,6.9718708414,8.746118306,23.387228483,7.7992813296,11.8,10.1,4.6670439055
6003,California,Alpine,,4.4077414406,5.8573248394,,65.060240964,26.8,16.785138519,18.1,35.1,0.0,350.56968,83265,High,80.972515856,100.0,1.226993865,1.8404907975,12.620508326,23.049956179,0.0,61.700262927,415,,,86.89217759,,,11.494252874,1.5645371578,9.7,13.4,
6005,California,Amador,78.51853107,4.3934964947,5.7026042145,92.306748466,62.899086336,13.9,0.0956320635,18.9,34.4,19.0,303.74782000000005,80767,Low,80.063488112,69.229628898,2.7456889335,2.0090406831,16.459783311,2.2075530363,0.3754992705,74.690870823,9741,23.749721121,20.365935122,87.949707457,9.2116917626,21.298832527,18.707372524,0.8873789362,14.2,13.3,
6007,California,Butte,75.71472799,4.8944546293,6.1778189174,87.600041684,71.16797422,20.8,6.4508673972,22.5,33.7,122.0,888.1509100000001,63084,Low,58.275547999,21.016670447,1.7598903327,5.6696850926,20.564555056,2.7547158882,0.3156797251,66.396520765,52133,18.50215902,47.902781226,90.737749712,11.226642556,12.421231778,20.494782507,2.6741660241,16.1,14.2,7.4385563812
6009,California,Calaveras,78.844903669,4.7668852133,6.0115033085,94.883908046,59.727074236,15.5,5.9895027663,20.1,35.1,18.0,231.93386,77041,Low,84.366094876,81.974741676,0.8933748524,2.2785353807,15.21743799,2.0852571674,0.2684419628,77.092236658,9160,26.132404181,20.130561067,85.556238476,11.429339788,15.611516095,19.660916121,0.677313399,12.7,14.8,
6011,California,Colusa,79.183410513,5.2337210228,5.9830893069,89.965753425,51.299394802,14.2,12.356254156,27.2,34.8,6.0,245.04243000000002,66675,Low,62.228770426,42.703420486,1.0845396379,1.760675228,63.434224259,2.935971321,0.6398330081,30.866270363,5618,26.323409408,16.822401321,82.935976426,16.371847949,,16.358658453,13.945295298,12.8,14.7,
6013,California,Contra Costa,81.18311538,3.9461303924,5.1478808915,91.489171179,71.833483855,10.1,2.8674706151,18.6,35.8,1178.0,411.15993000000003,122000,High,67.654775034,1.0001483798,8.4567866496,20.658427307,27.812644748,1.1199757581,0.6425834939,38.683578278,305604,8.7997806633,21.667023942,95.302699788,7.1850689988,8.2085697121,20.627985337,6.1419011028,11.1,10.5,5.1651581444
6015,California,Del Norte,73.808348464,5.1262329692,6.1820699065,86.972727273,57.085237967,21.0,14.445116634,26.5,39.1,17.0,503.96781000000004,70231,Low,71.208814053,43.697509282,2.5724923841,3.3810974463,19.790138779,10.037985633,0.2256572267,62.649968032,7438,19.091847265,56.524353578,90.250493712,23.622047244,18.012825131,17.418677859,2.1511605453,10.3,19.2,
6017,California,El Dorado,80.602033471,3.7839470727,5.2220606917,94.048695333,72.700331087,7.8,4.258567239,15.2,33.8,146.0,437.53089000000006,107063,High,76.38505527,36.672333081,0.9317691127,5.6665712874,14.731940795,1.3594152381,0.2533621205,74.458288895,43191,13.014941003,23.497214889,92.363871683,5.6281675113,9.3524664013,17.542094318,1.4047759113,14.6,10.6,6.7011494253
6019,California,Fresno,75.915782071,5.0375110591,5.9953952187,81.508852691,58.161646516,23.3,5.3493111124,26.1,36.2,685.0,488.81102999999996,71271,Low,55.416978362,11.265012581,4.6912881134,12.153619581,54.930286424,3.1836619929,0.3046712323,26.377902438,286180,17.790846009,19.605972758,87.152155896,19.889342787,11.72561659,26.302398066,9.7958415195,20.3,14.2,8.2253917828
