FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
8001,Colorado,Adams,76.868546414,4.1138821009,5.4110465947,80.984166136,60.647708652,12.8,4.7352981235,23.3,34.0,271.0,419.22511,95278,High,68.873943038,4.0410183767,3.6385964583,4.8045897275,43.17793631,2.4319181049,0.275233658,45.702473916,165383,12.388059577,34.785977046,92.129279211,17.390307605,15.006423904,18.147896879,5.7891442587,9.2,14.8,9.5402298851
8003,Colorado,Alamosa,72.967340218,4.554623145,5.6997383533,72.704081633,64.063548892,26.0,12.574632801,23.8,34.1,12.0,1513.05914,50056,Low,56.392694064,33.042256961,1.2548784149,1.6211347944,48.724106875,5.9561693185,0.3422395677,45.589912939,4469,18.191268191,58.80086782,89.710806697,16.864343958,19.456435824,18.577075099,3.0976863753,5.3,16.6,
8005,Colorado,Arapahoe,79.092212115,3.6518642365,5.1336798291,82.77601284,73.729377229,13.2,2.103148407,17.6,32.9,543.0,503.30686000000003,97560,High,65.123872543,2.0635962569,11.020164284,6.9156679028,21.995210811,1.2730523534,0.3417365154,56.168862347,199961,9.6354655367,24.845541013,94.209697113,12.05248428,14.774272619,16.8190091,4.2930401032,5.9,12.6,6.990327266
8007,Colorado,Archuleta,79.636926837,3.9908482411,5.4922425543,92.5,56.850649351,18.0,10.708222627,16.4,29.6,12.0,232.57452999999998,74432,High,77.45596206,57.841155775,0.6201987455,1.0994432307,16.815843259,3.3617591092,0.1480019734,78.039326239,3080,14.590628648,,89.295392954,18.0696342,20.062192798,16.551126516,0.3028009084,5.0,11.1,
8009,Colorado,Baca,69.755336433,5.0306625793,6.4248668099,,66.952264382,29.1,10.293080398,24.4,36.0,2.0,29.904310000000002,47421,Low,71.876961707,100.0,0.9868421053,0.4186602871,10.885167464,2.5717703349,0.0,83.253588517,817,44.360204863,,82.297551789,16.417910448,,12.539184953,0.2133495885,5.5,20.5,
8011,Colorado,Bent,74.752989176,5.211134766,5.9795291002,40.178571429,32.573289902,27.4,5.1260799373,25.8,35.8,,52.80760000000001,44960,Low,66.08,100.0,6.442527724,1.5490230593,33.233585636,3.5733145573,0.1232177434,56.398521387,1842,,,83.36,30.998851894,,18.005540166,0.4336349925,,19.2,
8013,Colorado,Boulder,82.281546404,3.7278539626,5.085330904,92.0,84.836060814,7.8,2.6040508857,12.5,24.7,395.0,943.30097,97170,High,62.457294979,9.402644834,1.0718077539,5.19259189,14.741563683,0.8958758502,0.0841413452,76.17178297,86099,8.7673308212,16.663584581,94.956000887,4.9561652341,10.999379146,18.568716781,1.4486867905,10.2,10.3,6.0019638327
8014,Colorado,Broomfield,81.869898342,3.3686107555,5.0310341065,,86.390037842,5.1,5.0412052139,12.7,30.7,88.0,283.63258,113162,High,62.588532066,0.395347582,1.4181628936,7.6437678897,14.531615925,0.9497788186,0.1678376269,73.597449909,22726,5.0172190959,15.200150213,95.983312312,5.3081305023,10.18122582,11.683907071,1.1571424583,9.6,8.9,6.5896560777
8015,Colorado,Chaffee,81.047847697,4.008848566,5.3622167019,90.40960452,64.900662252,11.5,2.9234847015,18.0,30.7,19.0,329.8249,75298,High,72.941816204,43.566440748,1.794635495,0.9894747053,10.20517049,1.7364311005,0.1067080565,84.464277053,5134,10.71145483,21.326158995,86.481783578,5.0706265846,24.669186213,17.096018735,1.2255800555,4.7,14.6,
8017,Colorado,Cheyenne,73.825322994,4.2430235779,5.6470059799,,77.142857143,19.6,8.9192835242,18.1,31.4,0.0,,63177,Low,72.703062583,100.0,1.3896931094,2.0845396642,12.680949624,1.6213086277,0.0579038796,81.123335263,455,,,88.814913449,,,6.3309352518,2.2262334537,5.9,13.6,
