FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
9001,Connecticut,Fairfield,81.152519652,,,89.707365231,,,3.0183378694,,,879.0,,,,,,,,,,,,,,,,6.652263654,,,,8.1,,
9003,Connecticut,Hartford,78.328706504,,,88.664588922,,,3.6661013083,,,851.0,,,,,,,,,,,,,,,,9.0564340546,,,,7.8,,
9005,Connecticut,Litchfield,79.131059491,,,89.443357058,,,3.3720152513,,,102.0,,,,,,,,,,,,,,,,4.2961477875,,,,5.7,,
9007,Connecticut,Middlesex,80.434918718,,,95.040199336,,,5.7770320657,,,129.0,,,,,,,,,,,,,,,,3.1501162893,,,,,,
9009,Connecticut,New Haven,78.009675659,,,87.103124305,,,4.8752355108,,,738.0,,,,,,,,,,,,,,,,9.5828579932,,,,8.2,,
9011,Connecticut,New London,78.079982622,,,89.969262295,,,7.6796184154,,,161.0,,,,,,,,,,,,,,,,7.7333956801,,,,6.9,,
9013,Connecticut,Tolland,80.205187013,,,93.2635318,,,6.5472527364,,,73.0,,,,,,,,,,,,,,,,2.096692112,,,,,,
9015,Connecticut,Windham,77.22349753,,,83.072283151,,,2.567837933,,,50.0,,,,,,,,,,,,,,,,8.8828277616,,,,,,
9110,Connecticut,Capitol,,4.0023164007,5.4309102588,,72.498391216,11.9,,23.9,37.5,,655.57433,90965.0,Low,65.390170811,11.980972048,12.472419535,6.4041020047,17.932633945,0.6205092031,0.1195495259,61.121489386,250189.0,7.5107759985,38.412670272,90.547076996,,6.3987153662,16.467267595,3.6563643837,,12.4,4.1890461065
9120,Connecticut,Greater Bridgeport,,3.9286266111,5.0599829067,,66.390822605,13.8,,25.5,37.6,,357.69767,92858.0,High,65.375417248,2.8580812701,12.628681127,5.5208133044,26.786123039,0.8683019432,0.1498545709,53.591473855,79151.0,6.8965457036,35.850397919,89.97169054,,6.2330805473,22.735146371,7.6796231623,,12.7,4.7349050035
9130,Connecticut,Lower Connecticut River Valley,,3.7110859721,5.3081848533,,76.07011025,7.6,,19.6,34.6,,519.2520499999999,99807.0,High,75.229544714,31.342803846,5.2628890844,3.4997020685,8.019181114,0.486905201,0.0925006384,81.048151406,40907.0,8.4118302687,30.385040746,91.045039661,,5.6618088347,13.271972318,1.737482795,,11.6,3.2109032109
9140,Connecticut,Naugatuck Valley,,4.1712934757,5.5345305865,,66.786134774,17.1,,24.9,36.8,,371.16774000000004,81392.0,Low,67.640462039,9.2034211414,12.284490319,4.3325557738,20.723349586,0.818849095,0.1192647678,60.696120387,115512.0,9.3123315089,52.486733336,89.011438825,,7.0031249794,16.43161674,3.8450429298,,13.5,6.6768109928
9150,Connecticut,Northeastern Connecticut,,4.3910418674,5.7741085957,,60.715612232,10.5,,22.5,37.4,,378.52149000000003,88129.0,Low,76.197165113,62.404035743,2.1284077276,1.6350887354,5.6188722955,0.6577586564,0.0682579738,87.917304431,24231.0,11.434986902,30.14678365,90.197931299,,6.02935673,12.11778625,0.867330198,,14.8,6.7203028869
9160,Connecticut,Northwest Hills,,3.9416351193,5.5476555612,,67.355467843,9.7,,22.4,34.8,,388.67296,91206.0,High,75.864781546,60.024177133,3.2671443554,2.5867463402,9.320218926,0.5014850656,0.1084053833,82.977710796,25842.0,10.597523712,39.446338261,92.086743914,,5.8286380416,15.716180371,1.7341896319,,13.4,5.7809131883
9170,Connecticut,South Central Connecticut,,4.2131183177,5.5333056865,,69.543657674,16.5,,26.1,38.4,,605.9934000000001,80953.0,Low,60.555284778,3.627427093,13.857940925,4.8518193883,19.929315437,0.8397312015,0.1057804343,59.17438459,144190.0,8.3484768889,51.287061007,91.552610664,,6.6289398581,19.017645331,3.7937656472,,13.0,4.84375
9180,Connecticut,Southeastern Connecticut,,4.2792905134,5.5310873847,,68.467756989,16.5,,23.8,38.5,,522.46866,82733.0,Low,65.390959791,26.110972435,5.4045645379,4.0345594599,15.206305385,1.4000443437,0.1619974681,71.642575652,69643.0,8.4572154058,52.4245461,90.585370537,,5.2781175665,14.342604857,2.7136643507,,13.8,4.4956369983
9190,Connecticut,Western Connecticut,,3.4430331094,4.7454321622,,76.783204787,9.1,,20.7,33.4,,430.67315999999994,121285.0,High,66.196255365,8.4621842917,10.338399794,6.0710971347,20.863045294,0.7674220677,0.1158826556,61.053810905,151567.0,4.1458325221,17.262849599,94.164345464,,2.5653770303,19.708475168,5.7624306387,,10.4,4.5701815422
