FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
12001,Florida,Alachua,77.679971344,4.2825990962,5.6158156612,86.605537903,77.234916005,17.5,7.2112684015,24.4,37.7,434.0,694.76982,61843,Low,54.066468043,23.241449646,19.479079981,6.389644538,12.625090037,0.4220368259,0.0916103135,58.755428436,74052,13.603477028,18.214805281,87.714584663,8.6539143594,11.940428909,20.99423837,1.1517008933,7.8,15.6,2.8480725624
12003,Florida,Baker,73.481120682,4.5471564739,5.911497233,81.0,46.481987255,19.3,17.074924923,29.8,40.0,11.0,133.95374999999999,69399,High,83.200177541,61.495452776,12.676254935,0.9165256627,4.2829949239,0.5463902989,0.0705019741,79.607304005,7689,23.015074874,45.304586218,88.426542388,38.015989558,15.315108354,9.9648300117,0.254028436,7.9,19.2,
12005,Florida,Bay,74.18906107,4.1634789944,6.0948783008,85.0,64.303577484,15.6,10.336153069,24.4,40.1,103.0,279.91969,70859,High,68.283454636,14.209318784,11.19206999,2.4275432591,9.3201725647,0.8429042454,0.1687905268,73.348919374,47184,19.000073625,37.8997207,91.522373157,25.856380107,19.093004145,15.51180022,2.2475518677,8.3,16.3,5.9430512017
12007,Florida,Bradford,74.119175887,4.9197655218,6.3682249908,77.5,39.99492772,22.0,0.3741817202,29.2,43.0,4.0,118.45789,59468,Low,70.858963093,70.748683885,17.40254146,0.6784406634,5.1618924546,0.6963888291,0.0682030297,74.258740757,7886,32.931466531,28.420529096,88.126098418,31.262687779,14.95950249,19.129949805,0.1246317698,8.0,21.4,
12009,Florida,Brevard,75.835402526,3.9430305376,5.5658276383,87.0,70.210142138,15.0,12.056888393,22.4,35.6,446.0,199.54067,77961,High,76.920786537,3.8804046079,10.244744006,2.8286636676,12.518420632,0.5028114271,0.1402219638,71.593017785,140286,15.91337441,48.012156613,92.069125686,13.205993133,16.859978046,14.825575405,1.3210779025,7.9,13.6,7.3366986754
12011,Florida,Broward,79.272690806,3.7482898127,5.250410775,87.0,68.385119184,15.9,2.3787990307,26.0,40.5,1462.0,260.07232,74367,High,63.259902959,0.0078174221,28.571472247,4.0596046636,33.046407929,0.4579800268,0.1333482121,32.490391235,518063,13.992693179,35.400268055,90.945618465,9.9848595594,12.125067453,24.524038691,7.7538833569,9.3,13.4,6.6169553746
12013,Florida,Calhoun,72.721239094,5.3976679843,6.1441896268,92.5,36.346414073,26.7,20.480070874,29.5,40.9,4.0,111.35857000000001,47523,Low,76.886486486,100.0,12.464736451,0.9576837416,5.5159613957,1.5590200445,0.1781737194,77.691165553,3695,28.345532036,,85.340540541,26.243634939,,11.679644049,0.5636195182,8.0,19.8,
12015,Florida,Charlotte,78.806582538,4.1588147266,6.0947134399,88.0,58.675244535,13.5,13.804222709,23.0,37.1,121.0,125.64641999999999,71381,High,83.169291339,6.4999705642,5.4925436852,1.5941086866,8.3106134844,0.4123531295,0.0810152619,82.787410131,30466,15.82969062,23.977778341,90.887657938,14.332532226,15.62947989,14.331460335,1.35460058,7.9,16.1,12.105535437
12017,Florida,Citrus,72.50908895,4.3737511105,5.7754811439,87.0,48.437095402,21.3,15.663662434,22.9,39.6,73.0,110.38057,54447,Low,84.832355346,24.97416197,3.0570619571,1.6329126074,7.2497240486,0.5039113116,0.0719873302,85.92647694,27033,24.70588679,50.039905241,89.295705944,20.367816092,25.025674008,12.058622523,0.7976208334,8.2,15.2,10.760910108
12019,Florida,Clay,75.419766887,4.1675898388,5.777870578,90.0,68.244789574,10.5,8.5847232863,21.1,40.5,119.0,144.98428,82249,High,76.244235968,14.42553094,13.119571156,3.3329174536,11.732540581,0.5592865225,0.1974711645,68.494959968,57241,17.621029946,34.887881679,94.40047947,13.178278977,15.00844451,11.002776522,1.2325739544,8.8,13.7,4.8731583994
