FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
13001,Georgia,Appling,71.486667076,5.4103424801,6.1325997663,92.0,47.45412844,33.5,23.204908294,30.7,38.3,8.0,102.94197,51054,Low,71.7919568,70.971589677,18.491629192,0.9481497535,11.052717126,0.7151758141,0.2546459338,67.752072384,4360,27.114337287,19.912745968,72.189853631,38.928210313,10.853756485,11.002260739,2.5072379849,8.7,18.7,
13003,Georgia,Atkinson,69.120830275,6.0047523486,6.1377008543,97.5,36.873156342,34.3,14.950574231,34.6,38.8,,,44890,Low,64.597052368,100.0,15.121186543,1.1817195225,28.590377427,2.0258048957,1.4470034969,53.213553599,2373,34.456619117,,78.708058953,47.784967646,,15.31986532,8.3592534992,8.5,20.3,
13005,Georgia,Bacon,69.469153029,5.1777106973,6.2356142574,92.5,52.388535032,31.1,1.3038942796,31.8,40.5,5.0,8.98957,48915,Low,73.909793172,100.0,16.855447681,1.0427903632,8.4232290543,0.4944264653,0.2247393024,71.790722762,2512,20.422229597,30.024620189,81.684525293,39.468542399,17.967837571,14.193548387,0.6312417562,8.5,21.8,
13007,Georgia,Baker,71.773104609,5.2132858307,5.9469242876,,65.055762082,39.1,28.043420129,30.7,40.6,,36.45643,47850,Low,72.710951526,100.0,41.268683923,1.7134524244,6.0153117025,0.9843237331,0.0729128691,48.669340139,538,,,57.8994614,18.518518519,,10.833333333,2.4972855592,9.4,17.1,
13009,Georgia,Baldwin,72.73573337,4.6458574067,5.6591223538,88.0,56.901028144,29.2,12.87980186,29.6,43.0,19.0,214.30546999999999,51206,Low,64.223950233,48.763670403,41.752696101,1.67757397,3.0509724399,0.3456539773,0.0875656743,51.852705318,9629,22.415924273,15.092631023,86.898911353,14.689122452,20.249473514,17.147335423,0.5425519145,8.6,18.0,
13011,Georgia,Banks,73.877982741,4.7494839689,5.7478378534,84.0,57.900552486,16.6,0.8716861775,30.1,37.5,3.0,,70067,High,76.690732282,95.580815082,3.385719339,1.551366921,7.5597554197,0.6670372429,0.1364394361,85.476780029,4525,25.661345711,29.698473149,84.455576838,22.288665398,16.7602447,10.485736315,0.9545735302,8.6,22.2,
13013,Georgia,Barrow,74.873041906,4.2260360375,5.5995527854,89.0,56.917716005,15.5,11.311272118,25.0,38.0,19.0,43.10716,72075,High,79.462546187,32.965690677,14.938787827,4.3613673593,16.284809035,0.7015691008,0.1519527545,62.142210535,25254,20.110660197,27.911066929,92.6536782,16.574872701,17.387463169,12.729214883,2.7801996734,9.5,14.3,8.6800894855
13015,Georgia,Bartow,73.938103851,4.4529544726,5.4110925973,92.562066307,57.508920986,13.4,11.693154646,25.9,37.1,41.0,134.73457,78771,High,73.86294877,39.431226527,11.279456889,1.3177910484,10.890899766,0.6684573326,0.1599429769,74.147477856,29425,18.251747142,36.627287329,84.557785397,21.739130435,17.360127624,12.555876939,1.6524254732,9.1,15.4,7.8900392717
13017,Georgia,Ben Hill,69.707900938,5.5166355774,6.1127894141,83.0,41.357107479,35.2,13.162440819,36.2,44.3,8.0,40.86875,40325,Low,59.80173136,34.389903455,37.056282111,0.8348902382,6.8192433442,0.7940214853,0.0408687529,53.497197571,4038,31.205984802,19.669164651,72.368053616,43.987506507,20.159377668,12.884333821,0.9610615079,9.0,23.4,
13019,Georgia,Berrien,71.166782215,5.2138783682,5.9019893861,83.0,50.130264872,27.9,10.396093176,30.5,36.9,4.0,48.46527,50581,Low,69.030664148,73.325991189,11.383952612,1.1362412493,6.3758750673,0.6246634356,0.1184706516,78.944534195,4606,21.116616515,35.862217361,80.380758611,31.551683541,16.945921329,10.851544838,0.5371321812,9.0,20.3,
