FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,77.033706539,3.7833822602,4.9624708518,,61.715976331,13.3,2.305078824,25.7,33.2,4,13.53363,67873,Low,73.588957055,100.0,0.9879550683,0.5413452429,3.3428068751,0.4195425633,0.0406008932,93.544457978,1690,,,81.687116564,19.944979367,,9.748427673,0.0,7.0,16.6,
19003,Iowa,Adams,77.644704976,3.6985203618,4.8426554818,,72.820512821,15.3,2.0076700462,25.0,34.3,2,56.43341,63399,Low,76.732026144,100.0,0.9875846501,0.7900677201,1.7494356659,0.5361173815,0.0282167043,95.146726862,780,,,82.810457516,21.840873635,,8.4967320261,0.1451800232,7.0,17.8,
19005,Iowa,Allamakee,78.388733361,3.6914968257,4.6468310987,92.619760479,62.989203779,17.0,3.4786026731,26.6,36.6,8,28.4212,65586,Low,78.834661355,100.0,1.6768509308,0.6039505471,9.2724172232,0.8668466676,0.3126332244,87.331249112,2964,16.526364716,,84.163346614,18.930957684,15.931177314,9.4582975064,3.7138508371,7.8,17.3,
19007,Iowa,Appanoose,75.430977699,4.4121214853,5.1016124413,94.534883721,54.538520214,21.4,5.4893048905,29.0,33.5,8,123.77259,54629,Low,69.117059529,57.22172607,0.7508870369,0.8911626372,2.2444096048,0.4868388481,0.0412575295,94.306460929,2622,20.819357376,,82.980423492,22.373152217,,15.447154472,0.1030927835,7.4,19.6,
19009,Iowa,Audubon,79.186466187,3.8739175143,5.2230958999,,73.327464789,13.7,2.354763485,27.0,33.9,3,18.07011,64977,Low,76.435643564,100.0,0.7228044814,0.5963136971,2.7827972533,0.6866642573,0.0361402241,94.66931695,1136,38.489171713,,83.207920792,11.428571429,,9.2,0.4002287021,7.0,20.0,
19011,Iowa,Benton,79.215509453,3.7021004792,4.7997259138,90.377237852,70.150285023,9.1,4.2801148324,26.1,34.7,5,50.39541,86364,High,84.264662249,81.309872923,0.8838579625,0.5543495116,2.0196929757,0.3799038611,0.0426422701,94.937199566,5789,20.619246116,,87.904262684,10.93581929,16.393058711,6.6004962779,0.2767908783,8.4,16.6,
19013,Iowa,Black Hawk,76.675217306,3.8685758693,4.9343296015,85.642698295,70.723104056,15.1,9.4668403417,27.2,36.0,124,258.29495,61558,Low,65.318198735,12.9666626,9.5538472151,2.7370066911,5.319189705,0.4115857164,0.7856151942,78.719408911,32319,8.9070796076,12.262791625,88.079642724,14.652567976,11.907233492,14.532871972,1.9557649821,7.9,20.0,3.4176884947
19015,Iowa,Boone,77.07032217,3.5168188108,4.801522235,96.68699187,71.399176955,9.5,2.3645556938,23.8,35.3,12,71.45543,77381,High,81.051668953,53.168631855,1.222264009,0.5641218503,3.0989093644,0.571643475,0.0601729974,93.584054156,6804,12.958613428,,87.837219936,11.161193389,,6.9496268657,0.0552944429,7.5,15.5,
19017,Iowa,Bremer,79.655661601,3.3346775372,4.6020261586,95.824742268,75.948290526,6.6,1.2981711949,23.4,34.5,12,189.67084,79410,High,80.800577737,63.346406275,1.4027739361,1.2249575216,2.0626704074,0.2054767456,0.0355632829,93.784328447,5879,10.264071757,,91.086350975,2.9300962746,8.7537800414,7.9875518672,0.1139480903,7.8,16.2,
19019,Iowa,Buchanan,78.98810066,3.4585319852,4.8553104578,94.623893805,67.846850556,12.4,3.3805459138,22.3,35.4,8,144.99058000000002,80402,High,81.09202454,67.075127644,0.903774588,0.5606302257,1.9525397516,0.2754820937,0.0338311343,95.224977043,4858,12.226101368,,85.987730061,8.2287595145,,10.597302505,0.2852401203,8.3,15.5,7.7868852459
19021,Iowa,Buena Vista,79.380435147,3.6588829168,4.5197483606,67.750759878,50.718562874,16.6,5.6174031439,28.4,34.9,11,77.79453000000001,65671,Low,72.451279332,43.0437497,3.6660670005,9.982010016,29.557057422,0.8897748821,3.6563426849,52.170953469,5010,11.341163462,,92.257722392,20.263623844,,11.059293804,11.124967524,7.1,15.9,
19023,Iowa,Butler,79.607728894,3.7419834604,4.8123153067,,69.859594384,9.3,1.9074136187,24.7,31.3,2,42.337,73033,High,80.006794632,100.0,0.4304261925,1.3195032458,1.961614451,0.2257973469,0.0705616709,94.898391194,3205,15.793266146,,84.881943265,7.5419952005,,10.153583618,0.1326455416,7.5,15.7,
19025,Iowa,Calhoun,77.742258609,3.6808922936,4.8679968512,,64.861460957,14.4,8.8495476301,24.5,32.0,7,40.97101,63597,Low,80.905815749,100.0,2.8065143911,0.4506811431,2.8269998976,0.5326231691,0.0921847793,92.235993035,2382,14.690327888,,87.133299022,14.002333722,,7.3791348601,0.3866809882,7.2,16.1,
19027,Iowa,Carroll,77.857536443,3.6691459315,5.1894470407,92.44813278,65.579951209,8.6,1.9916404897,24.7,32.4,18,155.93022,61806,Low,75.005714286,51.107899807,1.2961699639,0.6285937043,3.7325796706,0.365461456,0.0438553747,93.143943085,4509,12.653867514,,85.68,8.7235996327,,9.703196347,0.2049390306,7.2,17.8,
19029,Iowa,Cass,76.192584977,4.083813196,5.2595308502,89.991166078,65.046132009,18.4,9.12736186,29.0,34.3,6,456.96877,59509,Low,72.275004319,49.661004037,0.563594821,0.4569687738,2.6961157654,0.5331302361,1.5536938309,93.526275704,2818,15.378024803,,82.604940404,16.535137166,,11.774891775,0.0883889112,7.1,20.3,
19031,Iowa,Cedar,79.085667713,3.4940485959,4.9782738791,92.254098361,62.094531974,9.3,4.8358729431,23.5,34.6,3,60.102720000000005,77777,High,80.806473007,100.0,0.9288602339,0.704841001,2.737405748,0.2950497213,0.0710304885,94.115397224,4316,8.4912578641,,87.014192864,8.883248731,12.966244543,9.0108401084,0.0455866431,8.9,15.7,
19033,Iowa,Cerro Gordo,76.498073733,3.8165155136,4.9612094176,84.662591687,60.795220437,13.1,5.4731594156,25.9,32.3,61,346.64905999999996,63161,Low,71.649245662,20.328332599,2.0185822761,1.1885110598,5.7279630241,0.4480498043,0.6980144319,88.374286658,9708,15.751145309,18.865254917,87.245764894,16.762510706,10.83296046,9.7598364844,0.264151875,7.1,16.7,
19035,Iowa,Cherokee,77.914631439,3.8238272009,5.1345267354,89.79338843,63.657230298,12.9,6.0338979221,27.0,32.2,6,137.87161,70197,High,73.317591499,59.641447933,1.3011632917,0.9306333477,5.3339077984,0.4394657475,0.4739336493,90.728134425,2614,,,84.769775679,18.639328984,,8.3902439024,0.8621472003,7.0,17.5,
19037,Iowa,Chickasaw,77.946526744,3.5442588441,4.7861678655,93.440366972,61.309762957,9.0,3.1657151986,23.5,32.8,4,60.0446,73547,High,81.404212638,100.0,0.6347572482,0.3602676274,4.4433007377,0.1801338137,0.0171556013,93.540916109,2489,,,84.613841525,9.504950495,,8.3916083916,1.061341968,7.4,16.1,
19039,Iowa,Clarke,75.431808795,4.4368169323,5.2315308489,96.227678571,49.786830886,15.3,3.0609641369,32.1,34.1,5,20.85941,65162,Low,69.457635591,45.804267542,1.2098456404,1.0325406758,17.229870672,1.3037129746,0.4380475594,78.68168544,2111,27.136632947,,84.103974006,18.260451706,31.480859637,14.438502674,2.5308025308,7.1,20.6,
19041,Iowa,Clay,78.391074506,3.7765585181,4.8916577432,97.5,70.048701299,14.9,4.5675752376,25.3,31.8,14,405.79008,72021,High,72.699682715,33.062744141,1.0477863243,0.8600327055,4.9361032039,0.4118466477,0.0423959784,91.678275089,3696,10.56859015,,87.819009519,12.47099768,16.041263064,10.09110021,0.3017075363,6.8,17.5,
19043,Iowa,Clayton,79.055403735,3.9088898035,5.0492405524,,58.288004581,12.8,1.0644948021,25.7,33.3,7,23.572400000000002,65814,Low,76.586551445,99.072933169,0.7189581001,0.3064411574,2.3395603748,0.2769756615,0.1119688844,95.303199953,3493,17.258666316,,81.86605455,8.6104513064,,11.680327869,0.8340595045,8.3,16.9,
