FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
17001,Illinois,Adams,76.456836199,4.3043865801,5.5525318657,84.880774963,64.355607055,14.1,3.2027826558,22.5,38.3,68.0,316.56864,63424,Low,72.49549874,33.938269163,4.0378020205,0.9093589485,2.1089058208,0.3274312937,0.0418987911,90.476559954,15534,11.343804538,18.51261429,84.263593806,18.752790594,8.9069621731,10.432382705,0.1224110072,8.1,17.8,
17003,Illinois,Alexander,69.708540915,5.1846210092,6.0218123037,,42.211055276,38.8,28.274072155,30.9,42.6,1.0,596.37913,45550,Low,77.656078861,96.946564885,31.139510117,0.2555910543,2.3216187433,0.6176783813,0.2342917998,62.68370607,995,37.500937523,,58.488499452,34.259259259,,13.764044944,0.0,8.8,22.9,
17005,Illinois,Bond,77.019863209,4.5186962598,5.5045752145,91.036585366,61.173923503,14.8,9.041243828,27.3,39.2,9.0,176.29179,66162,High,73.945012788,59.551569507,6.5410334347,0.7416413374,3.9088145897,0.7477203647,0.0668693009,86.577507599,4157,16.343804838,22.256393655,85.118286445,13.540197461,12.124151309,10.992616899,0.0938555875,8.6,21.6,
17007,Illinois,Boone,78.304849254,4.2820481668,5.3157486757,81.009234828,60.288750101,15.8,7.4435406746,25.0,37.7,28.0,45.11109,83129,High,83.043591752,29.396796887,2.6314800195,1.5600917259,26.331716853,0.9943235217,0.0921018007,67.978647419,12329,11.52113861,16.971525552,89.015922736,11.340132658,7.1371956831,13.654405927,3.8795495996,9.2,17.4,
17009,Illinois,Brown,77.916353054,4.6496257767,5.4006268108,67.5,45.561826578,11.8,10.348035148,26.4,40.0,1.0,333.6511,76076,High,73.626917368,100.0,18.668573244,0.3654273912,5.2430886559,1.0327295837,0.0476644423,74.817286304,1949,,,82.137555666,,,5.5,0.1823607427,7.7,19.6,
17011,Illinois,Bureau,76.839950252,4.3779633591,5.4622111557,85.798429319,61.512215095,15.4,9.7949444295,25.8,38.0,15.0,94.71722,66854,High,76.175861823,54.98435808,1.1060527361,1.0907757646,10.614439793,0.5530263681,0.0549970974,85.7985273,7327,28.231778559,20.40524823,83.520091357,15.199768384,8.5556268524,10.732414793,1.0090044064,9.1,18.7,6.4472800537
17013,Illinois,Calhoun,74.707873454,4.0634342302,5.350020217,,69.791666667,13.8,5.2582062752,20.0,34.7,1.0,,72574,High,89.116202946,100.0,0.8107482048,0.3706277508,2.0616168636,0.3242992819,0.0,95.575631225,768,,,86.088379705,,,10.62992126,0.0,8.2,15.0,
17015,Illinois,Carroll,76.734122758,4.3534492476,5.4604772794,91.74137931,53.025006722,16.5,4.4828139587,22.8,35.6,3.0,128.81618,61982,Low,77.755480086,100.0,3.6712611104,0.7278114131,5.5841813732,0.4830606724,0.0386448538,88.445188716,3719,17.451668573,,85.257795616,14.143730887,,7.2222222222,0.0200749465,9.1,15.4,
17017,Illinois,Cass,76.770286533,4.5876193983,5.4494039318,83.040540541,47.852573865,16.7,3.4067971677,26.3,37.5,1.0,698.63449,64413,Low,74.917234664,51.985891734,4.2076849794,1.1908542394,23.213718641,0.936805335,0.3969514131,69.950778025,3283,23.003577056,,84.888023369,29.850746269,,7.4222668004,6.9530335952,8.0,17.5,
17019,Illinois,Champaign,78.794249148,4.1490759076,4.8974265859,84.222191781,78.143241167,14.4,4.8140594068,23.9,35.9,215.0,367.62561,62169,Low,53.449037325,15.95074442,14.050981308,10.822100329,8.2078738013,0.433273035,0.1366439089,63.715450001,52080,8.9091927106,26.541113794,88.768993877,10.781747435,10.467192075,17.358098613,1.9252043513,7.6,16.0,5.4881697036
17021,Illinois,Christian,75.779214798,4.4551307539,5.5632340392,83.206521739,51.012913162,16.2,1.9461783117,23.3,37.6,13.0,78.24726,72650,High,74.27220334,50.687588152,2.7055495365,0.7373299627,3.3465751776,0.3912363067,0.0631997111,91.820151679,8441,16.91614364,14.116745485,83.729865524,18.467069783,10.966381947,8.1091043126,0.2437576174,8.6,17.4,
17023,Illinois,Clark,74.857521679,4.1759878394,5.469146813,78.187134503,66.938431262,15.9,9.7732760077,20.6,35.5,5.0,33.13892,66923,High,81.70380476,100.0,1.0604453871,0.3910392365,1.8358960764,0.2849946978,0.039766702,95.353923648,3557,23.954523259,21.835491408,86.827345763,20.592020592,,8.934169279,0.1657344106,8.6,14.8,
17025,Illinois,Clay,75.750494574,4.7490253388,5.8375747297,75.517751479,57.32689211,19.1,5.6117841789,25.0,36.7,3.0,184.62959,54837,Low,80.703369545,63.929861529,0.6462035541,0.9077621355,2.25401954,0.2923301792,0.0153857989,94.822678668,3105,17.339474397,25.465379816,85.60117842,25.194516488,,10.376492195,0.0160758781,8.6,19.3,
17027,Illinois,Clinton,79.20497903,4.1053052063,5.2393147298,83.848973607,68.496445002,8.8,3.7409996199,22.5,36.5,12.0,59.80699,88977,High,79.340385812,80.216266023,3.1507407911,0.6741878483,4.2272665489,0.3969009107,0.084273481,90.343890173,9564,17.963339499,9.00090009,89.690935491,11.972633979,5.3676577152,9.6106629253,0.5832662912,8.9,15.7,
