FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
20001,Kansas,Allen,74.500410041,4.2167231917,5.5557887675,90.710431655,60.729768786,21.5,4.1826122851,28.2,38.5,8.0,193.36126,54761,Low,74.511368169,53.337058917,1.9013857557,0.9587495972,4.3425717048,1.2326780535,0.0563970351,88.938124396,2768,,,82.469086558,23.802067022,19.275560196,11.155778894,0.3484024473,8.5,20.1,
20003,Kansas,Anderson,76.630782483,4.316564645,5.508654997,87.908163265,50.645994832,15.8,5.6260320729,26.2,35.5,3.0,51.033429999999996,61742,Low,81.076969881,100.0,1.0717019648,0.6889512631,2.6537381985,0.8930849707,0.0637917836,92.740495024,1548,30.965955664,,71.95010648,19.230769231,,10.742496051,0.1236603462,8.2,19.6,
20005,Kansas,Atchison,75.884813536,3.90902903,5.4651156283,74.137931034,57.574850299,15.5,9.0620070265,25.2,36.3,8.0,187.31269,65818,High,73.434309054,33.282358698,4.227022977,0.6805694306,3.8586413586,0.8241758242,0.0999000999,87.643606394,3340,22.057526028,,83.985704561,11.376146789,14.883167138,10.29787234,0.7106996153,8.3,18.4,
20007,Kansas,Barber,74.21920948,4.1162414933,5.228778681,,65.621230398,16.3,3.2205164874,25.1,34.6,2.0,49.12798,59514,Low,81.339977852,100.0,0.9579955785,0.6877916974,4.2495701302,1.4984033407,0.0245639892,90.985015967,829,35.757240841,,84.828349945,12.121212121,,11.602209945,0.4863066291,7.4,19.1,
20009,Kansas,Barton,74.728303527,4.0809518715,5.2492311803,92.750965251,65.01386397,19.0,12.513001086,24.7,34.6,16.0,265.07089,58568,Low,66.229572365,42.07821755,1.3052733041,0.393590104,16.819952609,1.3173219808,0.1767139243,79.264227479,6131,18.774676275,,85.742244838,26.83423913,15.644066206,8.4770823066,1.4027378739,6.8,16.5,
20011,Kansas,Bourbon,73.627887615,4.1499091622,5.4904585261,90.674603175,61.305147059,22.0,11.182076537,29.3,40.8,6.0,83.28706,54428,Low,72.87694974,48.19637883,2.9844530816,1.1451971127,3.3523042754,1.1799000555,0.0624652971,89.089394781,3264,16.697934367,23.120852697,87.348353553,21.594684385,,12.554112554,0.3852422581,8.1,21.0,
20013,Kansas,Brown,72.858805671,4.0271105382,5.3924445812,90.0,66.143604375,13.4,13.682884983,25.6,33.3,8.0,356.75676,58989,Low,75.423500941,100.0,1.6756756757,0.9297297297,4.8,8.2702702703,0.0648648649,82.745945946,2103,41.923698868,,84.216187147,24.102311854,,8.4239130435,0.2487843492,7.9,16.7,
20015,Kansas,Butler,75.308579085,3.4876787964,5.3191545883,91.711906744,71.292588078,10.4,6.5182170661,23.3,37.3,53.0,147.16167000000002,76742,High,78.205794206,46.101216978,2.2642499126,1.6930877725,6.1356218674,1.0374169484,0.1821307845,86.519407856,17229,13.596770767,22.154282423,88.563436563,12.217935227,15.736482213,11.352558895,0.2996628793,8.5,15.6,3.6304456685
20017,Kansas,Chase,78.028401969,3.9379006942,5.1547018421,,61.008403361,15.9,31.688249923,25.3,34.9,,,62302,Low,71.877729258,100.0,1.8224117875,0.3489724699,8.6079875921,0.7754943777,0.0,86.390073672,595,,,79.912663755,,,6.5727699531,0.1223491028,8.0,16.5,
20019,Kansas,Chautauqua,73.983365936,4.4174103373,5.600930664,,58.906030856,24.8,17.573231713,27.4,37.0,,59.754999999999995,49510,Low,83.269961977,100.0,1.4341201076,0.2688975202,5.4377054078,5.4675829101,0.119510009,82.312518673,713,,,82.737642586,36.220472441,,11.196911197,0.0,8.5,19.8,
20021,Kansas,Cherokee,72.090280699,4.3292846141,5.5191981715,91.666666667,56.805293006,19.9,17.927538844,27.6,37.0,4.0,183.68846,55853,Low,72.421379578,100.0,1.0339036423,0.6350372625,2.9547601553,4.7234176551,0.5300724257,86.401805395,4232,26.770081178,24.180037652,84.133557655,25.937934229,22.482703647,11.729622266,0.4811946903,9.3,18.8,
20023,Kansas,Cheyenne,76.39869984,4.0623804521,5.2395384374,,73.58778626,17.6,8.3120766066,26.7,34.9,,151.74507,52424,Low,79.595278246,100.0,0.6449165402,1.2139605463,9.3323216995,1.0242792109,0.0,87.139605463,655,,,84.148397976,,,9.3495934959,2.8443722064,5.8,18.1,
20025,Kansas,Clark,73.005024367,3.6964369982,4.9635966332,,81.818181818,17.4,33.325710428,24.9,35.4,5.0,,64998,High,75.645756458,100.0,0.3789929616,1.5701136979,14.076881429,1.5701136979,0.2165674066,80.184082296,385,78.864353312,,85.485854859,,,8.2840236686,2.6867275658,6.6,14.8,
20027,Kansas,Clay,78.188161257,3.8334693689,5.5515892208,92.5,67.632311978,14.6,8.3594747304,27.7,35.5,11.0,99.91258,66389,High,73.188206117,49.106812862,1.7110028725,0.6244536031,3.8716123392,0.7743224678,0.0499562882,91.09529162,1795,19.557293982,,83.87985671,10.911424904,,10.67961165,0.3425559947,7.2,19.8,
20029,Kansas,Cloud,73.426412509,3.992122377,5.5078991077,91.791338583,68.012108981,14.8,13.956364513,26.6,35.8,5.0,225.8866,60403,Low,74.686648501,44.298051373,1.5021459227,0.9600180709,3.9191325954,0.8922520895,0.1242376327,91.122656426,1982,22.518175384,,83.024523161,19.973368842,,9.4910591472,0.6232023011,6.9,17.5,
20031,Kansas,Coffey,76.566409325,3.9768138557,5.4235165935,90.291666667,67.627029859,10.8,16.552455987,29.0,35.8,6.0,145.43692,67933,High,75.895122639,100.0,0.8605017574,0.981699188,4.0601139256,1.3089322506,0.0121197431,91.564658829,1909,,,85.959966169,14.775413712,24.278916189,9.0257879656,0.1511715797,8.5,21.3,
20033,Kansas,Comanche,75.014084573,3.6703793075,5.1374049489,,73.566878981,17.1,3.2214728284,23.1,35.3,2.0,60.422959999999996,51956,Low,73.203410475,100.0,0.4229607251,0.4229607251,7.4924471299,1.2084592145,0.1812688822,89.546827795,314,,,84.165651644,,,6.5088757396,0.0609384522,6.9,16.1,
20035,Kansas,Cowley,73.680655718,4.1175231661,5.4386609053,84.320261438,58.946581995,20.3,9.5652593383,28.3,37.7,14.0,172.7318,57549,Low,70.470050229,31.995137341,2.7344321808,1.9468922915,12.474748953,2.4094621893,0.7143484498,77.691249231,8031,17.564139745,14.48197959,83.761901192,26.241693884,21.300725952,11.947752593,1.4134600644,9.0,17.6,
20037,Kansas,Crawford,72.487829831,4.0029622774,5.3459286609,89.929577465,69.015685383,19.1,12.76311371,23.6,35.3,26.0,283.76844,52285,Low,60.137132792,40.675356666,2.1463213291,1.5297698896,7.4682695284,1.2305231658,0.7868125064,84.204416469,8798,10.258176316,15.395405327,85.997357992,20.690964313,12.323175271,15.119277885,1.2852280463,8.7,16.9,
20039,Kansas,Decatur,75.43013865,3.7058380104,5.2867386572,,73.460410557,21.8,10.318603282,25.4,34.5,,36.87316,54613,Low,79.38820102,100.0,1.1430678466,0.2581120944,5.1253687316,1.2168141593,0.0368731563,90.818584071,682,,,88.055353241,,,6.1302681992,1.3846153846,,18.5,
20041,Kansas,Dickinson,74.104892115,3.7046047774,5.3014113283,93.520992366,61.798773563,12.6,4.9660269509,23.2,34.7,9.0,65.05828,63417,High,79.05252576,64.107162265,1.149362971,0.6180536731,5.9636757929,1.1222553538,0.1246950393,88.885876931,4403,18.418467583,19.94379476,89.683337522,14.449427005,18.410621846,7.189119171,0.4469401788,7.8,16.4,
20043,Kansas,Doniphan,76.853341965,3.8393285724,5.2851599587,,65.365551425,15.2,8.8098767571,25.7,36.5,4.0,13.345790000000001,63765,High,81.797752809,71.677762983,3.0161484052,0.6005605232,3.6300547177,1.5748031496,0.0266915788,88.682770586,1614,,,87.191011236,11.304757419,,11.669658887,0.3095975232,8.0,19.4,
20045,Kansas,Douglas,79.227411099,3.6569584297,5.4582227632,90.675403226,80.866851374,9.7,5.3856842362,21.1,34.7,103.0,369.13225,68561,High,49.510402691,14.637370038,4.3673736863,4.774663426,7.263195441,2.7390442378,0.1103249193,77.443945816,31401,7.8034015737,17.410192424,91.379482969,6.3629488617,9.2477607208,18.605359318,0.7971338221,8.9,16.6,
20047,Kansas,Edwards,63.6320045,4.0841428565,5.3259345717,,55.858747994,16.3,4.835866248,25.7,35.1,,,59055,Low,82.055602359,100.0,1.4270032931,0.2927186242,23.015001829,2.634467618,0.0,72.155140871,623,,,85.088458298,,,6.8,4.8707381042,6.6,16.0,
20049,Kansas,Elk,74.225379939,4.4704206034,5.6540692307,,48.190045249,23.7,18.513463025,30.1,39.4,1.0,,48121,Low,77.602230483,100.0,0.4458856911,0.6485610053,4.2967166599,2.4321037698,0.0405350628,88.366436968,442,,,84.014869888,,,9.9502487562,0.3405704555,8.4,21.2,
