FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001,Kentucky,Adair,71.659557623,5.1116461576,5.4997990931,97.5,54.467271859,27.8,3.403806555,28.3,44.7,5.0,275.12458000000004,45974,Low,76.223876324,73.453949109,2.6474252492,0.674833887,3.4001245847,0.467192691,0.0674833887,91.279069767,4186,28.945493409,38.224971331,84.68365302,18.70251315,12.503777183,12.481857765,0.2096898797,7.8,19.9,10.188415911
21003,Kentucky,Allen,73.105881698,4.7742750246,5.5062293833,92.5,51.591981132,21.5,8.6515194408,28.6,39.5,3.0,87.20397,56483,High,76.7447784,77.477171168,1.3814944006,0.3671745915,2.8685514962,0.3488158619,0.0321277768,93.546906554,5088,21.034632505,31.558185404,78.820682629,32.220406257,21.736665029,16.644823067,0.6313769068,8.0,20.7,
21005,Kentucky,Anderson,74.409024053,4.4472124977,5.0861014487,92.0,67.824114465,12.2,2.3325396439,26.5,39.2,7.0,93.44655,78336,High,77.948609941,43.220694281,2.1858367529,0.7394466339,2.8358997278,0.3819119977,0.0568805103,92.284565067,5731,13.026972035,45.012097001,87.552653749,23.664921466,16.308732897,9.1009376724,0.0264422018,8.3,20.6,
21007,Kentucky,Ballard,72.902476301,4.8109332244,5.4971381081,87.5,56.758338209,22.4,0.0074823204,27.5,41.0,,26.378259999999997,69716,High,79.71803909,100.0,3.6797678713,0.5011870219,1.5958849908,0.3297283039,0.0527565286,91.466631496,1709,39.946254131,,85.966036527,29.569892473,,9.337860781,0.0,8.5,22.3,
21009,Kentucky,Barren,73.683211227,5.2981451047,5.7134497747,94.95777027,51.78984862,22.6,7.5933219132,27.6,42.4,31.0,244.40099999999998,51068,Low,65.162474961,62.101832078,3.9148595805,0.8509598294,4.4081052257,0.4376999645,0.2821720583,88.773107003,11230,19.682689236,18.698858622,84.976630314,29.725122523,18.90844262,16.353655013,1.0019515446,8.1,18.9,
21011,Kentucky,Bath,68.829861137,5.4190414559,5.646149986,92.5,46.896551724,26.6,0.9201715965,26.5,41.3,2.0,277.45665,54247,Low,72.802024035,100.0,1.3795761079,0.5163776493,1.9344894027,0.246628131,0.1078998073,94.682080925,2900,27.373511565,105.01995379,83.57579591,35.476718404,,10.199789695,0.4685800351,7.8,20.2,
21013,Kentucky,Bell,67.291515354,5.9184824686,6.0321728699,88.532258065,55.71478504,38.4,9.9935545792,31.5,42.5,12.0,60.042030000000004,35566,Low,61.064455175,59.268788646,2.8948835614,0.4631813698,1.2094180212,0.321653729,0.1458163572,92.970793841,5722,28.966131907,53.492072201,76.947302121,41.762854145,14.341601001,14.285714286,0.0490065045,7.4,25.4,14.460784314
21015,Kentucky,Boone,77.995222605,4.0246429358,4.7643175946,93.399090392,71.746344207,8.5,9.0562213244,21.9,39.0,81.0,148.75868,89313,High,76.663157267,11.465933161,5.221500968,2.6982974604,5.9652943856,0.3153114679,0.2939585469,83.595262499,35560,7.3695981646,37.144847912,92.850757832,14.56386051,9.3055545298,8.6782376502,1.3525782796,9.4,17.3,4.7788365809
21017,Kentucky,Bourbon,73.786911108,4.9242848709,5.4489092395,94.69488189,61.321800843,18.4,12.260506805,28.4,40.1,13.0,139.06824,61530,High,64.825295276,44.356112976,5.4832621436,0.5562729711,7.8474222708,0.57117314,0.0794675673,83.897884176,4509,21.389764285,61.438320907,84.621062992,24.160425223,11.976645541,15.550092194,1.210359408,8.3,19.4,
21019,Kentucky,Boyd,71.627547341,4.8842168,5.425166105,91.637065637,60.441629579,23.0,12.602038066,28.5,38.0,48.0,779.91051,57112,High,68.395035759,23.79146723,2.8290051436,0.6460920838,1.9299125998,0.4160916656,0.0313636934,92.619077489,11684,8.719339495,95.421855815,86.385149348,28.440264248,18.183125214,11.13238512,0.2856389524,7.5,19.7,
21021,Kentucky,Boyle,74.627199958,4.6731863604,5.2843600296,91.637168142,62.27684702,18.2,7.3344366131,24.9,39.8,18.0,277.52678,62541,High,69.456208707,35.36290586,7.9256486382,1.1359235833,4.6566412805,0.3807925649,0.0484058345,83.816315993,7282,15.08580049,46.729987611,85.922412333,17.471872932,12.485378964,14.470284238,0.6826055637,8.1,18.2,
