FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001,Louisiana,Acadia,70.606976923,5.1581686416,6.8804875854,88.0,41.151119144,31.5,3.1856759817,31.4,38.0,21,148.70152,43133,Low,67.950206698,61.687161317,17.51845492,0.3540512312,3.482093859,0.4850501868,0.0371753793,76.600754129,14386,19.510131164,43.762432509,79.529936365,33.41501448,22.652697503,12.549292508,0.5167765129,8.3,20.8,13.871154962
22003,Louisiana,Allen,70.659983085,5.0236824714,6.4961050995,94.0,37.238493724,23.4,11.243639793,30.3,39.4,4,108.53835000000001,47937,Low,76.837707272,70.549450549,20.418777135,0.7190665702,7.8961649783,3.020984081,0.104015919,66.77369754,6692,34.107200666,51.102247079,77.124951038,41.087231353,21.367696973,11.711125569,3.5335689046,7.9,21.2,
22005,Louisiana,Ascension,76.318923382,3.8348915091,6.0740449664,90.0,67.64972403,12.7,9.9343578448,24.6,39.8,57,124.58977,89558,High,82.85763154,10.836363636,24.687006199,1.4783639237,8.3672663182,0.5340646651,0.0873647745,63.868968032,36417,18.453463874,51.35589896,90.969148868,16.986557881,16.437892944,11.251244607,1.6317482541,8.7,16.4,
22007,Louisiana,Assumption,73.994663742,4.9582309712,6.6057296827,92.5,42.653735039,26.7,0.5825324343,33.1,39.5,3,34.72222,54511,High,85.522565321,64.499263273,28.462301587,0.5753968254,4.1765873016,0.9970238095,0.0793650794,64.885912698,4846,22.320549348,44.505197571,80.439429929,23.77654663,15.87227487,10.25331725,0.7415684681,8.2,23.5,
22009,Louisiana,Avoyelles,71.074164537,5.6406117803,7.2533232475,92.351812367,48.173338515,37.3,11.565530051,36.4,41.4,11,197.87543999999997,44650,Low,68.71389271,83.165797496,28.850760258,0.5545719642,4.1423661737,1.3564882316,0.0833159758,63.213393043,10292,22.803717006,52.563309115,75.880330124,41.487135295,27.699575441,15.022499135,0.5023616458,7.9,24.9,9.6417281349
22011,Louisiana,Beauregard,73.41021837,4.4725398828,6.2069837998,94.0,49.263638249,19.5,20.597160929,27.7,36.7,16,78.74657,57108,High,83.171426485,72.97053271,11.081543433,0.681565156,4.0513753496,1.2816683412,0.1357699514,80.663643522,9642,20.027730704,23.416039987,88.459571982,33.034571063,17.762467368,9.1760299625,0.1581629664,8.3,21.3,8.9848308051
22013,Louisiana,Bienville,68.687280103,5.5785035839,7.0062175961,87.5,32.871153196,34.2,19.499213429,38.1,45.3,2,307.29419,39743,Low,70.617511521,100.0,40.587093644,0.3719877082,2.353226589,0.5337214944,0.0404334465,54.415332363,2957,23.796132047,,64.847926267,42.591918456,33.872730912,14.7086915,0.533422237,8.6,26.8,
22015,Louisiana,Bossier,75.944593972,4.3221502815,5.9528267531,88.0,65.931717347,19.0,10.92777549,28.2,42.9,61,233.44504999999998,71061,High,66.073981595,27.167445979,24.275203205,1.874494395,8.2329827805,0.7665934743,0.1371393351,62.826765284,36964,13.092960016,14.778516704,82.718833692,23.736771501,15.939517345,15.694879833,2.4648849086,9.5,18.2,12.029459902
22017,Louisiana,Caddo,71.430548568,4.8944850951,6.5056869704,80.0,58.100335117,31.7,16.040535097,30.4,40.0,293,784.94253,50773,Low,60.645616697,15.96565874,49.851139205,1.5367558065,3.9512160646,0.5481787743,0.0724426422,42.587439153,59979,19.36651821,12.435748632,82.883993384,32.552312721,34.665796358,19.51012618,0.3949060325,9.6,20.5,12.689518787
22019,Louisiana,Calcasieu,73.467422067,4.5296551017,6.5928871511,93.24565087,62.264554413,25.2,13.031030974,28.9,39.4,162,288.08261,63912,High,72.243652185,25.040477893,24.419295155,1.6141459848,5.3523490756,0.6664670864,0.067726405,66.270778019,56117,18.51325211,34.532986367,85.121111761,31.85764674,17.198036869,13.328127034,0.7507036239,7.5,18.8,9.3908366946
22021,Louisiana,Caldwell,70.751652556,5.438959325,6.5840560398,97.5,41.601143674,29.0,3.871023687,33.0,41.6,3,138.4599,48050,Low,69.017905589,100.0,16.615187986,0.4366812227,2.9609117052,0.4473319842,0.0319522846,78.176589626,2798,20.325498338,,75.04069452,42.43902439,36.853527702,18.443804035,0.5286925873,7.9,24.0,
22023,Louisiana,Cameron,78.468735374,4.8485266076,6.6325654772,97.5,54.434250765,18.6,5.8573058587,28.3,38.5,2,20.97315,66189,High,96.902654867,100.0,4.1946308725,0.5033557047,4.1317114094,0.985738255,0.0629194631,88.045302013,1308,,,82.104228122,20.3125,,9.9322799097,0.0,7.8,20.1,
22025,Louisiana,Catahoula,70.884137177,5.1432383624,6.5194926345,77.5,41.276941846,46.1,13.608408867,31.1,42.3,1,47.53981,40139,Low,75.975292588,100.0,27.822676492,0.0831946755,6.394105063,0.8557166627,0.0,63.632041835,2459,18.322009314,,74.024707412,45.797101449,,16.20294599,0.0,7.7,20.6,
22027,Louisiana,Claiborne,73.768926846,5.7777066108,6.664289268,97.5,24.978442081,37.5,12.00543822,39.6,47.9,7,109.72932999999999,39576,Low,70.492129906,100.0,48.771031456,0.6510607169,3.5040234089,0.6656912948,0.0585223116,44.937820044,3479,28.036073081,,50.806933652,32.880315651,28.035885934,10.317460317,0.0374475734,8.4,27.8,35.005701254
22029,Louisiana,Concordia,70.493086401,5.5861793021,6.7420123074,83.624535316,38.383401772,34.7,20.781629476,36.4,43.8,4,621.89055,43136,Low,70.372623574,34.136030395,38.873812754,0.723654455,2.9624604251,0.4918588874,0.0113071009,55.845771144,4627,32.084045276,,78.950570342,48.774193548,31.83462971,17.290836653,2.2964509395,7.7,24.3,22.139830508
22031,Louisiana,De Soto,73.788435116,4.9578125226,6.6146736898,97.0,54.988123515,24.0,9.2570296612,30.2,42.9,5,243.41669000000002,53165,High,75.245312348,79.106370282,33.934498783,0.5642841337,3.3230065649,1.3092867154,0.0516338423,59.452681272,6736,21.487343431,,78.781696298,27.480124438,24.941131594,11.258603736,0.4469229552,8.8,20.2,
22033,Louisiana,East Baton Rouge,73.187707433,4.4300507793,6.2842953171,77.379719647,68.525313673,25.0,11.720667042,27.4,43.0,393,474.95133,60205,High,59.060590167,6.8582099518,45.987999117,3.5322554391,6.7521133105,0.3511964091,0.0581982621,42.156279057,118276,18.441935486,57.160975131,89.97024081,22.27574794,32.050864227,17.598482638,2.1606218594,8.3,16.6,6.8331700947
22035,Louisiana,East Carroll,71.083969434,6.3964035357,7.0261249116,87.5,28.564356436,52.8,21.806992531,41.8,48.4,3,527.16357,34604,Low,59.968102073,100.0,68.619124323,0.4978767023,2.3429491873,0.4100161078,0.0,27.16356714,2020,20.369087872,,67.145135566,41.047416844,,20.541760722,0.0,8.3,28.4,
22037,Louisiana,East Feliciana,71.06038077,4.4983273326,6.4117257948,77.5,43.274485078,23.1,0.4371358891,28.8,43.9,6,452.44162,58360,High,83.843329253,100.0,40.672941911,0.3016277498,2.0489885069,0.4992459306,0.0208019138,55.156274377,4758,30.395136778,47.075233197,79.605263158,26.955950033,34.448562034,9.1257668712,0.1568160926,8.1,19.5,
22039,Louisiana,Evangeline,71.135148229,5.640699252,7.0281137683,87.0,39.311092376,28.4,6.289346854,37.1,43.0,21,78.73024,46178,Low,64.828431373,74.970633694,26.909995591,0.5794545569,5.0450336965,0.5794545569,0.0220444668,65.557095169,8303,28.049643554,28.724724807,78.145424837,36.465638149,24.343486596,19.544513458,3.1142561501,8.0,25.8,13.575418994
22041,Louisiana,Franklin,70.945325838,5.5422929874,6.6807888238,87.5,38.267786125,36.3,13.032849081,35.1,41.8,11,186.67358000000002,42066,Low,73.704257924,73.996156569,31.236712471,0.4459424423,1.7371013741,0.3577910293,0.0362976407,65.232045631,4526,30.833213825,,68.779757856,41.561423651,17.19429554,15.247252747,0.2456063748,8.1,24.5,
22043,Louisiana,Grant,72.880692792,5.2006432125,6.5001918243,97.5,35.890014472,25.4,8.844325829,33.2,42.6,1,77.58659999999999,58560,High,82.098679639,100.0,15.521883985,0.6526402264,6.206928027,1.4878371594,0.0593309297,74.64743736,6910,30.757006831,22.559783426,77.66504517,39.518450667,17.061628398,7.3764258555,2.2458459034,8.0,23.2,20.125223614
22045,Louisiana,Iberia,71.685627385,5.0715906503,6.7711979309,87.0,48.114816775,33.2,5.8248367066,32.8,40.9,32,159.624,51770,Low,67.985410696,32.437186289,31.98983136,2.5864999483,5.5705818886,0.7434339851,0.0738999985,57.458726851,17001,20.100992258,33.447572143,85.295321746,31.431823931,26.796210497,15.90185428,1.4152625134,8.3,22.2,10.288193368
22047,Louisiana,Iberville,71.891074879,4.8102146208,6.2474363764,88.0,52.891259547,31.6,1.9662201968,33.3,43.1,9,297.12665,54265,High,75.734227701,58.470288681,46.311240166,0.472701489,5.2267278928,0.4456899754,0.0236350745,46.510450079,8249,24.710327569,50.328227571,83.865119652,29.236783954,24.899126615,13.351623228,1.9375330863,7.5,22.1,
22049,Louisiana,Jackson,73.346100637,5.2724174778,6.5574537692,92.5,38.288535381,27.7,10.726576764,33.9,41.7,3,115.2855,51215,Low,70.38557658,65.105448739,25.932456259,0.4611420046,3.5128170351,0.5289570053,0.0610335006,67.753967178,3646,21.180782584,24.288458566,73.616565512,28.812368236,18.197179437,11.090400746,1.1498306998,8.3,23.6,
22051,Louisiana,Jefferson,75.182297337,4.5449822858,6.4651352495,70.575592228,65.375241763,23.2,4.8312093833,29.1,41.5,400,325.52747,61168,High,62.312838304,1.5713018483,26.49954834,4.4912358901,18.921136051,0.8950227253,0.0587988439,48.231411386,115299,9.5253131076,66.025862323,86.969590815,24.757737566,22.469702964,17.050098597,5.5608205493,8.1,17.3,9.8089105826
22053,Louisiana,Jefferson Davis,71.335254725,4.9179993851,6.6333873025,98.0,46.341158841,23.1,7.9756257044,29.3,38.5,12,199.66405999999998,62563,High,76.332877649,70.920930233,16.087218331,0.6053307134,2.6621874307,0.8969036225,0.038031249,77.58374798,8008,24.388150972,54.405256385,76.324333561,30.272596844,13.877587066,10.616740088,0.206659778,8.2,19.6,
22055,Louisiana,Lafayette,75.759984478,4.3137977877,6.0612541208,85.845753899,65.928284646,21.3,9.2744520485,26.4,38.1,263,422.82282,64181,High,66.103042564,9.0799286875,26.862862863,2.1073073073,6.5405405405,0.5109109109,0.048048048,62.572572573,72230,12.34175068,45.76293446,90.942761959,23.494135955,20.232329141,14.486690027,1.868582893,8.2,17.5,7.5686165789
22057,Louisiana,Lafourche,74.560347861,4.8591597014,6.7936566671,91.0,54.14521011,25.7,8.433029259,31.2,42.3,49,210.40229,60107,High,78.308420462,23.367877241,13.704553106,0.8921057061,5.8807439825,3.062405319,0.0767968355,74.833782192,25439,22.240756186,37.460906623,85.028210819,21.333697234,16.4372641,12.359241966,0.8085541731,8.5,21.9,12.842465753
