FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,79.492382397,3.4146592057,5.2628963365,92.126121635,70.396049008,11.5,9.1467361409,17.7,32.5,209,545.88215,89448,Low,80.552723318,2.7934985764,3.6636675513,1.7705568861,3.7598981595,0.7383433663,0.0716335469,88.50713099,42116,8.4195136915,41.001014701,93.747390295,5.1894905403,3.9839374884,16.472266083,1.8485503332,5.9,10.9,8.4323317028
25003,Massachusetts,Berkshire,77.651376502,4.0091522411,5.7956934289,90.300568643,66.645360605,16.5,6.012801394,22.8,38.2,141,1011.68604,74535,Low,69.964789355,34.68680731,3.4182844707,1.864088694,5.9068901891,0.4273841253,0.0686022489,86.321342396,28161,10.04974057,49.594974376,89.261638091,8.8475836431,5.69278866,15.047276002,1.0811822227,7.8,13.1,5.7952555326
25005,Massachusetts,Bristol,77.363279094,4.1927211762,5.8275348705,91.296404135,62.387622128,18.4,4.0967603483,23.8,35.3,293,598.96088,81047,Low,62.24881784,10.443888122,6.7401575344,2.6948943096,10.431544013,0.7477987973,0.1479785715,77.76969997,148717,8.5512153666,50.897598548,88.622837013,9.9576134084,4.5864557411,16.390492285,4.4449789011,6.3,14.6,5.6399284487
25007,Massachusetts,Dukes,83.066813322,3.7385625939,5.3957405773,81.165730337,71.310534772,11.6,8.8272416104,18.6,34.3,10,624.42961,94059,High,74.640043466,31.72815534,5.1107161727,1.3353186993,3.3959364042,1.2152360824,0.0768528748,86.589173351,4357,,33.655302393,92.434121163,5.5690915419,,19.705882353,5.934032833,5.5,11.0,
25009,Massachusetts,Essex,79.665190533,4.1629007452,5.234557128,89.498026099,69.272335717,12.5,4.1017444054,20.4,36.7,598,685.48024,96303,High,63.960651446,5.1545449718,3.7256400223,4.1636165903,24.468052276,1.0537113823,0.1703516527,66.190258107,202456,4.8477229308,37.129402412,91.443678692,9.1930944633,2.7605078732,19.827250292,7.0640436798,5.6,12.0,5.3297070331
25011,Massachusetts,Franklin,79.295952345,4.1063910355,5.853331046,78.462815405,67.580872011,14.6,5.3411922311,16.5,34.2,45,972.66926,71256,Low,68.734522827,54.853651326,1.4865322717,1.8451070077,5.5367327348,0.5293918347,0.2004630414,88.721836354,17064,8.2928299383,44.302842923,89.856498825,6.2790297609,3.9624248908,15.735628451,1.0292802369,8.4,10.5,7.2746628815
25013,Massachusetts,Hampden,76.294570856,4.5509032119,5.9945631511,86.462719704,59.638589925,26.4,4.8009759742,31.1,39.5,308,1166.8705200000002,67155,Low,62.22064196,9.5273976279,8.1157354804,2.8312524034,27.414831053,0.7947146479,0.1959629886,59.709835734,118093,10.420472182,51.954789965,87.275332895,15.049081045,8.3888178349,17.385849108,5.6315993523,8.6,17.3,9.2431424353
25015,Massachusetts,Hampshire,80.185190071,3.8858405434,5.7809753025,93.768581081,78.128519585,11.7,12.495694824,20.2,33.6,207,1124.90923,80839,Low,68.785818358,28.546960101,3.0030399626,5.662699536,7.455908235,0.3753799953,0.0861527858,81.54176564,31964,5.0380238219,27.390997218,91.534725595,1.4590831399,3.8378401131,14.974140054,1.0118355701,6.8,12.6,1.9014693172
25017,Massachusetts,Middlesex,81.54482622,3.2749696436,4.8052523473,92.499006742,82.758370964,7.6,2.5733339584,15.6,31.3,2012,718.74046,123288,High,61.632582548,3.5377407626,5.4871079933,14.65813029,9.3914721617,0.3070903574,0.0706917446,68.128860952,469480,4.0318426764,24.332679367,94.203560091,3.7944600883,1.8592800198,16.016241281,4.6194136776,6.7,8.5,3.5980089502
25019,Massachusetts,Nantucket,82.841520086,3.3769853412,4.7808257879,92.5,80.300187617,6.6,2.8491756949,16.4,31.6,6,436.16727000000003,108671,High,76.485736926,15.741844967,9.6649127665,1.8139019662,17.04513985,0.5192467461,0.1453890889,69.489061202,4264,,24.821286736,95.047543582,8.4033613445,,18.362282878,3.5840188014,5.3,9.2,
25021,Massachusetts,Norfolk,81.187887697,3.2039015587,4.7128209729,91.476623221,85.055738087,6.6,3.5993974818,18.3,33.7,867,714.6657,123449,High,68.517952581,2.0222292319,8.0796125767,13.39101245,6.0098450389,0.2621403131,0.0641948224,70.333469421,189009,5.0512053363,25.191658042,94.238969752,1.8963577289,2.1838902814,15.81781062,3.7848025732,5.3,10.4,5.0420168067
25023,Massachusetts,Plymouth,78.783263559,3.7260877657,5.3266219507,91.270977918,71.511939789,8.5,4.8051628174,19.8,36.0,338,647.85133,107828,High,77.621333864,12.46507755,11.836176556,1.8191396355,5.0359792867,0.3328924656,0.135436048,79.108662676,123034,7.9828292623,37.551657116,92.041593074,5.2876334826,4.0697656728,15.048012022,2.865919518,7.6,13.1,5.323052971
25025,Massachusetts,Suffolk,80.102604018,3.787202638,5.3800881739,79.189526617,78.636655174,20.3,0.209738281,24.7,34.7,1214,1109.28197,91386,Low,36.60579048,0.00451164,19.416208478,9.8854149722,23.402283892,0.7659823665,0.1544718092,45.014412597,282203,4.4283489525,42.065519612,90.264879696,7.2496624806,5.8222438573,23.983946191,9.9121586655,8.5,12.5,3.5784903714
