FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,73.48711096,4.655607686,6.408318929,91,52.93974437,22.3,9.744459928,25.2,42.5,36,407.29564999999997,54759,Low,70.32366234,34.98517018,7.714833589,1.19364381,2.06769432,0.2586476,0.080269945,86.34073105,16430,11.01615907,58.52145543,83.83510716,20.68743977,9.236702036,11.66334119,0.361881785,6.3,15.8,4.893867925
24003,Maryland,Anne Arundel,78.81770456,3.533443065,4.985762464,89,76.2515705,6.9,4.137128319,19.7,38.7,397,283.39237,116956,High,74.96265686,7.482393019,19.20374313,4.718104484,10.73157277,0.592853467,0.126307221,62.0610782,165552,8.392307134,41.72330261,94.85514441,9.741472952,8.282951085,12.06328882,1.790558187,7.1,11.1,4.449081492
24005,Maryland,Baltimore,76.88987347,3.598329184,5.338108004,85,71.34136124,10.3,4.424084173,21.6,37.2,734,435.5377,86807,Low,66.33146651,7.12914041,31.10915908,6.545377488,7.950605124,0.60139481,0.111992026,51.58108826,220813,9.125479452,50.92219137,90.5073739,11.50027798,13.76488852,15.49567186,2.052898047,7.5,12.2,6.390514321
24009,Maryland,Calvert,78.66880259,3.55571171,5.097960025,96,72.82942219,6.4,5.229637233,18.1,36.9,45,251.24567,124486,High,87.15544274,61.89064807,13.97474875,2.087028123,5.496790812,0.521493117,0.156236804,74.62313149,23139,11.86707642,33.73903038,92.9042855,7.379733407,7.509102105,9.328244275,0.394976707,6.2,10.7,5.602790495
24011,Maryland,Caroline,74.46206041,4.921122479,6.293957671,85,50.81565068,16.3,4.020179946,31.4,41.3,10,68.46664,63491,Low,71.85781135,84.9547953,13.24085375,1.306819873,9.400768017,1.056767779,0.372101331,73.39326645,8153,20.59520132,47.85118282,86.28191446,19.12493121,12.57326923,15.41997493,2.410215483,6.5,19,
24013,Maryland,Carroll,78.23952278,3.779333634,5.414939771,93,75.1857391,5.8,3.008523432,20.2,35.1,77,271.74067,113885,High,83.85496243,42.23875158,4.334263668,2.731559848,5.314228455,0.362320892,0.06906742,85.33676029,41456,10.66704295,35.50273024,91.47699529,5.379306725,7.133284843,9.371274144,0.717359244,7.9,11.9,4.105695336
24015,Maryland,Cecil,73.70289912,3.986364186,5.47181478,89,59.8204919,12.8,6.540923767,23.9,38.8,41,268.75615,87592,High,75.30618341,48.34803567,8.182867742,1.55197214,5.68551745,0.46086002,0.09936407,81.69429934,25737,16.72897403,90.30762235,90.68007568,16.30780413,13.70796626,13.04628911,0.851357804,5.6,15.5,11.55438464
24017,Maryland,Charles,76.71492788,3.500743388,4.911625825,93,70.74779062,9,5.183923578,23.6,40.8,64,215.15005,105141,High,81.23058523,28.41486763,52.64721788,3.544161002,8.248387828,0.797218168,0.15002355,31.45784513,44130,15.802326,35.76850623,92.8686523,10.67219272,14.13050305,13.9748882,1.079605151,7.1,13.4,9.759465992
24019,Maryland,Dorchester,74.15907896,4.663908459,5.839626592,82,51.48273527,23.2,4.98931251,28.3,40.7,11,273.73095,63087,Low,66.32392675,53.95776336,28.42239728,1.152711457,6.368806837,0.611332461,0.060829101,61.27923599,7385,11.97790742,57.69151523,85.56739718,27.89590066,18.01298177,14.74285714,1.714137585,4.4,17.5,
24021,Maryland,Frederick,80.01802129,3.675379737,5.034020699,93,75.57950332,7.3,3.113697841,19.5,35.4,157,312.21135,114089,High,77.03694245,27.54115495,11.55556919,6.739129694,13.19672383,0.581135754,0.109410309,65.41679874,74978,7.959356386,24.15647628,92.59972301,8,6.977072153,11.5812119,1.881154705,7.7,11.1,4.104608069
