FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,74.996987652,3.8398476938,5.7696288224,,65.898650848,16.6,2.4671419852,22.3,37.8,82,508.94388000000004,63456,Low,67.357179619,45.3450184,5.7188063113,1.0504109348,2.3249681361,0.4676306421,0.0430712434,88.166835143,27647,11.918326719,54.419068923,89.149082175,12.448478288,11.120023334,12.693904304,0.7462194996,5.1,16.4,8.9677952106
23003,Maine,Aroostook,74.99417416,4.5430346748,5.5512945053,,63.354485146,15.2,4.856652675,26.6,39.1,75,657.7482100000001,56361,Low,74.383506266,85.631473065,1.0200293982,0.6117206871,1.8455553741,1.9806684385,0.0445427685,93.085477573,13868,11.684824175,51.762410536,80.066702601,15.946079237,15.518496855,11.195577056,0.5314409866,5.7,18.9,7.5752451809
23005,Maine,Cumberland,79.543597172,3.4016307132,5.287501282,,82.050687306,7.3,3.5127265914,18.1,30.9,506,840.34426,96255,High,70.371452966,37.645552663,3.8709989363,2.5600361022,2.8817329078,0.325242562,0.0390033201,88.444702318,81914,7.8698820573,34.475451612,91.543272078,4.1968649924,7.5365841133,13.604794222,0.9469359198,7.6,12.5,5.4545454545
23007,Maine,Franklin,76.241970091,4.0047663554,5.5839980274,,59.792215847,15.6,5.5417093815,22.6,37.1,31,324.38043,56509,Low,77.000883038,100.0,0.6714674971,0.6098352147,1.7840923835,0.5417153237,0.0519008693,94.59582198,6449,17.123939267,37.716174692,83.952797624,8.7558808155,19.30206399,10.524126456,0.2525339883,5.4,16.1,13.495346432
23009,Maine,Hancock,78.127151808,3.5733365853,5.2579164335,,69.289091798,13.2,1.6490713217,18.5,31.1,59,470.57991,72647,High,78.789212548,100.0,1.1852952624,1.3285921523,1.9566217316,0.5236528323,0.0353819481,93.597636486,12266,17.584918347,35.718325287,89.080505762,7.343550447,13.679939808,11.82327318,0.1673982591,2.8,13.6,5.8984375
23011,Maine,Kennebec,76.132641394,3.8697117107,5.6046906917,,65.339048841,14.7,1.9950000078,22.4,35.8,138,582.27709,64643,Low,72.756600415,62.232898206,0.8557351543,1.0529707133,2.3393237413,0.5807054904,0.058934928,93.183979129,29627,12.794327693,44.238178352,89.795312964,11.287492023,11.500471357,11.421800948,0.3710420096,6.0,16.3,3.7086759523
23013,Maine,Knox,78.887239047,3.6485985876,5.4401545394,,64.014466546,13.0,1.6617192242,17.0,31.0,44,549.0885099999999,70533,High,78.536069859,64.222917231,0.8687800473,0.6589062157,2.0035629744,0.5124826122,0.0366059009,94.287039071,8848,12.79881682,40.916865113,89.893764948,9.3499554764,12.887747717,11.580148317,0.2315109268,5.1,12.8,
23015,Maine,Lincoln,78.853132707,3.8159079457,5.386405152,,65.590659341,13.8,0.924400504,20.4,31.5,39,210.91844999999998,74569,High,83.834331214,91.296080824,0.8025858055,0.8190210097,1.4682115759,0.4327937108,0.0219136056,95.113265949,7280,15.969600432,40.255387669,86.797111289,10.995260664,14.221190712,11.125569291,0.2559255489,5.8,15.6,13.721103654
23017,Maine,Oxford,76.083703251,4.1862838168,5.8460946594,,54.419201449,19.4,5.4968261182,26.6,34.3,39,305.48368,60220,Low,80.813708112,82.768229572,0.6009515066,0.6677238962,1.7677990151,0.5258325682,0.0600951507,94.671563309,13249,16.727961526,39.147603486,85.641934667,14.638346728,17.474790046,13.167729171,0.1633986928,5.1,20.2,7.6657723266
23019,Maine,Penobscot,75.248730081,4.353302054,5.8519739343,,70.426183188,13.0,5.755577954,23.3,36.3,207,668.33213,65215,High,70.280535441,57.062135756,1.0894200062,1.2600442979,2.1756206861,1.270346142,0.0399196456,92.492531163,38223,14.270545125,63.301638858,87.625252822,9.6546822247,13.134253081,12.362681102,0.2975764881,4.6,17.7,4.0164308535
23021,Maine,Piscataquis,75.439627512,4.1502425589,5.5649908186,,60.862354892,20.0,1.6816371374,23.5,35.5,10,240.19215000000003,51787,Low,76.920231784,100.0,0.6633878531,1.2066796294,2.0931030539,0.6805444355,0.0400320256,93.703534256,3618,17.67989291,54.286711389,83.590186167,12.5042244,23.484377018,13.588850174,0.4743659916,4.7,15.8,22.977346278
23023,Maine,Sagadahoc,80.097030753,3.7871711284,5.5777294969,,72.517889088,10.9,2.8451971636,19.5,30.8,24,237.25108999999998,83180,High,77.768160742,61.385868825,0.9836589982,1.0396395916,2.0952736385,0.4478447472,0.029323168,93.90877829,8944,7.519898046,25.337532124,92.593508501,7.844367744,11.538588336,11.618387909,0.2817774522,6.3,15.5,
23025,Maine,Somerset,74.388435627,4.4878048624,6.1831060666,,58.847231955,18.0,3.8989142109,25.9,38.9,29,208.56886999999998,56422,Low,77.261731979,84.878261386,0.6529959846,0.5262952711,1.6763479007,0.6140111497,0.0428833184,94.852052552,11416,17.467642601,49.893320204,85.345472138,21.116604862,18.942308831,12.965964344,0.02067098,5.5,18.7,9.6729617688
23027,Maine,Waldo,76.498092407,3.7378764044,5.4660696378,,66.610757017,18.5,3.7799372357,18.7,34.4,32,324.96307,68345,High,80.91668574,90.521877446,0.5637616937,0.6548498277,1.6912850812,0.6154603644,0.0246184146,95.1009355,8943,20.453493421,42.47310037,88.761730373,13.569243049,14.036143068,12.953819344,0.1438021283,5.1,14.3,
23029,Maine,Washington,72.340642529,4.4754327771,5.9667570927,,62.058638083,20.7,4.7455398014,26.8,40.1,13,700.36444,48104,Low,78.054185431,100.0,0.7415623514,0.5894469973,2.6842021867,5.1212169228,0.0411979084,88.867057519,6344,20.914509668,75.507013644,82.729287297,17.702016063,21.03250478,12.820512821,0.4297320889,4.3,18.6,6.9246435845
23031,Maine,York,78.642641154,3.5411222746,5.3998750829,,70.032795587,8.9,3.3422944005,20.1,31.7,145,463.89064,85445,High,76.137396122,51.979034967,1.3889270127,1.5513344862,2.3244855572,0.3266448903,0.0379713248,92.732379933,52751,11.22677888,39.038771747,91.313019391,7.4170919971,11.002988829,12.887448103,0.5201275214,6.9,13.0,5.5389859395
