FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001,Michigan,Alcona,75.116171366,4.3794492828,5.9816366462,,55.731475617,25.6,6.1626304384,27.3,36.2,5.0,143.00696,53033,Low,89.640344019,92.908429232,0.8008389742,0.4957574602,1.7351511107,0.858041758,0.0858041758,94.527600343,1579,17.899679183,,81.039874902,22.169437846,21.184808566,9.5933263816,0.1305483029,6.0,21.1,
26003,Michigan,Alger,78.869357945,4.0959884106,5.8372684574,,55.386949924,16.0,4.8934575132,23.9,35.9,7.0,91.35549,62543,High,84.269340974,100.0,7.605344296,0.5138746146,1.8271097408,4.6705492749,0.0,82.494004796,1977,,,83.753581662,16.467065868,,12.745098039,0.1293508937,5.3,17.8,
26005,Michigan,Allegan,77.553383824,4.0208132882,5.5521911611,81.049607423,58.202926101,12.2,4.7275383216,23.2,31.6,25.0,108.25085,78772,High,86.055041793,67.578131483,1.3482150912,0.9644166345,8.3730389785,0.7610362558,0.0508450947,87.068124226,29459,13.759972963,14.677903109,90.000889205,12.938715426,9.0528839303,9.5953887884,0.8846062712,6.0,16.6,7.5986361422
26007,Michigan,Alpena,77.025876616,4.6080740106,6.1050993848,74.0,64.142049026,19.6,6.1005290101,25.6,35.0,22.0,422.08691,53480,Low,79.425160986,46.639222334,0.7023249377,0.5708552449,1.7125657348,0.826875173,0.0484362026,94.716994188,6364,9.5043244676,,82.644887702,16.279069767,11.208955956,9.1378625348,0.1631794611,6.1,20.2,8.0604534005
26009,Michigan,Antrim,78.77828533,3.8332105991,5.6457561411,89.337944664,64.194039591,15.7,0.0613777402,18.6,32.2,16.0,61.452740000000006,72369,High,87.003806417,100.0,0.5121061903,0.3728133066,2.2204924413,1.3642508911,0.0778401409,94.063665042,4597,18.222017056,18.179021409,87.946347653,12.295081967,9.3062605753,11.127596439,0.1221853727,6.6,13.1,11.577868852
26011,Michigan,Arenac,73.925770789,4.527440423,5.8081153615,84.515503876,57.875579087,22.8,0.0018110722,25.5,34.5,6.0,191.48234000000002,56213,Low,85.687587603,87.541661112,0.6536810829,0.3829646748,2.3836249587,1.2941564873,0.0660283922,93.377352261,3022,19.028047342,24.435213364,84.831023205,18.216318786,,10.413354531,0.3970741902,6.1,20.2,
26013,Michigan,Baraga,74.900692729,4.5302095259,5.9920160924,,45.91226321,19.1,4.5129067649,24.6,38.0,6.0,168.47172,55856,Low,76.955349116,100.0,7.7858002407,0.4091456077,1.9735258724,13.922984356,0.0120336943,72.141997593,2006,20.643740646,,81.510338628,19.423978567,,9.9526066351,0.341210666,4.8,19.2,
26015,Michigan,Barry,77.898107168,3.9215529708,5.6899431638,87.004424779,58.731105807,10.6,0.0066791715,19.7,33.3,19.0,130.07773,75377,High,86.103486419,87.118530029,0.8588264794,0.6378510532,3.7769558676,0.642552658,0.0250752257,92.541687563,15084,17.377120588,15.906090442,86.070711623,11.845242674,13.491201809,10.366991499,0.3721897162,7.7,13.7,7.1151358344
26017,Michigan,Bay,75.148229796,4.2108312298,5.8411598876,79.128216123,64.5052564,16.1,5.2544389897,20.1,33.2,46.0,293.65854,59523,Low,76.360843333,28.939107996,1.847804878,0.6526829268,6.007804878,0.7141463415,0.0224390244,88.887804878,24922,10.770088978,34.718504314,87.866509339,16.569637259,10.48051207,11.543161871,0.0965820134,4.7,14.7,4.6933667084
26019,Michigan,Benzie,77.121465185,3.8318683621,5.5133090887,70.454545455,68.776150628,14.1,,21.3,31.6,11.0,178.94908,65594,High,87.824805786,85.5147468,0.7537552193,0.6181877339,2.5432460279,1.4749742422,0.0379588959,93.248739222,3824,14.395853994,25.748547046,91.950174123,14.783180026,14.461959484,10.0513573,0.0114935923,6.6,15.9,
26021,Michigan,Berrien,75.975996443,4.2968709002,5.7467650772,64.053710938,68.950490596,17.0,9.5625033762,24.9,39.0,122.0,316.56169,62758,High,72.757694302,30.096684725,13.570776496,2.146971319,6.423181248,0.7171895627,0.1287263318,74.655361517,35569,12.187894537,25.706604855,85.850968563,21.508049978,15.132382254,14.557211576,0.6911426248,8.8,17.1,6.8644406013
