FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001,Minnesota,Aitkin,77.903080798,3.9541779353,5.1433230984,81.860795455,62.890625,16.1,11.339267091,21.9,34.3,14.0,93.15613,59844,Low,85.306416727,100.0,0.4844118743,0.3229412495,1.4656564402,2.3289032418,0.0434728605,93.770960129,2560,19.808933829,37.608909133,83.273251622,14.218009479,17.577119612,13.874147081,0.0651678071,4.6,18.9,
27003,Minnesota,Anoka,79.860061297,3.6717514302,5.0228294933,85.803858521,71.632195063,7.6,6.5116640157,19.0,30.1,173.0,230.90905999999998,96661,High,79.964162707,15.902464227,9.4159880357,6.3655719966,6.0025614795,0.8965178377,0.063902739,74.794665464,98922,7.4684478049,20.167858639,93.615380661,6.6315034822,9.188851377,10.614061557,2.2834068186,6.2,11.6,4.1862221503
27005,Minnesota,Becker,77.87417194,3.793679148,4.911303402,82.328530259,69.36559843,14.6,12.763271463,20.3,29.5,28.0,263.58303,71719,High,77.804776451,70.912088224,0.6518720063,0.6008559363,2.1114984553,7.2556188533,0.0566845223,86.469404529,7645,15.723790923,13.327494621,87.975562344,14.447071185,17.257248044,12.046444122,0.2975832632,4.2,15.5,7.6226012793
27007,Minnesota,Beltrami,74.051535092,4.3370767196,5.6326285172,64.792020374,69.399653822,19.6,15.73085258,20.3,32.7,50.0,455.92705000000007,65855,Low,69.471744472,67.878774769,0.7748619376,0.8262339997,2.5728841132,21.993664112,0.0706365855,71.366496853,10977,15.88877855,54.045981752,90.188742461,23.714773004,14.063139234,15.778980347,0.1751878659,5.7,17.7,4.4567338972
27009,Minnesota,Benton,77.273432109,3.8350828034,5.0595113668,87.284768212,70.531482735,14.0,7.9218772982,19.6,28.8,9.0,28.84615,74677,High,67.854977568,45.034921095,5.7980769231,1.2836538462,3.7980769231,0.7259615385,0.0673076923,86.175480769,11816,9.4656135295,24.216984178,89.929671396,9.5069644042,9.2541180825,11.28440367,0.7130677414,6.1,13.9,
27011,Minnesota,Big Stone,77.487936509,3.7921265704,5.0400030844,,71.130104463,14.5,9.8389443848,23.8,31.0,9.0,137.12047,62245,Low,79.394217531,100.0,0.7247796278,0.5288932419,2.8795298727,0.9010773751,0.1371204701,93.712047013,1053,,,89.031665902,,,10.989010989,0.4137360364,5.9,17.0,
27013,Minnesota,Blue Earth,79.697399071,3.9688077953,5.205063356,86.523579202,74.062977323,10.6,16.988942784,24.7,31.5,64.0,507.09939,67236,Low,61.755508958,33.573040861,5.1966974259,2.5683512842,4.8438705254,0.4799588607,0.1085621232,84.869868297,17022,5.6764904992,16.895805978,87.609903248,6.0564349621,7.3049860913,15.752910252,1.0290943362,6.8,18.5,
27015,Minnesota,Brown,80.154644652,3.6062429995,5.0466243088,88.006993007,70.400984875,6.8,4.0433301847,23.9,29.2,24.0,230.21695,71884,High,79.435410196,48.151435628,0.5696894022,0.7452786015,5.3340096769,0.358982363,0.0351178399,92.277977212,5686,7.9081747933,,86.378585785,12.26993865,11.857051388,8.2598607889,0.8406462725,6.4,18.3,
27017,Minnesota,Carlton,76.279094311,3.8032167971,5.4578994661,91.1799591,69.263135182,8.4,4.2196892022,18.6,36.0,32.0,225.39036000000002,75512,High,79.351560263,63.507056647,1.9171758316,0.7141887305,2.0583842498,5.6401900883,0.0244399185,87.462321792,9269,10.721518485,28.470143085,85.921843687,12.365810572,12.735749803,10.636731689,0.4972535415,1.3,15.8,7.000569152
27019,Minnesota,Carver,82.334228571,2.9334296486,3.9093395883,94.902448071,84.444363716,3.8,3.768171879,16.7,26.4,92.0,230.51226,129437,High,81.713106808,24.650679935,2.2790098778,4.0213584015,5.1451056665,0.3943920689,0.0531258723,86.494322735,27527,5.5687908661,11.684218618,94.250702195,3.3007056681,5.6193981625,8.4914300667,1.0757850389,7.0,11.0,5.8509751625
27021,Minnesota,Cass,74.649470253,3.9710224409,5.4601090332,70.835714286,66.314533992,20.7,5.2107726626,24.3,37.9,9.0,89.04153,61490,Low,84.899749373,100.0,0.4833683139,0.4865483686,1.9907142403,11.397316034,0.0254404376,83.816701647,5869,22.435759737,37.020502826,86.145050125,20.750631541,23.819133381,13.314561545,0.2703997809,4.4,18.2,6.1377245509
27023,Minnesota,Chippewa,76.598592827,3.9431795703,5.2381420222,91.019736842,63.810829335,20.1,5.0833887545,21.2,30.6,12.0,90.37134,75774,High,71.439568899,57.207493253,0.895497864,1.3966480447,10.606309563,1.7745645744,1.8320736116,82.41866579,2918,,,86.354888376,20.876826722,,12.309160305,2.5030104937,5.8,13.6,
27025,Minnesota,Chisago,79.357373538,3.5436515163,4.8446817861,85.4125387,65.403971708,5.8,4.8904735219,20.8,31.9,28.0,175.9631,91338,High,85.638998682,65.655852069,1.5392500214,2.3421884343,3.0614162467,0.9003160502,0.0461262493,90.805500982,14704,11.651233004,12.191511225,91.779597214,6.5795023197,8.0772040231,10.041332361,0.3854452907,6.5,16.7,
27027,Minnesota,Clay,78.047761501,3.8364119461,4.9292124121,84.837748344,78.923971276,13.0,4.5595836042,20.4,32.8,13.0,333.54463,72172,High,66.637110143,25.792277779,5.4906577319,1.3719098071,5.080141266,2.0178695403,0.0950828579,83.955145039,17546,5.5455243182,20.897789422,88.021897529,7.3220686124,7.0906680642,14.5,0.7157881006,6.4,14.2,
27029,Minnesota,Clearwater,75.949446205,4.2734491077,5.0999412134,,54.717975751,18.4,15.148719403,21.9,31.9,3.0,23.13744,62435,Low,81.140215716,100.0,0.7056918093,0.3933364183,1.0874595095,9.3937991671,0.0231374364,84.578898658,1897,,,85.331278891,30.711206897,,16.796267496,0.1986590514,5.5,17.2,
27031,Minnesota,Cook,82.991213347,3.3450991117,4.6656095068,,73.627287854,16.3,8.9290308808,17.6,30.7,9.0,106.40184,62435,Low,79.62962963,100.0,1.5782940238,0.9753502394,3.4048590176,8.2106756517,0.0709345629,83.507714134,1202,,,92.111111111,,,13.0,0.719955695,2.6,12.3,
27033,Minnesota,Cottonwood,78.256867436,3.9665733463,5.0609522391,93.0,61.198120595,14.3,2.062660403,24.3,33.5,7.0,141.35523999999998,63898,Low,76.067825714,100.0,1.3340401096,4.7177312483,12.297906175,0.9894867038,0.7862885414,79.521159113,2554,16.371765002,,83.515775918,15.565839293,,9.860664523,1.8539221166,6.2,18.4,
27035,Minnesota,Crow Wing,78.651156201,3.7095599453,4.9845811416,85.026282051,70.887841158,10.5,3.7304277678,20.6,30.9,68.0,386.50738,74540,High,77.371603308,68.714365652,0.7964394472,0.5402319044,1.7129304287,1.0760716796,0.0336729913,94.277055517,15059,13.067055775,15.931335942,87.78928348,11.854562813,9.6733432888,11.310820625,0.2039407631,4.2,17.0,4.7412353923
27037,Minnesota,Dakota,80.906074817,3.3764892199,4.9017365104,85.90967092,78.03581939,6.4,4.6555981398,17.6,28.5,267.0,244.94904,100012,High,75.352211152,4.98110857,8.9904791704,5.7200965493,8.8324691579,0.7129447524,0.1021365993,73.29541391,118930,4.9155276537,14.576529055,93.793043174,6.1286918707,6.9072539981,10.51921578,1.8885509309,7.6,11.3,2.9946524064
27039,Minnesota,Dodge,81.208913202,3.3312761407,4.7681338042,92.74911032,73.317307692,8.4,3.3564679395,18.1,30.2,9.0,56.9044,87661,High,87.66525318,63.344036038,0.8203717754,0.8725341426,5.4296282246,0.5785280728,0.0379362671,90.6676783,5408,12.334934591,,90.508855076,5.9441252229,,8.0310880829,1.0237343384,6.8,12.6,
27041,Minnesota,Douglas,79.392590685,3.3338471338,4.8003829609,87.739224138,75.934263845,8.5,6.9210048577,20.7,30.7,44.0,245.28821,76508,High,76.435461644,51.399784649,0.6958175857,0.7408705229,2.4103321403,0.5030911321,0.0500588191,94.673741646,8884,13.041696166,15.353907569,87.09807074,8.8105726872,8.7928457269,11.36230182,0.3369908069,5.7,17.2,
27043,Minnesota,Faribault,78.543574547,3.9282897242,5.2461000355,86.518518519,65.472636816,13.3,4.4651395211,19.7,30.6,7.0,79.29070999999999,65264,Low,78.022690438,100.0,0.8866142867,0.5045772364,8.4552728321,0.8073235782,0.0288329849,88.409140056,3015,17.6045399,,83.954619125,8.1214689266,,8.8628762542,0.8563849943,6.7,14.0,
27045,Minnesota,Fillmore,79.571467427,3.6594937894,5.0329476236,,70.568133276,12.2,0.7425906825,22.0,32.0,6.0,41.81767,69157,Low,82.367261767,100.0,0.6272651241,0.7201932906,2.0490660719,0.2369668246,0.0325248583,95.311773999,4682,15.548104483,,85.219105031,4.9751243781,9.4388597857,11.764705882,0.4470494735,7.4,16.2,
27047,Minnesota,Freeborn,78.081512369,4.1763003294,5.3863104062,79.540298507,60.222511198,12.5,8.2956944282,26.8,34.3,20.0,140.9143,66215,Low,79.324796275,41.764039489,1.4025888907,4.0996231362,10.817630673,0.622644601,0.2556119941,81.867933803,6921,14.049087512,20.690180876,84.866123399,15.807673308,9.1769579695,10.704554301,1.7188732974,6.7,17.6,11.337868481
27049,Minnesota,Goodhue,78.683019683,3.324134272,4.9121356952,89.273076923,67.627206646,7.2,3.0056785345,18.6,33.2,39.0,135.318,83979,High,77.999083083,66.911857425,1.432288956,0.8139897991,4.1844488394,1.4572707401,0.0915998751,90.696367232,11556,14.023449647,20.379623188,90.805358871,8.8446655611,11.487308651,10.316649642,0.7674444322,7.5,14.6,
27051,Minnesota,Grant,76.98498513,3.8195296965,5.3670066942,,71.240875912,12.2,14.284845465,23.2,30.9,2.0,16.2893,72935,High,78.976596589,100.0,0.7981755986,0.3583645545,2.8017592442,0.9773578759,0.1303143835,93.419123636,1370,,,86.592621975,10.291595197,,9.3625498008,1.3529921943,5.6,16.7,
27053,Minnesota,Hennepin,79.466692509,3.450068434,4.8352817397,80.728411947,82.195585478,11.2,3.8150786873,16.7,28.2,1524.0,609.59091,93642,High,62.951364921,2.3880958047,14.312476315,7.6070557784,7.8523857305,1.1773136529,0.0512428171,66.463522662,388853,5.5077817006,32.297622858,92.242593621,9.2870040697,8.3370035132,14.704983478,2.574326975,8.7,12.1,4.4694581525
27055,Minnesota,Houston,79.617474664,3.4422234151,4.6307452599,72.858823529,77.600196705,7.2,2.5492123035,22.7,30.6,11.0,43.05242,77043,High,84.121872678,71.018415327,0.7910881498,1.0009686794,1.6037025078,0.3551824346,0.0269077602,94.860617802,4067,7.6416377558,,86.636115928,3.840877915,,8.5132634176,0.6676765977,7.9,17.8,
27057,Minnesota,Hubbard,80.074622868,3.7570031513,5.2054206801,72.035519126,67.471291305,13.8,6.3027634558,20.8,30.4,13.0,158.14206000000001,72166,High,82.611142375,100.0,0.4789445147,0.528646304,2.8284836436,2.851075366,0.103921923,91.568769203,4267,10.665457915,,86.752954418,19.287109375,10.158753613,11.194895592,0.1361205639,5.1,16.1,
27059,Minnesota,Isanti,78.514397628,3.6669356436,5.1191882669,77.039823009,61.521335807,7.8,7.7611701547,20.8,31.8,29.0,208.42018000000002,85799,High,83.779527559,59.282849155,1.1486267426,2.0216756982,2.6793571395,0.8637858367,0.0764207309,91.225510629,10780,15.075500209,15.865209183,90.103937008,8.1699346405,12.583242992,11.568627451,0.3442253664,6.4,16.1,
27061,Minnesota,Itasca,76.459930118,3.678816518,5.0974434788,91.565137615,68.293198141,16.1,8.7040193895,18.1,28.8,46.0,346.08178,65386,Low,81.944894652,77.011596392,0.5312465557,0.3548991513,1.5937396671,3.6900694368,0.1543039788,91.579411441,9468,12.651821862,24.346517341,86.936790924,16.118047673,13.287211944,13.866007688,0.1304357953,4.8,15.2,10.37780966
27063,Minnesota,Jackson,79.733076297,3.7508502709,5.1582574877,93.333333333,71.753986333,9.8,5.3861170217,19.1,29.9,1.0,80.65329,72413,High,81.316444243,100.0,1.0585744531,1.915515677,5.2223006351,0.7460429479,0.1814699062,89.525153745,2195,21.645646339,,88.057000679,14.001077006,,8.4571428571,1.0446647479,6.5,13.2,
27065,Minnesota,Kanabec,77.359155499,4.0968398829,5.3984612698,83.255494505,59.127210496,12.5,4.305796873,23.5,33.1,16.0,228.88809,70384,Low,83.799227799,100.0,0.692687628,0.9697626792,1.9636188411,1.0119262739,0.0542103361,93.524876521,3506,22.038858916,20.392348791,83.891891892,16.373559733,,12.210200927,0.2269338002,5.4,19.2,
27067,Minnesota,Kandiyohi,79.827172622,3.7348486738,4.7681452027,76.890410959,66.766351534,14.6,13.199515991,21.4,32.3,37.0,547.78262,69160,Low,72.148997135,42.961675661,6.0187615548,1.5360737681,14.639490562,0.5386529112,0.1415105106,76.41795814,10366,8.2773782563,8.4139028271,87.404011461,18.050541516,7.8416901149,12.998522895,4.3757035877,5.9,14.4,
27069,Minnesota,Kittson,75.805549283,3.594820863,4.995408759,,78.571428571,12.4,8.1016396513,20.8,32.6,,,72224,High,82.423208191,100.0,1.0344827586,0.7142857143,2.9064039409,0.7881773399,0.0,93.42364532,770,,,86.06370876,,,5.9880239521,0.354071826,6.2,17.0,
27071,Minnesota,Koochiching,76.902094638,3.9419189898,5.1548868237,88.391304348,72.152428811,15.4,13.868582978,23.0,32.3,4.0,187.21811,64009,Low,82.014010508,45.489968496,0.7573823504,0.6637732959,1.5828440133,2.7827418943,0.0255297421,92.221938558,2388,11.672833814,,86.917688266,9.7402597403,18.177912184,11.827007944,0.0962379703,5.0,18.4,
27073,Minnesota,Lac qui Parle,79.35052298,3.5215370878,4.9866167582,,72.761474793,10.4,3.4012917601,21.3,30.7,5.0,30.16591,67947,Low,82.957306491,100.0,0.6334841629,0.8898944193,3.7104072398,0.8295625943,0.3167420814,92.820512821,1329,,,84.484553974,,,9.3309859155,0.7722616233,5.8,15.6,
27075,Minnesota,Lake,79.608334659,3.7475459717,5.2130875375,92.5,72.751798561,10.9,3.4778266852,19.7,28.6,10.0,147.39751,71573,Low,83.996023857,100.0,0.5527406725,0.561953017,1.7319207738,0.8935974205,0.0276370336,94.491017964,2224,,,85.705765408,15.6612529,,11.332007952,0.1055459605,5.3,14.9,
27077,Minnesota,Lake of the Woods,78.911569663,3.7806936685,5.0890828175,,69.677419355,15.2,8.7312828099,22.5,31.8,1.0,26.469029999999997,65778,Low,84.264264264,100.0,0.9264160932,1.6410799365,1.9057702488,1.2175754367,0.0,91.874007411,775,,,87.747747748,19.578313253,,10.320284698,0.0278086763,5.1,16.6,
27079,Minnesota,Le Sueur,79.845842433,3.4786180419,4.8455481524,91.15625,67.277115275,6.8,1.4798202754,24.5,35.3,4.0,58.10972,78885,High,80.95486564,85.774569296,0.8819005298,0.8340454623,6.8501110921,0.6152794394,0.0546915057,89.745342676,7044,9.0081974597,,88.364205583,9.7868981847,6.9388548114,8.9206066012,1.2418492197,6.8,19.5,
27081,Minnesota,Lincoln,79.867626165,3.7155255226,5.2593670063,,75.369886858,9.0,2.9255697742,22.7,31.0,3.0,18.11266,65021,Low,82.05338809,100.0,0.3803658757,0.7063937692,2.7168991125,0.579605144,0.0905633037,94.403187828,1149,,,88.049281314,14.097744361,,11.270491803,0.2086494689,5.5,17.6,
27083,Minnesota,Lyon,79.084118325,3.6909123798,4.9716905359,86.82962963,77.757475083,10.6,14.548982028,21.4,31.4,21.0,243.83529,69161,Low,70.548835349,46.543195219,3.1737916388,5.4823612695,8.0622959846,1.0343335824,0.0825893735,81.492114681,6020,10.089855771,,88.943317005,12.143290832,11.823405614,12.69035533,2.8455284553,5.3,15.4,
27085,Minnesota,McLeod,78.966374323,3.9202865815,5.1161006199,88.285046729,66.108739609,8.6,11.926943338,22.7,34.1,27.0,266.41294,75691,High,77.783715183,44.499741644,0.8508903085,0.8916677994,7.7749082506,0.6415658556,0.1114584749,88.941144488,8902,11.478284274,11.90923332,87.46910694,10.135563157,6.6325825618,9.7160451591,0.9546813895,6.2,15.2,
27087,Minnesota,Mahnomen,68.521359257,5.2049796963,6.22292713,55.675675676,54.856115108,27.1,16.628266248,29.7,35.9,1.0,,54177,Low,72.474612507,100.0,0.4924242424,0.0568181818,3.9583333333,43.03030303,0.0568181818,45.018939394,1112,31.313605762,111.00832562,83.591662213,38.740920097,,16.085790885,0.5055611729,5.3,26.2,16.772151899
27089,Minnesota,Marshall,81.432006109,3.6791598534,5.0023780741,,62.512613522,9.9,15.615833898,22.8,31.7,1.0,,69843,Low,85.240641711,100.0,0.6696935301,0.4086265607,4.8354143019,1.0329171396,0.0908059024,92.190692395,1982,20.131318137,,86.417112299,7.4388947928,,8.6486486486,0.732687308,6.3,17.5,13.228699552
27091,Minnesota,Martin,79.179631019,3.8996572258,5.0609560665,84.742366412,66.233766234,15.1,7.630971019,21.8,31.1,16.0,101.74493,59843,Low,72.386877828,58.117353308,0.7122144783,0.8292211426,7.717352597,0.7783486799,0.315409269,88.975937325,4235,9.4069292888,20.32210537,85.757918552,17.744287798,,8.9244851259,0.5813953488,6.6,15.3,
27093,Minnesota,Meeker,79.785589657,3.7045806491,4.8685906993,93.856275304,65.750988142,8.2,7.8239863256,20.5,30.3,12.0,85.14261,75351,High,80.997702658,71.927350427,0.5661983823,0.4853128991,4.5423584504,0.5065985526,0.0808854832,93.133248191,5060,12.283729586,,87.452138716,10.202117421,,9.8159509202,0.3124292506,5.9,15.7,
27095,Minnesota,Mille Lacs,73.887673018,4.0957216196,5.5085327233,82.828798186,59.189647204,12.8,2.6195138013,24.0,34.6,17.0,273.45317,70512,Low,77.716733402,81.847386523,0.6963940642,0.7620228242,2.5339993437,5.5128158384,0.0510445911,88.792066212,6491,18.433479536,46.081227504,86.684048794,16.939474686,11.302925951,12.319538017,0.422273965,6.0,19.8,5.9003831418
27097,Minnesota,Morrison,78.307264942,3.9886780422,5.4407912403,85.43062201,63.858064516,10.9,9.3405979061,21.3,33.2,19.0,134.30657000000002,68639,Low,80.923520924,72.328726845,0.6627737226,0.4350364964,1.9503649635,0.402919708,0.0554744526,95.448175182,7750,14.96589913,14.789253143,84.588744589,9.0612002377,8.3343255149,10.384331116,0.1425295904,5.6,16.0,
27099,Minnesota,Mower,78.756271505,4.0233257775,5.0068300398,75.730693069,56.143157053,17.2,5.8374259824,24.3,34.8,17.0,167.25748000000002,66578,Low,76.043673732,36.348647231,3.9218133706,6.3158420291,13.665185481,0.7264466524,0.8812222278,73.378601029,10003,7.1620411817,24.076780021,87.668593449,19.560464849,7.9792141471,11.606284065,6.3939984516,6.8,17.0,
27101,Minnesota,Murray,82.917575534,3.7494925311,4.9628619767,,69.327467002,11.0,3.7542586594,24.0,32.7,3.0,74.54342,74801,High,81.838378228,100.0,0.4224127221,2.0250962853,5.3919741583,0.6211951795,0.2360541682,90.433594235,1591,20.868113523,,82.254929186,10.663507109,,5.8139534884,1.5825658321,6.0,18.1,
27103,Minnesota,Nicollet,80.862732412,3.6761685375,4.8814682635,87.879581152,74.714784633,8.1,9.7774122743,21.7,30.9,29.0,315.40214000000003,74482,High,72.250462107,25.210425495,4.3484609544,1.5361252263,5.6246714561,0.7067344197,0.0467262426,86.312131301,8590,7.5222533328,,87.492298213,4.9751243781,7.5691852645,10.247349823,0.9727566569,6.7,15.0,
27105,Minnesota,Nobles,79.778874517,4.0696359302,4.8038525637,67.173913043,48.245959795,13.0,9.894126871,28.0,32.1,14.0,142.67962,63576,Low,71.920925998,38.088829071,4.363234685,6.793390712,34.657338795,1.7075528145,0.4786670962,53.122842546,5074,13.099035256,,86.526206269,50.655542312,,14.398422091,11.625606016,6.4,17.9,
27107,Minnesota,Norman,77.518025847,3.81604298,5.0318695824,,63.350402341,13.7,9.1759530608,22.2,33.1,,15.800279999999999,62716,Low,81.576980568,100.0,0.7268130826,0.742613367,5.9251066519,2.5438457892,0.0316005688,87.675778164,1367,31.00294528,,86.696562033,15.54770318,,12.172284644,0.1158556769,5.9,16.8,
27109,Minnesota,Olmsted,80.991035339,3.1069768106,4.6975907355,85.462170234,79.286164,8.6,2.4484826375,17.9,30.5,378.0,551.6312300000001,89431,High,70.712452536,17.36845014,7.9795368482,6.8362219633,6.1007136615,0.5042965336,0.0837459948,76.264079037,46061,7.0311063356,22.804126931,91.373125816,8.863368669,6.8636406747,12.467110354,2.0294949785,5.6,12.6,7.0770783399
27111,Minnesota,Otter Tail,78.932076123,3.4601969985,4.9777495489,83.067208272,70.611057226,12.1,5.9728008247,26.7,33.7,32.0,161.64682000000002,69107,Low,79.162860887,77.919808259,1.4779137664,0.5459703757,3.8712763501,0.8461716095,0.100616897,92.014977073,12372,10.404215885,8.9232931413,85.850442794,11.829582852,15.158456398,11.030595813,1.0360241914,5.8,19.7,3.1997057742
27113,Minnesota,Pennington,78.325672728,3.9083358607,5.4956257997,91.551204819,71.193296735,10.6,5.0400610355,18.5,29.8,11.0,335.42365,73104,High,71.345218801,36.449399657,1.0354382383,1.3198191629,4.9438529969,2.202129211,0.0291672743,88.901852122,3461,,,89.82171799,16.399162596,,10.944026734,0.5209929513,6.0,14.8,
27115,Minnesota,Pine,76.855687285,4.2139434716,5.3474474339,81.639072848,54.073095553,13.6,4.3070026861,22.3,33.3,5.0,225.18793000000002,69619,Low,82.665995131,100.0,2.2353213895,1.1027585522,2.9539358214,3.314898831,0.026492698,88.339901315,6813,17.539927697,31.779540786,85.268194409,14.838467318,13.589818508,12.414109024,0.395651399,5.4,17.1,7.1376011773
27117,Minnesota,Pipestone,77.346612603,3.7916880915,4.9991794456,84.591346154,65.324490763,12.4,9.2178893352,23.0,31.0,5.0,129.79989,69117,Low,81.465625787,100.0,1.2655489454,1.1790156842,8.4910762574,2.2498647918,0.0108166577,85.743645214,2111,,,85.721480735,18.896071606,,9.3552465234,1.0947222862,5.9,17.0,
27119,Minnesota,Polk,76.902639501,3.7603562097,4.9114876864,84.042288557,74.463806971,11.9,8.5637012182,20.5,33.1,17.0,269.63041,68136,Low,72.116002571,46.534367787,2.5483361831,0.9733000132,7.0268315139,2.0551098251,0.0690516901,85.791792713,7460,11.438506589,11.906308179,89.187017995,13.509825328,9.6599068785,12.373635261,0.5009673853,6.6,15.0,5.2987598647
