FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29001,Missouri,Adair,75.86334306,4.933778256,6.12490733,87.2826087,63.41991342,16.9,11.53291578,27.8,39.4,44,322.42656,56954,High,60.58803726,33.45184483,3.749701457,2.710771435,3.188440411,0.493591275,0.087572646,87.76769366,5082,16.36873684,,81.93244305,8.170228048,14.23701466,12.88863765,0.836029072,7.4,20.5,
29003,Missouri,Andrew,78.48397295,4.274486356,5.612925878,96.47368421,61.67255595,9.7,4.621028666,25.1,37.5,2,22.06653,75926,High,76.96057348,60.41356493,1.257792244,0.66751255,2.769349589,0.446847244,0.077232857,93.12075909,4245,16.15313169,20.52583456,82.13620072,14.05733186,11.24732876,8.35755814,0.181170008,7.8,18.7,
29005,Missouri,Atchison,73.87438316,4.752640076,5.793825901,,53.03167421,14.6,1.539452596,27,38.5,2,58.7429,56797,High,73.63834423,100,0.587429019,0.489524183,2.271392207,0.332876444,0.058742902,95.08517721,1105,,,84.40087146,,,9.684210526,0.260991769,7.5,21.3,
29007,Missouri,Audrain,73.87429864,5.158791694,6.066081093,89.20522388,52.0820089,19.1,9.389153239,32.5,41.7,10,233.66402000000002,55957,Low,72.73940607,54.52688086,5.603837009,0.647700254,3.279494958,0.762482578,0.135279167,87.51332295,6292,16.40512745,17.50818171,84.17306195,25.38902539,12.78854147,9.413067553,0.522745928,7.8,26.2,12.74647887
29009,Missouri,Barry,74.53605909,5.104193636,6.159677516,90.69570136,43.54900705,20.2,8.466409221,29.9,37.6,26,119.09826,53303,Low,74.90269461,82.51578155,0.609669644,2.625832979,10.52034595,1.417836382,0.204168439,83.47086346,7805,30.17732194,15.17220452,81.78892216,32.33618234,16.93661753,14.7752395,1.74796376,8.3,21.2,8.313253012
29011,Missouri,Barton,75.35560053,5.464785277,6.048533377,91.74825175,54.32603045,22,27.28319864,31.3,39.8,4,76.71979999999999,50185,Low,69.62711864,100,0.699002643,0.673429375,3.136987469,1.58554258,0.076719802,91.93589634,2693,17.02044885,,81.85310735,26.58326818,,11.50442478,0.172492056,8.1,25.3,
29013,Missouri,Bates,74.72805765,5.066243143,5.989742272,89.33673469,45.85210708,16.4,8.653533319,27.1,40.5,2,73.88253,56178,High,72.33472803,100,1.55768994,0.387883266,2.838320404,1.003570989,0.073882527,92.50708041,3773,24.61170638,28.85170225,80.82008368,22.51184834,13.57756493,13.53383459,0.203974207,7.4,20.8,
29015,Missouri,Benton,73.74472704,5.089474195,6.012926377,92.63071895,50.04522159,24,5.177812365,28.3,38.7,5,87.58272,50946,Low,83.72520206,100,0.754184508,0.457376411,2.25282211,0.968275594,0.092448424,93.77676139,3317,28.59384279,,80.76169483,25.90018951,28.43216897,14.13181242,0.094374246,7.1,22.5,
29017,Missouri,Bollinger,73.29631734,5.331748358,6.184658168,93.93442623,41.9550173,20.7,11.60418136,30.1,40.1,2,47.42033,53134,Low,80.08747106,100,0.654400607,0.26555387,1.707132018,0.863050076,0.0284522,95.03034901,2312,21.99279125,,79.90738359,26.66043031,,11.9205298,0,8.2,26,
29019,Missouri,Boone,78.24528989,4.243769777,5.739312716,90.9863124,79.07367411,12.1,9.988103696,20.9,33.9,220,458.13694000000004,70153,High,58.11624314,22.75420729,9.906419723,5.233739569,4.49533682,0.502472778,0.13511873,76.71629817,50004,8.963292957,24.97659567,90.33082947,8.438518097,16.35788434,16.34411544,0.98568705,7.9,15,4.316348342
29021,Missouri,Buchanan,73.4352498,4.782487121,5.461489184,78.83427283,51.86618745,19,11.56726861,26.2,39.9,55,223.00979,60575,High,64.89610156,13.74995578,5.79584358,1.55986306,7.618496552,0.826944404,0.773904238,81.1393992,21702,13.00985455,35.13703443,83.99904186,29.09442267,15.1434316,15.08497518,1.273077703,8.2,20.2,10.14835519
29023,Missouri,Butler,70.14971351,5.611621703,6.512836158,91.79513185,52.62260556,24.6,8.620478393,30.6,39.6,40,348.04997,48059,Low,64.99090358,51.46214099,5.802422046,0.936874225,2.541241537,0.765233146,0.040526366,87.26518547,9971,19.86665769,45.86503029,82.16494845,41.50022193,22.2143448,12.47660636,0.022795198,8.1,22.9,10.45109424
29025,Missouri,Caldwell,74.83276547,5.024916418,5.89777646,,57.30452675,15,7.839814526,27.3,38.7,1,33.500840000000004,62916,High,80.95238095,100,1.016192072,0.502512563,2.434394193,0.882188721,0.13400335,92.77498604,1944,37.99211664,,81.56502367,26.04698672,31.10489013,12.07658321,0.071343639,7,20.9,
29027,Missouri,Callaway,75.95022802,4.557682023,5.789176162,89.36827957,59.05902481,15.6,7.819253232,27.5,39.4,17,192.2604,64214,High,76.34388694,60.11336179,4.851221748,0.820460084,2.568688382,0.639377613,0.078245512,88.99644542,11690,17.514306,26.80825396,89.73029686,17.55041075,13.39770185,8.251659817,0.090231277,7.7,22.2,
29029,Missouri,Camden,76.80476282,4.547912696,5.382017335,91.12009238,57.87919793,17,6.176889101,24.7,37.6,33,211.15248,63903,High,83.11589983,56.25219324,0.719734811,0.699300699,3.610026337,0.783307602,0.081736445,92.83216783,8129,20.26169242,19.4584562,83.09842749,19.56211945,17.7196573,11.81005242,0.301364579,7.3,20.5,17.18924972
29031,Missouri,Cape Girardeau,75.81111775,4.36520235,5.437575842,91.68015666,69.65667189,13.6,9.519329744,27,39.3,74,303.673,67445,High,65.95071288,32.20046506,8.107587005,1.914826955,3.057215849,0.44345898,0.053022269,84.19333848,19777,14.66322856,15.54039685,89.57718781,16.02172437,17.90385629,13.52094453,0.123835814,9,22,6.192484663
29033,Missouri,Carroll,74.85455665,4.728408282,5.695347786,91.575,48.53489611,17.4,9.127719217,27.1,39,3,59.587650000000004,56690,High,72.58205054,100,2.037897748,0.16684543,2.693361935,0.381360982,0.154927899,93.02824455,1877,33.06659613,,78.30380482,19.30294906,,5.988023952,0.111926377,7.1,21.3,
29035,Missouri,Carter,71.52548841,5.333451119,6.221347212,,49.40978078,30,26.34225887,29.8,38.4,1,150.858,43801,Low,64.07124682,100,0.716575523,0.264001509,2.376013577,1.489722798,0.018857251,93.00396002,1186,36.62824771,,81.42493639,35.91836735,,6.631299735,0.87398374,7.1,22.7,
29037,Missouri,Cass,77.04815419,3.940754888,5.335764841,90.68092354,64.27468569,8.6,8.485859318,23.4,39.3,27,141.4098,85283,High,75.89279384,29.6612999,5.200837719,0.90752873,5.652812086,0.763433931,0.12887982,85.03293595,27202,14.11022911,18.66368048,91.11578549,14.5671592,24.55485033,9.20588593,0.316029276,6.2,16.2,4.404145078
