FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
28001,Mississippi,Adams,71.041332601,4.6059943669,5.6385506595,88.0,51.836306401,32.3,15.403406949,33.3,40.4,22.0,135.67105,44385,Low,66.456407155,36.478434559,55.812982676,0.5670354136,4.6336881653,0.7722813609,0.0104362346,37.306059974,6671,24.106522469,20.589076351,81.672859241,34.183492738,40.854597817,13.166006165,2.5750758989,7.7,18.9,19.242333133
28003,Mississippi,Alcorn,72.148360952,4.5445698709,5.2066954017,92.167182663,50.590762621,23.3,7.8058532205,31.9,37.5,15.0,322.24989,48556,Low,65.401582522,64.122049511,12.365607148,0.6679361359,3.8611395928,0.4804452908,0.0585908891,81.403251794,8379,26.001244908,18.019385065,74.126461732,33.656364589,28.440776266,9.8395721925,0.2661364332,7.5,18.5,
28005,Mississippi,Amite,72.121349585,4.6275100807,5.3932033144,87.5,52.441150828,29.3,6.8106303271,35.6,42.2,2.0,16.07459,46108,Low,83.248038212,100.0,38.04854525,0.2973798425,1.4386754541,0.3857900659,0.0241118791,58.961581739,2294,39.085401603,,65.847833504,23.641642472,20.939372463,11.044520548,0.1500375094,7.9,22.9,
28007,Mississippi,Attala,70.969939272,4.4587859147,5.339980241,91.116071429,56.714902259,27.8,15.408451055,34.8,40.4,9.0,51.84630000000001,52128,High,76.588835627,62.457376041,44.391958062,0.5242237456,2.1372198859,0.4032490351,0.0172821015,51.633158592,3939,37.734365788,20.655337527,78.629967527,27.584608252,18.932222643,16.416732439,0.0,8.9,20.5,
28009,Mississippi,Benton,70.722105941,4.5768040276,5.4612855802,77.5,65.025758443,30.1,16.956796802,31.3,38.3,1.0,53.777899999999995,47969,Low,83.283779319,100.0,34.25652057,0.3092229094,2.554450121,0.4974455499,0.040333423,60.943802097,1747,54.719079307,,62.074661381,38.13559322,,10.810810811,0.7957195774,7.8,17.9,
28011,Mississippi,Bolivar,66.985641325,4.6186169483,5.1011761354,80.338108883,63.733368463,45.4,27.819669853,32.1,38.0,15.0,93.2063,39920,Low,60.955740321,53.700177505,63.024716929,0.9493233913,2.7823805579,0.2002209334,0.0828500414,32.328776581,7591,29.104281101,15.586729014,76.114890401,36.426824559,40.189483532,17.374350087,0.6846156575,8.6,16.9,
28013,Mississippi,Calhoun,70.532783892,4.6708082271,5.5326204153,87.5,55.663865546,25.5,1.1493339762,35.8,40.4,2.0,15.76665,46966,Low,73.051264045,100.0,27.567993693,0.1970831691,6.5825778479,0.402049665,0.0394166338,63.870713441,2975,40.841748435,24.975024975,77.37008427,38.952316991,24.696021035,10.670194004,1.289433136,8.4,22.7,
28015,Mississippi,Carroll,71.954996942,4.692172972,5.3342367994,77.5,55.944055944,23.7,20.419031281,35.9,39.3,2.0,,55290,High,79.83353151,100.0,33.266911379,0.3251179864,1.8353434714,0.2202412166,0.020975354,63.23020451,2288,28.738109607,,68.585017836,28.327097809,36.585365854,7.4074074074,0.0,8.3,23.6,
28017,Mississippi,Chickasaw,71.011759953,4.6907627047,5.6697560771,,51.934378061,26.0,5.7992402882,37.0,41.0,10.0,29.64544,44599,Low,67.235443796,100.0,44.100557334,0.4861852247,4.1207162338,0.4031779912,0.0652199692,49.608680185,4084,37.675820496,,73.027989822,43.370848202,27.043551877,15.122312824,1.3061120974,8.5,21.8,
28019,Mississippi,Choctaw,73.796908935,4.3657820754,5.3005875629,97.5,63.686534216,27.0,6.3562341681,31.0,38.1,1.0,160.73195,50545,High,80.289855072,100.0,28.511374876,0.5069238378,1.9535113749,0.284371909,0.0,67.581602374,1812,38.452127102,,78.985507246,31.818181818,24.573647221,8.452722063,0.0,8.6,19.3,
