FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001,Montana,Beaverhead,79.089602063,3.9878066543,5.259308521,92.5,79.297423888,15.5,7.1374086501,22.8,31.4,14.0,202.32675999999998,63084,High,67.313758796,52.737167858,0.3945371775,0.617096611,5.3616590794,2.0839656045,0.5968639353,89.246332828,2135,,,87.163309876,5.9121621622,,17.063989962,0.0219466696,5.3,14.9,
30003,Montana,Big Horn,64.603903774,5.6387431061,6.0071789541,67.729357798,58.516483516,23.8,23.667413124,29.0,36.7,7.0,125.48035,51259,Low,68.24708751,100.0,0.4156536742,0.6979844718,5.0427417457,66.622225708,0.0313700886,26.648890283,2912,89.99143455,,81.224600379,51.654560129,38.151629838,20.509193777,0.0331702463,6.6,23.4,11.452513966
30005,Montana,Blaine,69.954691693,5.070065937,6.2051970543,,64.967006599,21.8,18.420228171,26.1,32.3,4.0,217.42281,56865,Low,63.169351328,100.0,0.5363096101,0.3043919409,2.971445137,50.079721699,0.0144948543,44.615161618,1667,25.380173854,,83.326077492,31.425364759,,18.222222222,0.3092624092,6.0,21.8,32.731376975
30007,Montana,Broadwater,80.245307281,3.9143023229,5.3582680108,,69.230769231,11.1,3.8207479299,22.1,31.3,1.0,74.7012,72933,High,82.167590028,100.0,0.6225099602,0.4606573705,3.7724103586,1.3570717131,0.124501992,92.255976096,1716,,,82.132963989,11.067193676,,9.6188747731,0.0,5.2,17.1,
30009,Montana,Carbon,80.383221857,3.6959370668,5.0293551799,,59.036144578,12.4,3.3414548536,20.5,33.1,7.0,105.08801,72463,High,74.067005937,100.0,0.7969174183,0.8669760925,3.0738243279,1.5325334968,0.0700586741,92.389876522,2241,17.208969845,,84.626802375,10.887316277,29.419335858,14.412416851,0.0954380607,5.7,14.3,
30011,Montana,Carter,,4.2044340327,5.6022554886,,77.5,16.2,34.268155673,22.9,31.9,0.0,,55704,Low,61.602671119,100.0,0.2820874471,0.2115655853,1.269393512,1.1283497884,0.0,94.922425952,200,,,85.976627713,,,12.903225806,0.0,5.5,16.7,
30013,Montana,Cascade,75.503762317,4.3375022455,5.635207389,83.317801673,65.734202833,12.7,9.8691567818,23.2,36.0,63.0,406.36042000000003,65018,High,70.153828526,20.514369654,1.3981154299,1.2014134276,5.3992932862,4.8928150766,0.1460541814,84.087161366,22235,14.901089686,15.555138979,87.35856083,20.768431983,22.961835013,12.297119462,0.0716269368,5.9,16.4,
30015,Montana,Chouteau,75.934678312,4.5880814088,6.0074573323,,54.838709677,19.2,22.463795793,24.0,35.5,,119.71951000000001,61903,High,65.913200723,100.0,0.2223362408,0.5985975714,3.1982213101,17.872413203,0.068411151,76.842825381,1364,29.69047678,,72.377938517,,,7.9545454545,0.0,5.6,17.6,
30017,Montana,Custer,76.188765618,3.9414201767,5.3571737721,87.5,63.781624501,13.4,4.5418035142,23.9,33.0,8.0,400.50063,58850,Low,68.497224425,22.246566108,0.7759699625,0.6257822278,3.4793491865,2.8785982478,0.0500625782,90.296203588,3004,13.435442698,,85.785091197,20.125223614,,13.963039014,0.114638448,5.8,15.9,
30019,Montana,Daniels,,4.0904133978,5.5279524161,,75.247524752,11.5,5.2158852855,21.8,32.9,0.0,61.23699,56695,Low,80.446927374,100.0,0.1224739743,0.1837109614,3.7966932027,3.6129822413,0.0,90.508266993,303,,,86.452513966,,,10.828025478,0.0,5.3,16.1,
