FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001,North Carolina,Alamance,75.398043748,4.1248293062,5.1132514682,86.64973262,61.525093841,16.0,11.111975905,25.8,36.7,67.0,192.00179,66395,High,65.608334186,26.44459353,21.402059554,2.1170429492,15.436608713,1.5415957358,0.1222336952,58.580079815,43158,14.411664971,31.826617789,88.18690551,15.131578947,14.22705683,13.157894737,3.3652002994,7.4,17.3,5.0568662468
37003,North Carolina,Alexander,74.110219268,4.1850326423,5.2668186957,84.0,52.521154515,17.4,7.5938642901,22.7,34.3,7.0,90.47789,62976,High,81.669665347,89.084622983,5.5465686947,1.2749156911,5.8070353412,0.6059276725,0.0877361336,85.331615167,8627,18.450113584,23.508775102,84.634760705,17.944081235,18.334079279,9.6331974805,0.5885917078,7.7,16.2,9.5437860514
37005,North Carolina,Alleghany,77.26032233,4.6375572096,5.5497508392,87.5,52.548488949,24.5,1.9906552446,27.2,35.1,11.0,229.23647,46571,Low,77.0647653,100.0,2.3981661083,0.7670604832,11.523540822,0.7670604832,0.0617175101,83.882913066,2217,24.482958572,,81.045751634,29.792017988,21.533933891,12.893081761,1.4985862394,6.4,19.6,
37007,North Carolina,Anson,70.38965243,4.6579656971,5.4290528787,89.0,34.853126689,33.0,4.6267575376,29.0,41.0,10.0,86.76988,50503,Low,65.612220351,77.76921333,46.892268347,1.7171302005,4.6262045029,0.9818696625,0.0959035484,44.366808239,5549,29.145674841,30.720168522,84.387779649,30.833151104,29.741166873,18.794749403,0.7033432893,7.5,20.1,
37009,North Carolina,Ashe,75.700201121,4.2034356846,5.2628174529,82.5,61.965134707,22.0,10.580773209,24.1,33.9,13.0,177.36392999999998,54589,Low,78.381531794,100.0,0.8868196431,0.5210065403,6.1227506189,0.5690426043,0.0702065551,90.906403577,5679,16.386510202,17.28672503,80.181681807,25.101909461,19.955801595,8.9978678038,1.0156219715,5.9,17.4,
37011,North Carolina,Avery,75.88210899,4.2230197161,5.226335778,87.5,53.086705202,22.1,0.1933960905,22.6,33.8,4.0,478.33267,55922,Low,79.966458302,100.0,3.9063834634,0.7858322419,6.2183246968,0.7915266784,0.0911109846,87.500711805,4325,14.619883041,,82.604055496,17.666853617,22.709724304,10.736677116,0.9193234722,5.7,17.0,
37013,North Carolina,Beaufort,73.732709978,4.2996660822,5.1335196043,81.306382979,60.079051383,30.5,9.1894394512,26.1,35.4,23.0,206.82988,55960,Low,70.09893734,63.027411986,22.852453857,0.6609563634,7.9067467008,1.1038420899,0.0899260358,66.727366741,9361,20.338983051,42.70577927,84.578338481,23.503325942,17.834926877,14.800861141,1.6523089959,5.9,17.1,
37015,North Carolina,Bertie,71.951656695,4.7022071395,5.3298081465,92.5,49.462616822,33.5,24.485355139,29.9,43.8,5.0,70.9136,44371,Low,74.487471526,100.0,59.67970689,0.7977780404,2.5056139936,0.8391443092,0.1004609384,35.00177284,4280,26.052042787,39.283910433,69.903189066,32.323232323,19.687192388,21.210013908,0.7811568277,6.1,21.0,
37017,North Carolina,Bladen,70.337360105,4.6256598671,5.5114526149,89.052469136,56.260801257,29.1,7.2511461904,28.2,38.2,7.0,101.7501,49661,Low,69.849591749,100.0,31.708723375,0.4985754986,9.537376204,3.5103785104,0.0644417311,54.008954009,6365,43.108620391,67.477852028,83.420713365,30.996884735,22.180818029,19.016536118,1.4635359312,6.2,17.7,
37019,North Carolina,Brunswick,77.058210536,3.6548657864,4.9556526691,85.0,61.970490243,16.8,8.6126302836,19.8,36.3,63.0,125.65326999999999,76797,High,83.839779006,36.381526486,8.7094596284,0.873946638,5.7075341952,0.8264359481,0.1106498962,82.380410592,27313,17.891051628,37.193212015,92.653175244,20.868411654,14.878451319,14.115204982,0.5045832384,6.2,13.9,7.7822762033
37021,North Carolina,Buncombe,77.403702065,3.7721168527,4.813131958,90.330474934,70.827998293,16.4,9.8158863085,18.4,27.7,382.0,895.61111,71218,High,64.437237027,22.303415822,5.6451408295,1.5157610882,8.5603169253,0.5770185683,0.1993468672,81.803617964,74976,12.10253616,46.500123671,87.727910238,13.86304619,13.996601685,13.507120444,2.6494305845,5.1,11.1,4.8984180519
37023,North Carolina,Burke,74.169901722,4.4646320141,5.4989310321,88.0,56.354973772,24.4,10.005108404,24.4,35.2,55.0,330.54857000000004,55616,Low,74.772112731,45.923261391,6.2215581064,3.7096153411,8.5659625529,1.1784283094,0.863727954,79.270529104,20779,17.762245148,51.14512429,82.778133973,24.287836703,14.996295691,11.36,1.4883976712,7.5,17.3,13.487016428
37025,North Carolina,Cabarrus,77.189573148,3.5183309357,4.5024242116,88.647557003,71.105907838,12.4,8.2684935713,21.4,34.3,183.0,346.22692,85540,High,72.132636556,17.272058954,20.813195787,7.0370308646,12.957469502,0.7949470035,0.1374908339,56.770798613,62781,12.001487397,31.079624837,91.270374518,13.66647738,10.749326599,11.632094978,1.6249902123,8.5,12.2,9.6459096459
37027,North Carolina,Caldwell,72.358851842,4.479213936,5.3522018717,86.0,58.056818182,18.1,15.368314226,24.5,33.0,40.0,110.45746999999999,56239,Low,74.012696087,42.821008778,5.0450517537,0.8985528831,6.8111301412,0.7086653263,0.1365204657,85.249584233,17600,15.069424488,45.668675814,85.158395898,23.440430054,18.90674799,11.494974874,1.1727259682,7.4,18.4,14.379442318
37029,North Carolina,Camden,75.929649942,3.6568466655,4.8758644053,92.5,74.312267658,8.5,1.0496470926,21.9,33.9,2.0,53.874469999999995,84656,High,83.763931104,94.756156446,9.3023255814,1.7868366706,4.5793301607,0.529765646,0.1346861812,80.982311215,2690,13.24801611,,92.223910841,9.6774193548,,12.005277045,0.2364299084,6.0,15.8,
37031,North Carolina,Carteret,75.610298921,3.8276417875,5.0970228215,86.0,72.46063815,14.4,7.7033380626,20.0,33.0,42.0,202.54256,76397,High,73.504711841,30.597169282,4.8552754435,1.1391223156,4.9041154924,0.7196724844,0.2025425555,86.400919342,14354,14.455432868,47.715672429,92.018719149,12.843565374,16.451355938,11.190555371,0.3859250851,5.7,13.5,
37033,North Carolina,Caswell,74.412573947,4.2058362907,5.055634251,82.5,52.051835853,23.3,3.0131167971,25.8,36.3,5.0,70.15390000000001,57865,Low,76.063155468,99.828465869,30.455561889,0.7322313325,5.3404656465,0.9646161266,0.0306923313,61.143508572,5093,32.780891262,29.511147836,79.578195229,22.594567149,17.687688484,9.656777196,1.3080656344,7.3,18.3,
37035,North Carolina,Catawba,73.919751616,3.9262983502,4.9570396067,85.96107056,64.660794554,15.6,9.7878327883,23.3,32.3,103.0,274.53005,65898,High,72.719743562,35.157213125,8.3215402836,4.9555103404,11.663275532,0.6498830818,0.1579155152,72.809377752,38487,16.634946983,38.517627479,87.481787089,16.907592735,17.295118173,11.509032105,1.9668730307,7.9,17.0,10.131486264
37037,North Carolina,Chatham,79.932654518,3.5994132676,4.6824296086,86.44516129,70.060105184,11.7,4.5506711429,20.5,30.1,73.0,178.86896,95716,High,80.414225033,64.036180114,10.801970009,2.8153484269,13.433548956,1.3721454474,0.1702930511,70.86396158,15972,18.101271853,30.406722027,86.677208322,9.4352248394,12.594788906,13.226020577,3.4594854918,7.5,13.8,
37039,North Carolina,Cherokee,74.248946833,4.3677050603,5.3066146459,91.0,55.256630414,24.5,3.1824514111,24.4,32.2,12.0,166.89476,53926,Low,83.614476307,100.0,1.595513869,0.730999032,3.9720951968,1.8024633666,0.0567442171,89.866150406,5241,21.919009261,49.001732154,82.211317283,23.804324088,23.489260572,9.74130962,0.1567007372,6.1,18.2,
37041,North Carolina,Chowan,74.440706024,4.4692715896,5.31729152,92.5,47.079254815,24.6,16.281895063,26.0,37.8,10.0,158.37593,60808,High,69.677742528,68.419900788,31.61039522,0.8278741631,4.1465697214,0.6119069901,0.2663595134,61.356273846,3167,19.400226676,33.753646599,83.302721656,23.887079262,15.838960964,14.513556619,0.7433252427,5.7,17.7,
37043,North Carolina,Clay,76.828852682,4.0885809585,5.2113880929,77.5,74.170854271,22.2,1.0997645723,23.7,33.1,5.0,151.71949,53229,Low,79.825431462,100.0,1.3991908294,0.4720161834,4.2397167903,0.5141604855,0.0674308833,91.469993257,1990,15.230939114,31.950737772,79.071612775,27.041942605,21.12750449,18.349514563,0.1562356401,,17.9,
37045,North Carolina,Cleveland,72.02350536,4.4385782591,5.2651831729,86.109289617,56.393069432,26.0,6.05394473,27.2,36.4,44.0,163.74361,61411,High,70.653984631,62.201187713,20.470910849,1.2320227268,4.9705064215,0.5218094656,0.0404426996,71.093333859,23721,23.763501001,27.327503466,80.764683755,27.781511852,15.736720629,15.177962635,0.7396967032,8.1,20.6,9.7800925926
