FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
38001,North Dakota,Adams,77.091019586,3.7622043842,4.5490112541,,65.217391304,12.8,5.6616768552,27.4,34.5,11.0,92.46417000000001,58192,Low,73.797841021,100.0,1.6643550624,3.2362459547,3.0050855294,1.1095700416,0.0924641701,88.811835414,414,,,79.784102061,,,11.0,0.0,4.6,19.6,
38003,North Dakota,Barnes,77.183263056,3.4962726295,4.6704490272,92.083333333,71.705263158,11.2,6.2716308621,21.8,32.4,10.0,83.90826,70559,Low,73.413025556,39.675665715,2.0417676674,1.6129032258,2.1349990677,1.6968114861,0.1025545404,91.059108708,2375,,,81.20362737,10.534846029,,9.7207859359,0.2131989534,6.0,15.4,
38005,North Dakota,Benson,60.126910529,5.1077266715,5.6931272535,,57.270511779,28.3,15.114067982,32.1,41.2,1.0,34.81288,60632,Low,74.193548387,100.0,0.5395996519,0.5570060923,1.9669277633,52.776327241,0.0174064404,43.237597911,1231,45.841519319,,81.789802289,67.590987868,,16.578947368,1.5091492171,5.7,26.7,
38007,North Dakota,Billings,,3.2870418713,4.2436828951,,72.457627119,14.7,18.181818066,23.1,31.9,0.0,,82565,High,81.182795699,100.0,0.9671179884,3.1914893617,2.8046421663,0.8704061896,0.0967117988,91.876208897,236,,,79.301075269,,,9.5081967213,0.0,3.6,14.1,
38009,North Dakota,Bottineau,80.295562705,3.5269411997,4.4563073481,,67.012601927,11.6,10.461652457,27.1,34.9,3.0,31.50102,74272,High,79.369202226,100.0,0.6772720113,0.7875255946,2.6775870216,4.0006300205,0.0,89.620412663,1349,,,91.243042672,11.527377522,,8.3172147002,0.0664893617,5.7,19.6,
38011,North Dakota,Bowman,79.005016906,3.7498600319,4.605491185,,73.949579832,10.8,2.9321406302,26.1,35.4,1.0,,68434,Low,83.023443816,100.0,0.5231949773,0.1395186606,4.8133937914,2.929891873,0.0697593303,91.838158354,595,,,89.409862571,,,7.1428571429,0.3284671533,4.7,17.4,
38013,North Dakota,Burke,81.369397146,3.3269147871,4.3301346192,,66.732283465,9.4,16.243966624,22.8,31.8,,,79188,High,78.088077336,100.0,0.7029053421,1.0309278351,3.5613870665,1.6401124649,0.0937207123,91.190253046,508,,,91.621911923,,,5.9668508287,0.5853658537,4.9,14.0,
38015,North Dakota,Burleigh,79.423717305,3.3818312294,4.4284467774,85.921508665,76.231103128,7.2,4.604923262,20.0,30.9,111.0,334.95980000000003,86521,High,71.566611333,24.307826688,2.1277446706,1.0358756949,3.4135903692,4.7854257489,0.5149382074,86.723593169,26724,8.7428001559,15.623673261,88.674710736,10.436432638,10.096348007,10.184361093,0.3325834957,6.9,13.9,
38017,North Dakota,Cass,79.07901168,3.4115589372,4.4602386501,84.405644715,81.514591927,8.0,3.2617305275,21.7,31.6,184.0,340.18802,75477,High,51.997110251,9.0947026148,7.177559813,3.174239415,3.8026705778,1.6591804932,0.0656949919,82.152860533,57943,6.0171527927,15.447443182,89.127932605,8.8199302718,10.683772213,11.991022764,1.092553696,6.4,15.3,2.5255191834
38019,North Dakota,Cavalier,80.613535286,3.4893290833,4.3772464539,,84.444444444,11.0,8.248739338,22.4,32.5,1.0,27.80868,80749,High,82.781026641,100.0,0.6117908788,0.6674082314,2.5305895439,1.9744160178,0.0,92.76974416,630,,,83.820662768,,,8.038585209,0.3803393798,6.1,14.9,
38021,North Dakota,Dickey,76.864243837,3.64816119,4.6052226577,,71.05517909,12.9,2.8352131412,26.0,34.6,4.0,40.81633,72643,Low,78.08499744,100.0,0.6326530612,1.1836734694,4.1836734694,1.3673469388,0.0,91.469387755,1033,,,81.669226831,,,8.9974293059,0.1497326203,5.9,17.6,
38023,North Dakota,Divide,81.752376984,3.6370659367,4.7359768561,,71.136363636,11.7,7.9416652382,24.3,31.9,,,75310,High,77.647058824,100.0,1.9203747073,1.9203747073,4.1217798595,1.0772833724,0.2341920375,88.524590164,440,,,90.909090909,,,8.7912087912,0.0989609104,5.1,15.9,
38025,North Dakota,Dunn,77.231629067,3.4853412012,4.2617595573,,58.086124402,15.3,13.295220942,23.9,31.9,,,87618,High,71.844018506,100.0,1.7417267977,1.6670813635,4.3294351829,9.1813884051,0.0,80.467778054,1045,,,86.582947786,14.435695538,,11.186440678,3.0319436925,3.6,17.0,
38027,North Dakota,Eddy,74.401971524,4.0082300862,4.8571048184,,72.637795276,11.2,8.1830389509,26.3,32.1,,,66603,Low,71.978984238,100.0,0.3535130358,0.3977021653,3.8886433937,5.965532479,0.0441891295,88.378258948,508,,,85.201401051,,,10.900473934,0.27100271,5.6,17.5,
38029,North Dakota,Emmons,76.9821746,3.6217369283,4.4795138243,,75.638841567,15.0,13.407167048,23.4,32.5,,,65012,Low,81.398416887,100.0,0.5272952854,0.7754342432,1.3957816377,1.0545905707,0.0,94.820099256,587,,,76.846965699,,,8.9700996678,0.0,5.4,15.5,
38031,North Dakota,Foster,77.180725803,3.4999855777,4.3406592051,,84.681372549,10.0,5.905482823,23.1,32.9,1.0,90.66183,71345,Low,77.425742574,100.0,0.9368389241,0.5439709882,1.8736778483,1.6319129646,0.0,93.714113025,816,,,89.9669967,,,7.560137457,0.0,5.6,16.4,
38033,North Dakota,Golden Valley,85.260018134,3.6997964513,4.548102173,,78.846153846,15.5,33.253758375,24.6,34.0,0.0,286.86173,59464,Low,75.113122172,100.0,0.6884681583,0.1721170396,3.7865748709,1.3195639702,0.1147446931,91.795754446,312,,,85.218702866,,,9.7222222222,0.0,4.1,16.3,
38035,North Dakota,Grand Forks,78.634441618,3.694657929,4.5609201107,84.118110236,79.358316222,9.4,9.9631525831,25.3,34.2,89.0,383.72669,72369,Low,52.059913029,19.227825612,4.065577378,2.7782362326,5.68713209,2.9198987732,0.1169059801,82.4558508,19480,11.475786091,14.445547277,87.540666774,8.9892690601,12.964319937,16.736876215,0.6057228341,6.7,16.7,5.8239189716
38037,North Dakota,Grant,76.591523167,3.811209756,4.6552841914,,75.227272727,22.9,15.741402649,29.1,33.5,,270.88036,51827,Low,83.955223881,100.0,0.1805869074,0.993227991,1.2189616253,1.8961625282,0.0,94.085778781,440,,,80.223880597,,,9.0047393365,0.4149377593,4.8,20.1,
38039,North Dakota,Griggs,81.643903091,3.4528957056,4.3871470133,,66.575342466,15.6,5.9343071307,23.3,33.0,1.0,,71071,Low,79.386892178,100.0,0.5338078292,0.1334519573,1.2900355872,0.8007117438,0.0,96.930604982,365,,,84.67230444,,,9.1891891892,0.0,5.7,15.9,
38041,North Dakota,Hettinger,77.937689574,3.8268826102,4.6292852946,,63.966942149,15.8,29.179767008,25.5,34.2,,41.407869999999996,64506,Low,79.674796748,100.0,0.8695652174,0.33126294,2.2360248447,3.6438923395,0.16563147,90.890269151,605,,,82.655826558,,,9.6618357488,0.2605297438,4.6,17.5,
38043,North Dakota,Kidder,79.392753786,3.8020765991,4.7391619861,,68.80952381,16.1,37.974132854,27.2,35.0,,,60473,Low,75.996457042,100.0,0.2988898377,0.8112724167,2.5192143467,1.2809564475,0.0,94.491887276,420,,,73.78210806,,,7.6923076923,0.0451671183,5.5,18.6,
38045,North Dakota,LaMoure,82.471950738,3.5703261361,4.5383312646,,69.752281617,9.5,19.423344044,22.1,31.6,,24.41406,69797,Low,84.929906542,100.0,0.48828125,0.146484375,2.5390625,0.8544921875,0.048828125,94.921875,767,,,86.974299065,,,8.6705202312,0.3381893861,5.8,14.7,
38047,North Dakota,Logan,80.494941128,3.7365700659,4.5986791255,,79.775280899,17.8,26.133687997,27.5,34.5,0.0,,61043,Low,82.664941785,100.0,0.2140181915,0.5350454789,2.9427501338,1.4446227929,0.0,91.920813269,356,,,79.689521345,,,8.4415584416,1.2195121951,5.5,19.4,
38049,North Dakota,McHenry,76.143958887,3.6808982005,4.5077775839,,70.161977835,14.8,16.991059675,23.8,33.1,,,68973,Low,80.309050773,100.0,0.7211069967,0.3313194309,2.4751510427,1.149873319,0.0,93.724420191,1173,30.335970877,,81.368653422,,,8.3690987124,0.3005409738,5.4,16.3,
