FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
31001,Nebraska,Adams,76.780800319,3.8305062656,4.897616488,90.909090909,71.589958159,12.5,12.181212398,24.6,30.4,28.0,433.67099,66695,High,68.674418605,20.503124499,1.0485776239,1.381921745,12.747985372,1.4304670054,0.1585811839,83.057704133,7170,16.396877306,12.859255449,88.19379845,19.451812555,8.3230895308,13.704581359,2.0531900234,6.2,15.1,
31003,Nebraska,Antelope,79.778051085,3.7115176869,4.8085076193,,78.931061193,12.1,3.8642517304,24.7,30.5,2.0,63.47191,65907,High,75.62337179,100.0,0.4443033957,0.491907331,4.236750238,0.6188511584,0.0317359568,93.716280546,1291,,,82.582806103,9.7165991903,,9.4049904031,1.308411215,6.0,15.1,
31005,Nebraska,Arthur,,3.6128986831,4.6777704945,,67.415730337,20.2,34.449761158,23.8,30.5,0.0,0.0,54974,Low,74.456521739,100.0,0.0,0.2427184466,0.4854368932,0.9708737864,0.0,97.330097087,89,,,86.956521739,,,13.888888889,0.0,5.3,13.9,
31007,Nebraska,Banner,,3.3900004204,4.498294693,,88.793103448,17.6,27.545758338,22.1,29.3,0.0,0.0,67307,High,75.581395349,100.0,1.6320474777,0.296735905,8.6053412463,0.7418397626,0.1483679525,88.427299703,116,,,83.333333333,,,3.4042553191,1.4681892333,5.5,12.3,
31009,Nebraska,Blaine,,3.887890346,4.7527216574,,59.649122807,26.1,25.624999983,26.3,33.6,0.0,0.0,52512,Low,71.354166667,100.0,0.4587155963,0.0,2.9816513761,0.4587155963,0.0,93.348623853,57,,,81.25,,,13.333333333,0.0,5.2,16.6,
31011,Nebraska,Boone,79.371433691,3.7169151788,4.5530336687,,77.306273063,10.5,3.4852294473,24.9,30.2,8.0,94.16196,66345,High,79.246139873,100.0,0.5838041431,0.5649717514,4.5951035782,0.4331450094,0.0188323917,93.220338983,1084,,,81.970935513,,,9.0293453725,0.8511480602,6.0,15.5,
31013,Nebraska,Box Butte,75.997974929,3.9582498333,4.9154565588,83.388888889,61.195826645,14.7,9.1723793572,24.9,31.6,5.0,215.1141,66613,High,75.46837117,25.115292381,1.8237934905,0.7014590348,13.093901983,4.9289188178,0.0654695099,79.115226337,2492,19.839432857,,92.241569319,20.098258151,,12.131147541,0.608260571,5.4,15.4,
31015,Nebraska,Boyd,75.392911813,3.7453925916,4.6002004063,,59.870550162,19.6,12.29698054,25.4,30.9,1.0,,49077,Low,83.035714286,100.0,0.115942029,1.4492753623,2.2608695652,2.0289855072,0.115942029,93.913043478,309,,,88.265306122,,,12.422360248,0.3667481663,5.4,16.9,
31017,Nebraska,Brown,75.607265041,3.8247677462,4.7578978281,,67.256637168,14.7,4.1333514881,25.3,33.1,3.0,70.10165,58896,Low,73.841059603,100.0,0.455660708,0.2804065896,6.6246056782,1.9978969506,0.1051524711,89.484752892,565,,,84.354304636,,,10.775862069,1.9095869057,5.1,14.8,
31019,Nebraska,Buffalo,79.862093143,3.785706336,4.7295395831,90.624382208,71.810182275,8.6,9.4536537221,26.7,33.8,44.0,469.45579000000004,76686,High,65.161224697,31.063812795,1.0809318106,1.4931850011,10.913860781,0.785056315,0.2150028601,84.671676825,12728,11.733461543,9.2691291653,90.758824128,11.927517394,5.9924973933,13.750974786,1.5036798917,6.2,17.8,
