FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001,New Hampshire,Belknap,77.394070926,3.8981918176,5.5668253924,88.771450858,64.998590358,10.7,2.2554230305,20.9,35.5,31,541.31361,91333,High,78.692855502,54.45412448,0.6858689467,1.1733587587,2.3743983268,0.3275562459,0.06151291,94.15166008,14188,10.812526888,31.447859449,90.20215943,7.1306074555,12.136038605,14.176769652,0.1571511892,4.1,15.1,
33003,New Hampshire,Carroll,79.324403525,3.5014588745,5.2413819213,92.779220779,69.206842924,11.9,0.4511545364,18.9,35.4,42,276.46430999999995,77303,Low,81.191165822,89.478515976,0.5948749237,0.8427394753,1.8017846248,0.3965832825,0.0438529591,95.212400854,9645,14.165616291,29.437546609,90.622737147,8.1201786439,11.97341901,15.799256506,0.0908888934,5.3,14.6,
33005,New Hampshire,Cheshire,78.640097686,3.8826219051,5.4875011432,85.033557047,68.246233126,10.8,4.2319652449,19.7,34.6,52,404.10280000000006,84008,Low,70.290638619,69.118993434,0.8661184253,1.513455079,2.7141809197,0.3603464474,0.0579128219,92.888305471,17853,12.705079603,26.417562049,90.199547823,7.3494168398,14.863684368,13.471157052,0.1347213717,6.4,15.0,
33007,New Hampshire,Coos,73.937778253,4.4400595399,6.0700427636,85.357142857,56.897794436,17.6,5.1783094109,22.0,33.6,35,239.06668,59592,Low,73.99768418,69.112191378,0.8542649496,0.7809511666,2.4352926176,0.5578222619,0.0063751116,94.058396022,6937,16.757853545,57.46698309,86.271529889,14.219907871,18.457347616,11.331861663,0.3442568686,4.9,17.5,
33009,New Hampshire,Grafton,80.100992365,3.4283239498,5.4136493172,89.112458655,71.749834296,9.8,2.5054491177,17.0,32.7,174,600.13312,81537,Low,70.964078987,65.675278211,1.3774075108,4.1000150302,2.922294033,0.4036673609,0.0461640865,89.502501449,21122,9.8106854188,20.436613653,88.124186446,4.837291117,13.224889242,13.607917334,0.3784831212,4.4,12.8,4.5892916528
33011,New Hampshire,Hillsborough,78.599450373,3.4868986164,5.3076721087,86.048939083,72.10336423,7.8,4.0797322279,17.6,34.4,354,407.62459,103181,High,67.533326974,24.437209324,2.8131244823,4.7440763395,8.8163442954,0.3587190011,0.0865792762,81.569144082,114469,7.7762681997,37.182686733,92.620370591,7.9738054015,9.8492634464,13.994918638,2.4256313338,3.4,10.3,5.1511260371
33013,New Hampshire,Merrimack,78.964509444,3.7429594764,5.469703866,89.247554552,69.245524297,8.0,3.0910014171,19.0,33.0,153,539.77327,91357,High,73.498221524,54.649953188,1.8000929327,2.3277722259,2.8261713653,0.3099877151,0.0426471805,91.303157801,39100,9.3967211081,29.31792705,91.071221772,5.2170283806,12.395567345,12.733417828,0.4917124833,5.7,12.1,5.2123313111
33015,New Hampshire,Rockingham,80.501326258,3.6067619729,5.1013786699,90.015783695,76.142994217,5.2,5.2067264292,17.7,34.6,249,319.62431000000004,109660,High,78.616456536,29.010172642,0.8977545223,2.4790373228,3.843911079,0.2285703594,0.0533226896,91.237928336,77122,7.0764351493,23.003594048,94.431541694,3.1359001878,7.787451097,12.443584784,0.4502287479,6.9,12.7,2.1839982871
33017,New Hampshire,Strafford,77.573299199,3.7793220104,5.5902903709,86.389673433,73.615760628,9.5,5.6651360705,21.1,32.0,88,329.47321999999997,84762,High,66.982044733,36.736471361,1.266107788,3.764550483,3.3052392996,0.2709335575,0.0600406776,89.501887529,33755,8.9814981139,42.40025844,91.742125223,5.8746048472,8.3720604554,14.675093818,0.3694052972,6.3,15.0,
33019,New Hampshire,Sullivan,78.023523018,4.0331042092,5.6551789069,87.530120482,54.884475071,12.0,8.4695280088,21.4,34.5,31,227.43296,74730,Low,74.824304994,78.136683464,0.989333394,1.1962973913,2.1560645,0.4389456208,0.0113716482,93.563647115,9868,12.535917052,38.238578137,86.112320418,13.794865245,11.518189525,13.368162262,0.0192349306,5.6,15.5,
