FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
34001,New Jersey,Atlantic,75.650724835,4.0530038812,5.4715110047,83.818326578,64.200988983,15.8,7.8237577894,25.4,39.1,197,229.64030999999997,75904,Low,67.836117448,14.935126432,14.449172096,8.0177898573,20.542270896,0.7307067617,0.1159102223,54.822264937,63904,12.688758556,63.057050036,90.444477151,13.126306154,8.5651637659,21.4533365,5.8515827233,6.9,13.4,6.6850789604
34003,New Jersey,Bergen,81.874845161,3.4230991575,4.7060562614,88.346457054,81.215044125,7.1,0.8947505719,20.9,39.6,1082,327.96094,116157,High,65.36043724,0.1210590417,5.6820459918,17.672197766,23.295250466,0.6698087991,0.126966095,51.891022161,237621,4.3981636302,19.279503456,93.965871041,3.0810213108,2.103650918,20.10181401,6.6093143439,9.5,9.4,3.5925685893
34005,New Jersey,Burlington,78.905082247,3.5494273388,5.0751420128,86.143067304,75.601197756,8.1,5.0324453586,19.0,34.7,352,1129.6617199999998,102384,High,75.733047045,9.7696271597,17.616754802,6.1948090978,9.9889804696,0.39069244,0.1089164413,63.450754209,118555,8.9083173042,32.607874693,94.11460641,6.7812923831,5.909068259,13.938515081,1.9447306196,8.3,11.2,5.6457814974
34007,New Jersey,Camden,76.162455316,4.0535185675,5.4498701874,80.267183504,68.609865471,17.0,4.4522880897,24.7,40.8,516,401.9378,82678,Low,65.029989679,1.3077738617,18.887472591,6.2811553957,19.519305913,0.7611969742,0.1540224129,53.164477727,141828,10.362391205,57.988269912,91.228455045,14.420788336,7.4346953488,18.845841373,4.6948814104,8.7,13.3,5.5675029869
34009,New Jersey,Cape May,76.63584611,3.8750535716,5.0639749575,81.046840959,66.771060035,13.2,8.7437022138,21.5,34.6,51,136.34922,81007,Low,79.289594086,18.595887176,3.8452594863,1.0168058345,8.3891766198,0.4671810591,0.0940703943,84.922312652,18839,12.205857896,59.04377371,91.527868557,10.892961972,6.6318671915,17.72694782,1.1569068657,7.3,14.3,6.7153284672
34011,New Jersey,Cumberland,73.739829941,4.4829061944,5.5343474006,74.029591837,43.060610472,21.9,11.684321982,28.0,43.4,60,135.23627,64240,Low,65.551826925,24.490762364,17.929309507,1.651064165,36.114648845,1.7298425745,0.1864422357,41.675748067,41214,18.983306968,51.770942342,87.504921168,27.083969466,9.4353413334,22.274698795,8.0493414175,8.3,16.9,13.723346091
34013,New Jersey,Essex,77.661793635,3.9981957653,5.1001492505,84.67834106,62.677642834,18.4,0.748623168,25.7,40.4,645,282.45235,80005,Low,44.531975948,0.0137774855,37.242823255,6.7151754694,25.254929698,0.9529829624,0.1730666877,29.137239651,236148,6.1658804001,42.317143034,87.760533967,13.827306834,9.3819214516,26.352746127,8.5531116309,8.8,12.4,7.4577409605
34015,New Jersey,Gloucester,77.106128992,3.605807,5.2989273791,89.394581545,73.069317304,9.8,6.4689417469,20.7,40.4,162,164.38463,96965,Low,79.425024151,11.316797555,11.261157566,3.4021457544,8.693255691,0.354383428,0.102780921,74.400417608,76359,11.43875944,43.789663649,91.88700848,6.1961044443,5.176933467,13.80272669,1.4106425876,8.6,12.4,4.3699310011
34017,New Jersey,Hudson,79.914650496,3.839750237,4.5647704603,82.38560369,78.282688749,22.9,0.1189329598,25.4,38.9,333,105.60306000000001,88469,Low,31.182330013,0.0,11.391522272,17.581562415,40.765615078,1.3868729021,0.2367209471,28.772935,264227,4.3790387509,25.944707448,91.075682113,13.130664383,3.3275470987,26.303786727,11.174958848,8.3,10.7,7.9659337029
34019,New Jersey,Hunterdon,82.764995968,3.1056057709,4.7101621566,91.133883249,81.130839761,4.3,2.6329771146,18.6,33.0,143,301.11458,136407,High,84.793927109,58.347227931,2.6109399845,5.2771867295,9.5888095988,0.2942012398,0.1774425232,80.976010693,27484,6.3397326897,14.044286316,94.23512579,2.1850233316,4.8928080457,12.710566616,1.6348025556,7.4,9.9,3.5087719298
