FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
35001,New Mexico,Bernalillo,75.08976794,4.312832801,5.467817207,,70.96845741,17.9,6.0333508,19.8,30.8,716,567.16489,68286,High,64.26876439,3.981408661,2.847885453,3.250663355,49.14292436,6.973492598,0.140264985,38.28161993,189363,16.98271034,62.06351577,88.18408443,15.89082453,26.37027229,17.74144172,3.266200238,9.7,13.9,7.93186917
35003,New Mexico,Catron,77.17958891,5.10023323,6.219133441,,35.54216868,34.1,44.0987639,25.7,36.3,,78.43137,45802,Low,87.72036474,100,0.679738562,0.444444444,17.98692811,4.392156863,0.052287582,74.79738562,498,43.33950593,,64.86322188,,65.62397463,8.786885246,0,,21.9,
35005,New Mexico,Chaves,72.18171904,4.882402032,5.599939632,,53.06978137,25.1,16.33398622,29,36.4,40,155.75589,51179,High,68.68883711,25.05640223,1.65352968,1.393936533,59.05508095,2.802032693,0.29735215,36.24549645,16695,17.89319749,40.36556714,78.22495234,33.01915111,32.86434467,15.63777156,3.987248732,6.3,17.6,
35006,New Mexico,Cibola,70.73640704,5.493071262,6.497375216,,58.13953488,31,21.92099795,27,40.8,13,373.41299,47530,Low,70.46570095,63.30045635,1.392830471,0.832710978,33.46900672,47.89021658,0.119492158,19.3017177,7052,31.34146795,33.54537322,73.23117443,28.24858757,21.65649807,19.53371141,2.180221159,5.1,23.2,
35007,New Mexico,Colfax,75.19609506,4.617190077,5.574776161,,58.97740785,26.2,14.63506183,24.9,34.8,5,1019.99184,54255,High,72.01182339,54.55719706,0.848633211,0.905752754,47.31130151,3.80252958,0.228478172,47.80089759,2523,19.99529523,54.73154179,78.18215407,22.69363592,28.05604608,10.72695036,0.464409356,4.9,15.9,
35009,New Mexico,Curry,72.61696154,4.796383647,5.547515699,,64.12734508,22.3,12.93207388,25.2,38.3,20,690.35619,53858,High,61.25818851,18.82304357,5.628732371,1.969421033,46.23480581,2.373893524,0.296471983,43.411969,14072,16.62743176,37.41581442,87.8837096,44.44870198,21.42430423,16.92644244,3.362980062,5.8,15.8,15.18013291
35011,New Mexico,De Baca,71.61129291,4.919480762,6.062163319,,69.78723404,30.6,7.792908891,24.9,34.1,1,1146.65057,48234,Low,69.05089409,100,0.844900423,0.362100181,40.25347013,2.715751358,0,55.15992758,470,,,76.61623109,,,6.724137931,0.070521862,5.1,17.5,
35013,New Mexico,Doña Ana,76.0213436,4.588031159,5.32082159,,66.07828371,24.2,16.5077417,24.3,32.9,137,373.87327,56233,High,65.29630073,22.48623389,1.828959638,1.476399805,67.97522313,2.578038275,0.202921718,27.0192265,54443,14.29867917,24.17029096,88.23895606,23.29078287,16.88109898,18.07093263,8.117508408,9.1,14.9,9.586712006
35015,New Mexico,Eddy,72.70421981,4.555890882,5.599042471,,63.86318379,18.9,10.17161116,28.8,39.7,18,150.9747,66485,High,74.65691547,22.02233848,1.456656989,1.017005392,52.07465782,2.707590212,0.182496889,43.43923683,17074,23.1308451,30.60162801,85.26995053,36.75225734,31.40947485,10.88953619,3.318319375,7,17.3,
35017,New Mexico,Grant,74.31334153,4.867153751,5.613481446,,56.35078819,27.2,10.70692738,27.1,33.9,18,655.21258,48454,Low,73.24058181,40.4222104,0.960978451,0.99009901,47.95064065,2.537128713,0.222044263,47.60119394,5519,19.18161883,36.327529,84.66889511,23.3113069,32.13414545,15.47779273,1.248219507,5.5,17.9,
35019,New Mexico,Guadalupe,73.92839015,4.960605628,5.493846414,,49.39271255,30.2,14.35089343,30.1,36.9,2,1700.8387699999998,43463,Low,78.3597519,100,2.096924511,1.421248835,77.14352283,3.751164958,0.023299161,16.93849021,1235,,,77.11922812,23.64864865,,10.04366812,5.105176081,4.9,17.5,
35021,New Mexico,Harding,,4.673222766,5.61551016,,73.79310345,26.8,48.14814824,25.9,34.8,0,0,47606,Low,78.36879433,100,1.762820513,0.320512821,41.18589744,2.724358974,0,54.48717949,145,,,65.95744681,,,10,2.06043956,4.9,17.8,
35023,New Mexico,Hidalgo,75.0326556,5.087126308,5.812816587,,50.20491803,32.7,15.94433879,29.2,37.7,1,176.54477,45343,Low,75.34976682,100,1.185372005,0.706179067,56.49432535,1.5889029,0.302648172,39.72257251,976,,,79.21385743,,,13.33333333,4.370312904,5.2,17.7,
35025,New Mexico,Lea,72.63031854,4.79903824,5.384274778,,44.3761555,20,7.158844618,30.1,32.7,22,130.37267,60820,High,69.48876587,24.89154523,3.42158916,0.846035423,63.15862471,2.127571046,0.126211842,31.03563057,20013,24.77466136,29.91449058,84.37398242,42.09595171,21.51036269,14.71698113,8.838744203,5.6,18.1,10.13925152
35027,New Mexico,Lincoln,75.7722014,4.643447382,5.981615138,,60.48693888,28.1,15.32820088,22.4,33.3,13,544.21089,59386,High,79.51151877,45.52271942,0.69898647,0.79884168,33.3666184,4.398621998,0.154775575,60.98656947,3943,20.9027087,42.77300694,83.06313993,24.43280977,36.03098665,12.26361032,2.154195011,5.1,16.3,
35028,New Mexico,Los Alamos,82.97913694,2.907584961,4.626210982,,88.16148391,3.4,5.038308568,11.9,27.9,30,282.86361,146208,High,74.54634028,4.979659097,1.337173421,7.431598437,18.1495577,1.666323802,0.102859494,70.17074676,5499,9.74995125,,94.6413348,3.655861565,,5.915317559,0.372972973,4.9,7.8,
35029,New Mexico,Luna,72.13662401,5.690867534,5.894639992,,42.49739493,37.6,23.86466563,34.5,38.3,4,165.90299000000002,38641,Low,69.16978639,41.34974633,1.287723179,1.50497709,67.64496761,3.069205246,0.221203982,27.68209828,5758,29.75738975,23.94062724,79.25567056,61.49035956,32.55791239,13.48811498,12.13668667,5.6,20.8,
35031,New Mexico,McKinley,63.94369904,6.293891308,7.145429913,,49.01366485,41.8,34.09993197,31.6,40,59,191.86883,41427,Low,68.80216237,66.46456887,0.524732183,1.38378127,12.37699318,80.86835182,0.053781415,8.03959475,19466,42.29732038,30.59773859,57.80538695,21.69840774,19.37706935,27.56379393,2.603007721,5.3,31.1,17.05895055
35033,New Mexico,Mora,76.05632694,4.785634396,5.462991405,,48.1975968,27.6,59.96035256,28.1,36.4,,169.77929,45685,Low,89.15118031,100,0.412321125,0.703371332,78.77758913,3.929177783,0.024254184,19.11229687,749,51.73807599,,58.16172778,15.58441558,,11.69014085,1.229407426,,14.3,
35035,New Mexico,Otero,74.86346551,4.604759382,5.585542053,,60.86325521,30.8,7.901750532,26.4,35.4,31,293.45536,51298,High,65.03603047,54.59691328,3.668192054,1.805767415,40.02469674,8.104888502,0.292002615,46.46618726,18604,16.35427176,26.78654049,87.9555281,33.29650092,25.02959381,12.80203476,4.346129838,5.8,18.9,12.28928766
35037,New Mexico,Quay,70.31492305,4.98877382,5.963932393,,55.50135501,32.7,18.20368988,28.9,36,1,1398.35488,43312,Low,72.74500244,40.34987423,1.680376028,1.280846064,45.17038778,2.937720329,0.211515864,49.15393655,1845,,47.24595457,70.30716724,30.23255814,40.56795132,11.60714286,1.154817755,5.2,19.6,
35039,New Mexico,Rio Arriba,69.27040634,5.027328685,5.872971523,,52.27323628,27.1,0,27.7,36,20,546.69475,51703,High,78.08411215,56.40561901,0.682114555,0.957969706,66.97010733,22.10853646,0.260808506,14.61530745,8930,29.72371445,111.1597669,71.28838451,23.70813673,20.8465743,13.12523505,2.075798082,5.4,17.8,11.26629423
35041,New Mexico,Roosevelt,74.3721146,4.751877933,5.743381523,,56.89617486,26.1,14.74964672,26.6,35.7,8,303.40128999999996,51111,Low,61.97476078,36.41811266,2.08654921,1.596848885,45.27066589,2.427210305,0.196944696,48.42710385,4575,26.62103061,21.31325151,85.70239911,25.86056264,20.31086311,16.75126904,1.996634885,5.7,17.5,
35043,New Mexico,Sandoval,76.80911033,4.377108857,5.682786349,,66.12545355,16,18.42216734,22.7,37.6,100,402.72932,81557,High,83.61170413,19.1548974,2.331725836,2.007875026,40.49738354,14.18851324,0.203929817,41.4676534,38309,15.91872906,27.32637833,88.88251018,11.29858843,21.59042297,12.2374685,1.558652359,7.6,16.3,7.67778477
35045,New Mexico,San Juan,69.84990216,5.43982867,6.274203503,,55.57311254,26.3,19.21330987,27.3,38.2,64,281.74850000000004,57296,High,70.18001121,35.20355743,0.553552931,0.804640564,19.91464678,43.84752434,0.087839238,36.48808784,31643,32.13634223,34.27258495,69.17399459,24.42312013,22.97449668,19.62352362,2.336215279,6.4,24.9,9.810526316
