FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001,Nevada,Churchill,73.439452332,4.5110887014,5.5027425192,80.0,56.871595331,13.7,5.7778697675,24.2,36.2,12.0,236.40661999999998,72065,Low,68.050986842,34.343157235,2.2245475332,2.9221408363,15.715226912,5.4218501725,0.3720497617,71.325039724,6425,26.902338786,24.698098246,88.456003289,22.249690977,22.173300179,14.197847258,0.5952133195,9.6,18.4,
32003,Nevada,Clark,76.641728428,4.9615146495,5.516375833,81.0,59.615705374,17.7,5.1868139744,27.0,41.4,1252.0,255.63079000000002,75103,Low,57.048330261,1.2689249561,12.693204963,11.596170973,32.134027056,1.2584669942,0.9844331848,38.623659522,659494,10.380296968,28.031757976,90.524535685,16.711321974,17.025690595,20.649397583,6.1559863193,12.1,15.7,10.363905271
32005,Nevada,Douglas,79.137342485,4.1556369808,5.3735798414,83.0,68.13658741,12.0,12.038822445,18.8,33.9,26.0,165.50611,82025,High,78.365566932,29.730439703,0.716520335,2.2181854879,13.099202745,2.1293773337,0.2987183369,80.010091836,9547,10.225337217,18.844305655,93.415813424,7.0010183299,23.174688361,15.06456241,1.0252234194,9.5,12.3,
32007,Nevada,Elko,75.351829103,4.4211771095,5.4907769229,78.829787234,53.474141334,11.4,4.0856947913,24.5,37.8,19.0,108.66963,85829,High,70.449196767,51.798815687,1.0351242333,1.3261378078,26.180170556,6.4851822519,0.2541764132,64.912603835,15198,17.249650964,27.956040679,88.355673795,23.691186216,34.184181364,10.797743755,1.9789154826,6.2,17.4,
32009,Nevada,Esmeralda,,5.2532084398,5.9349390716,,54.430379747,18.2,43.740142716,27.3,38.0,0.0,0.0,59057,Low,47.667342799,100.0,3.9402173913,1.7663043478,19.02173913,8.0163043478,0.1358695652,62.092391304,158,,,91.886409736,,,20.412371134,4.8076923077,7.8,19.6,
32011,Nevada,Eureka,69.672985061,4.8407592978,5.7140404424,,54.372623574,13.5,6.2523653131,25.0,37.1,0.0,,81661,High,85.396825397,100.0,1.4606155451,1.0954616588,12.20657277,3.6515388628,0.2086593636,79.812206573,263,,,90.476190476,,,9.9099099099,0.0,4.9,17.9,
32013,Nevada,Humboldt,74.101860212,4.6242379151,5.4412991726,94.0,58.827634334,13.6,5.1840429057,29.0,38.8,8.0,122.54902,81500,High,73.560097185,38.987561469,0.9103641457,1.1963118581,27.661064426,4.6101774043,0.3326330532,64.39659197,4299,19.300645313,19.274507536,88.380734601,24.54642476,39.766546977,12.417340191,3.1800148773,6.6,19.3,
32015,Nevada,Lander,75.189082515,4.7409376236,5.534088572,87.5,57.842046719,12.6,4.1816889314,25.2,38.2,2.0,17.334030000000002,87398,High,66.942508711,100.0,0.849367308,1.4907262957,23.314265904,5.3562142486,0.0173340267,68.660079737,1798,,,95.165505226,19.952114924,,13.913043478,1.2289068232,,17.6,
32017,Nevada,Lincoln,76.973512376,4.3911904377,5.5935193519,52.5,42.288557214,18.2,14.591519342,24.9,38.6,2.0,112.30907,67577,Low,73.739237392,100.0,3.1221922731,0.9658580413,7.0080862534,2.380952381,0.4267744834,84.074573226,1005,,,80.873308733,,,11.849710983,0.0,5.4,19.4,
32019,Nevada,Lyon,74.239895884,4.7562656271,5.7633935722,85.0,55.5735161,11.9,9.797793082,24.5,37.8,8.0,154.99417,75195,High,76.582845921,44.625643623,1.2063979036,2.0117284247,20.272278414,3.374718374,0.4889506735,70.923413707,15466,22.420072442,25.441492863,91.132647398,20.893038735,28.219294518,13.249776186,1.9429128037,10.4,17.7,
