FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001,New York,Albany,78.49584042,3.6569290261,5.1555914489,88.879674797,78.042727261,14.6,5.542280913,21.6,37.1,302,451.27407999999997,81193,High,56.721264541,9.5681090558,12.953997834,7.4698650599,7.3451251978,0.378640746,0.0849494251,69.301993627,80183,5.4521369373,30.111186359,89.376017118,7.5172997461,6.6630828338,14.194485871,1.6036159576,8.7,12.7,4.3606985147
36003,New York,Allegany,76.779175014,4.4234105208,5.9795059812,90.953346856,64.348966874,17.2,1.3248667223,24.3,38.7,16,261.51637,57488,Low,80.307205253,88.507404856,1.4704936657,1.2004029924,2.2078840754,0.3772695119,0.0493022658,93.417075733,9147,9.2342071971,18.787891926,84.792167439,10.277564147,11.692968628,11.817636473,0.6027200825,6.5,16.5,3.3155318202
36005,New York,Bronx,76.681897585,5.139964828,5.5567565568,77.811499664,54.942213654,35.5,0.0005496628,36.0,43.5,824,278.66324,46894,Low,20.268947133,6.79046e-05,30.020066702,5.0028161206,55.013653024,3.0683919214,0.4088535293,9.0352501629,398364,4.287178881,53.423223196,85.273371102,16.633300279,6.1929815238,38.547780719,14.507122455,8.3,16.3,10.216247654
36007,New York,Broome,76.509171381,4.1610765418,6.0958197046,84.294797688,67.407780551,19.8,3.6737523172,23.8,36.6,155,264.18193,63590,Low,64.574901261,24.947277824,5.9782636413,5.1357374909,5.7186717463,0.3162023083,0.0918006701,80.249595822,43673,6.1259269155,45.907940875,88.423961556,11.614889449,4.9693350616,14.834012094,1.3018645167,7.2,15.9,4.0102451518
36009,New York,Cattaraugus,74.466671641,4.5320813555,6.0438427421,89.25173439,52.376149511,25.5,2.4149545095,26.4,40.1,33,191.79894000000002,55944,Low,74.577336434,61.809143065,1.4656084656,0.8981481481,2.4603174603,3.7367724868,0.0476190476,89.611111111,16855,11.179221554,31.041236753,81.500219974,14.658803707,8.9078690543,13.228019786,0.6657992359,6.8,18.7,9.4385878892
36011,New York,Cayuga,77.601584497,4.4481191882,6.0540622322,84.128133705,60.924460822,17.7,0.9936326721,26.2,39.4,22,220.17856,66431,Low,71.912299738,58.775312139,3.6477143049,0.7276632879,3.7188695711,0.5303081157,0.0966637578,89.095791099,18454,9.3267573476,33.053189192,87.05240314,12.882985114,6.0426453125,12.334585852,0.5500779857,7.0,18.4,6.4652567976
36013,New York,Chautauqua,75.711401705,4.4129328632,5.7042081917,85.702068966,59.281859546,23.4,5.6477089501,27.5,41.6,80,193.76897,56040,Low,69.064587142,44.068872056,2.0585950949,0.6757892883,9.7989446798,0.9167994491,0.0560488746,84.876412231,28351,7.1728132446,45.134691421,85.847543002,20.475670669,8.0478706281,15.042412818,1.655759217,5.3,17.9,9.7529630159
36015,New York,Chemung,75.02900282,4.2616451177,5.5230051013,83.059107358,60.236810552,22.3,6.1839963829,26.7,35.5,65,344.29757,60456,Low,69.836178256,25.906735751,5.7891177375,1.5493390716,3.8991699969,0.3971718414,0.0442668306,84.859514294,20016,10.05655534,39.661180203,86.920036659,20.854700855,8.1966620299,13.425858291,0.6206272541,6.8,16.4,11.284230406
36017,New York,Chenango,74.865954505,4.3754668629,5.8152906215,86.544789762,52.122370937,18.7,1.813318644,26.6,40.4,14,191.63763,57407,Low,76.323232323,83.358746294,0.9298780488,0.6119337979,2.5892857143,0.4551393728,0.0174216028,94.135452962,10460,13.901060711,42.22580068,87.712121212,19.392730496,11.088933245,11.465451784,0.3568444113,6.7,19.3,15.490943756
36019,New York,Clinton,77.81640984,4.0268932384,5.8697832252,87.323141487,62.725754254,15.8,3.2263747494,28.0,36.3,64,363.56654,64282,Low,68.85142445,63.731322721,3.001984254,1.3953786085,3.4410804583,0.4915829226,0.046085899,90.128656468,19158,6.9474134245,23.93680683,86.726169011,9.6587592209,5.0086775338,11.812847437,0.2824334359,6.2,18.9,3.8586603078
36021,New York,Columbia,79.204849312,3.8397520041,5.5619291603,89.30984556,62.501818182,17.5,7.1296838443,23.2,36.5,25,248.05689,73112,High,75.362096712,82.767581614,4.2698858938,2.2176285762,6.3767157268,0.410120721,0.0611873656,84.976021168,13750,9.6796736297,23.548998346,88.271131888,9.1601482091,6.9542180644,15.438108484,1.0111309372,7.8,14.6,12.617621899
