FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001,Ohio,Adams,70.569754408,5.3312822457,6.6733439595,85.62849162,51.359713402,25.8,11.1845875,30.3,40.6,12,236.18328000000002,55693,Low,70.997067449,100.0,0.5813742233,0.4251299008,1.0137713019,0.6322444679,0.0254351223,95.82137277,6141,18.0833695,60.611203375,82.521994135,32.49918752,23.927781605,13.133300541,0.0,7.9,24.0,
39003,Ohio,Allen,74.333975508,4.6233398069,6.0412849978,85.513098464,58.938045874,18.6,4.0023735402,30.6,41.5,66,311.39054999999996,65665,High,68.315089914,30.975676575,11.839782622,0.9728475376,3.7456117733,0.3391578572,0.0674348956,79.938118566,24502,12.13864848,38.062113432,87.890930414,25.816879259,15.496911407,12.085074994,0.4030822707,5.4,22.5,7.7492139819
39005,Ohio,Ashland,75.306787263,4.5977363156,6.1849295161,92.445898778,51.044726022,18.9,1.5133460761,29.0,35.2,23,256.75417,66149,High,78.875762564,63.380174271,0.9810308488,0.7836750335,1.8566775244,0.3314811267,0.0689787316,94.748036022,11917,15.575989344,29.773405381,86.196378425,12.99286519,9.053597296,11.69020945,0.9252338337,7.6,21.7,
39007,Ohio,Ashtabula,73.726477315,4.9821149182,6.5858181237,85.19622093,46.438133696,27.9,9.9565004906,27.4,38.7,28,238.52548000000002,58152,Low,73.893067071,51.987209708,3.7276059683,0.5131911818,5.0999019051,0.3872166865,0.0536940472,88.001445609,22783,15.990939446,41.256394741,85.754254473,21.583827329,14.621147534,14.257761544,0.7739617918,7.5,21.9,10.826146164
39009,Ohio,Athens,74.749555446,5.0295405902,6.7192773939,88.707052441,71.729172631,21.2,10.97970372,23.6,38.7,39,665.00813,53616,Low,61.92676701,48.696961445,2.7939910056,2.9438969158,2.2884572449,0.3811437502,0.063789749,89.313622301,13972,11.766168492,40.747174505,85.137751958,7.8902229846,9.1292289579,19.258266309,0.5213166197,6.1,17.7,3.2968555202
39011,Ohio,Auglaize,76.602302993,4.1860298595,5.6743674987,94.462848297,67.223362568,10.2,2.1704784288,23.0,38.5,16,69.48969,73542,High,75.879900797,38.70578605,0.6948968512,0.5537459283,1.9348534202,0.2996742671,0.1368078176,95.176981542,10718,10.59516798,13.065348518,87.620706031,16.308752026,9.1611445323,7.684154743,0.1497212881,7.7,18.5,
39013,Ohio,Belmont,74.096145263,4.7878664212,6.5507808784,93.194239291,53.636420098,21.0,6.9086881179,31.2,40.8,18,257.24760000000003,56716,Low,73.962192817,61.509541784,4.5318709757,0.534520472,1.3755815028,0.2526263902,0.0277272867,91.472318925,16101,9.818507032,39.028840793,83.814744802,21.59220574,13.260960636,6.7349350138,0.2607230295,7.7,23.2,13.139570088
39015,Ohio,Brown,72.562779256,4.581198214,6.0532073595,92.168149466,49.398175112,22.5,2.7618252493,30.2,41.4,11,511.68422,68289,High,76.144648586,95.796318344,0.9594079083,0.3883317724,1.2563674989,0.3312241588,0.02512735,95.84713434,10302,16.714461286,58.123527792,82.636337125,23.24051743,12.856421323,10.989982322,0.1359124336,8.6,22.6,
39017,Ohio,Butler,75.400389676,4.3013964535,6.2175399463,88.911961207,63.569348091,13.3,9.4298960949,24.9,38.3,203,290.80788,80066,High,69.866833756,9.610689702,9.6999564933,5.0261676203,6.9999974557,0.3668809774,0.2157524749,75.462226779,94415,9.1519389275,52.477793562,91.150710587,14.760112257,12.021883974,11.905095185,2.3147605829,10.4,19.1,5.6049352652
39019,Ohio,Carroll,75.000577384,4.8425786518,6.5095884835,96.55720339,46.216875872,18.7,1.9024164015,29.4,41.9,7,56.058,67044,High,77.962704775,100.0,0.7848120188,0.3662456088,1.3603408326,0.3849316092,0.0149488004,95.552731893,5736,17.961288141,14.95383005,77.771000349,18.515189646,13.408620253,8.6725663717,0.631089023,8.2,24.6,
39021,Ohio,Champaign,75.706404226,4.5597517669,6.1267020595,91.327160494,55.469853341,12.3,1.2145288629,25.2,42.2,6,110.69636000000001,70230,High,76.656781846,70.617864338,2.0929334535,0.4608057665,1.8303513966,0.473677436,0.04633801,92.791865105,9205,12.886882626,30.936339887,88.254254771,20.889885519,12.886132975,8.1909061593,0.1174221737,8.0,19.0,
39023,Ohio,Clark,72.269612408,5.0667189779,6.6523352328,73.418199112,57.553130385,21.4,8.0313503534,29.0,40.1,61,213.95141999999998,58684,Low,69.158608224,25.385107462,9.1167075254,0.786717183,4.3258301761,0.4137879801,0.0802317807,82.239060991,31338,16.34701529,53.705294055,89.549028468,28.632924602,20.513582816,11.818594104,0.6553932752,7.8,21.8,8.817173318
39025,Ohio,Clermont,76.250580235,4.3041897184,6.228550617,93.3993461,67.322250399,11.3,9.6611051958,25.6,38.4,138,141.52813,82143,High,73.380842839,26.269289217,2.0446096654,1.5384107335,2.6173268167,0.2255014813,0.0584982922,91.904591172,53235,10.089659757,39.019200632,91.859748144,15.451360694,13.079564143,11.407959895,0.3415414264,9.6,19.2,4.6363986149
39027,Ohio,Clinton,73.042844738,4.7879829131,6.6138842371,92.885067114,58.319570603,15.9,12.326188286,29.3,42.5,26,340.97954,67813,High,70.533446232,70.141367985,2.0721064428,0.7320330011,2.3582431208,0.4339739616,0.0619962802,92.205159998,9688,15.995915936,52.427138193,87.032780936,21.505376344,13.338795888,11.570996979,0.6193124368,8.7,22.6,
39029,Ohio,Columbiana,74.031334007,4.6759635752,6.3921611519,89.721727516,52.270455829,20.3,6.1277100292,28.5,43.1,30,166.69661,55744,Low,73.123867069,55.49731539,2.3796690024,0.3623405402,2.0163302789,0.2735022259,0.0429218822,93.32814278,23013,13.440690852,43.573128584,85.527492447,20.455139942,14.975753073,9.8632457945,0.1559170521,8.5,23.3,5.8701514209
39031,Ohio,Coshocton,74.283807346,4.9990278089,6.6039537472,91.891891892,49.053497942,21.5,2.7829949699,27.4,40.0,13,108.49222999999999,57694,Low,72.516823688,66.311591828,1.0984838211,0.4692288915,1.3425913369,0.3336136049,0.0650953375,95.142260436,8505,16.796022077,32.835330816,80.31628533,20.058062813,20.780129821,12.194281777,0.5269900425,7.8,21.5,
