FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001,Oklahoma,Adair,69.27488179,6.1266736993,6.8651164038,,39.721329046,30.7,5.1649243995,37.1,41.5,5.0,239.46604,44808,Low,67.990181923,100.0,0.748968258,1.309420696,7.4642074693,44.67824935,0.061140266,39.664747542,4665,29.485083228,27.894002789,61.680623737,48.017533373,19.957993176,15.214180207,0.6684198992,8.6,25.8,21.077065924
40003,Oklahoma,Alfalfa,77.738036284,4.2384968236,5.4227079891,,48.080553807,21.5,14.835798691,26.8,35.0,2.0,52.88207,57517,High,78.73015873,100.0,5.6936365239,0.669839591,6.6455138375,4.4244667724,0.1410188613,80.274986779,1589,29.809961495,,86.031746032,15.642458101,,8.5635359116,0.2940635913,8.3,16.5,
40005,Oklahoma,Atoka,72.893052318,5.0154142723,6.0234164728,,40.815809476,24.1,14.985586767,33.6,39.2,2.0,1115.3184199999998,49815,Low,75.775631806,100.0,5.321858864,1.0533562823,4.5851979346,15.407917384,0.0413080895,67.194492255,3947,21.474368807,,76.761865626,45.370711914,18.54652324,12.384851586,1.0103244838,9.0,23.1,
40007,Oklahoma,Beaver,76.483784236,4.3748799491,5.5853637684,,54.969217238,18.5,11.877335973,29.9,36.5,,,67112,High,79.705014749,100.0,1.2156237545,0.518134715,30.310880829,3.8860103627,0.0,64.009565564,1137,52.012044895,,87.787610619,12.336719884,,7.5842696629,4.0218993472,6.6,15.6,
40009,Oklahoma,Beckham,72.146861165,4.8241778415,5.8028768018,,41.219908433,29.8,7.8483468124,32.5,39.1,11.0,313.03873999999996,51960,Low,66.369628906,50.361445783,5.0086199074,1.3065964976,13.88712458,3.7519281372,0.022683967,74.417022049,6771,22.815720683,21.366543046,86.987304688,35.608308605,21.999981667,13.85199241,0.4745925216,7.2,17.7,
40011,Oklahoma,Blaine,70.317286912,4.9547959496,6.0040789165,,44.182621502,21.7,23.508074577,33.5,38.3,5.0,363.04017,58573,High,71.382257589,100.0,3.4313151423,0.3981730882,12.905492446,9.5678650896,0.1756645977,70.218995199,2037,38.775921704,,84.173297966,30.31761309,22.059472337,9.8870056497,2.4282016517,8.4,20.4,
40013,Oklahoma,Bryan,72.181887806,4.8877073894,6.4692929576,,53.442917893,22.4,10.791823565,30.0,40.1,18.0,831.17201,50105,Low,63.562575409,58.052401936,1.9890946964,0.7392733882,8.1993995956,15.161231033,0.0939408173,67.680274471,12228,28.065812822,18.019891188,80.316990238,33.591967138,17.120999532,13.959390863,0.6807182595,9.0,19.5,8.198019802
40015,Oklahoma,Caddo,69.047472389,5.4762801765,6.1845467144,,38.261997406,23.2,9.8548844401,35.8,41.5,6.0,57.22133,50742,Low,70.344751866,81.425125255,3.9253833829,0.6713969635,17.235065232,23.216601816,0.1335164416,54.074158846,7710,29.334560664,34.461538462,82.927097058,33.90393884,20.145479139,10.335349093,2.2845275182,8.5,23.0,14.628657164
40017,Oklahoma,Canadian,77.700321827,4.0291491765,5.5081918431,,69.457520505,8.7,7.5575000695,24.8,35.7,56.0,201.90071000000003,86539,High,74.756369205,19.520740909,4.8387922356,3.5107974225,12.528081261,5.2346313748,0.1632267715,70.254053654,48647,11.867588098,15.286792624,92.845955729,14.013704785,13.773909641,10.433752506,1.5337282152,9.9,13.2,10.031531005
40019,Oklahoma,Carter,71.686320559,4.8935284439,6.0832442883,,54.818350999,22.8,7.6377313188,32.3,39.5,28.0,479.46333,56270,High,67.660295441,55.413203341,6.0848629517,1.4322166433,8.9925096716,10.587291135,0.0905424315,67.50349823,12359,20.99423989,24.801245574,81.929369408,34.734917733,21.123085462,12.093275488,0.854378412,9.5,19.3,9.3264248705
40021,Oklahoma,Cherokee,73.003161962,5.3736076749,6.697236366,,60.461401952,24.1,14.039717208,32.6,42.3,35.0,491.85430999999994,50434,Low,65.804488399,61.818683886,1.496316281,1.2140707689,8.1747431773,36.73134793,0.0892393899,45.744526305,11270,20.019784257,24.18062234,82.019235994,23.186589378,22.720137477,14.21218187,0.919142134,8.6,21.9,6.696125085
40023,Oklahoma,Choctaw,68.31194774,5.4519465884,6.5125069757,,49.812382739,31.1,21.082639738,34.7,38.4,6.0,826.5620600000001,44307,Low,65.739160123,64.854970431,9.7856542449,0.7775287195,5.5197534323,19.676379938,0.0420285794,57.600168114,3198,33.203449252,30.015469511,73.31853875,46.276432731,31.658201539,11.728931364,0.308154829,8.7,22.2,
