FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
41001,Oregon,Baker,75.241094199,4.3958671851,5.9084038433,81.332103321,65.500406835,20.0,14.506172946,20.9,33.1,12,827.81457,59123,Low,72.77984304,41.396688265,0.7213812677,0.6918164617,5.3334910123,1.7798013245,0.2956480605,89.191106906,3687,18.370774722,19.972438036,88.049015558,20.007550019,27.98087568,14.050179211,0.1933753353,9.8,16.3,
41003,Oregon,Benton,82.362090477,4.1105171942,5.7580548259,83.901226158,82.880565124,11.5,7.3827716636,16.3,26.6,112,1374.43329,74800,High,56.030925142,19.405572365,1.2158054711,6.4126574765,9.4378434804,1.1615649914,0.3131620153,78.425593319,22933,7.9708634285,11.851397419,92.582144909,2.6822805927,8.2620116939,20.27027027,1.4357161335,11.4,12.4,3.2285065168
41005,Oregon,Clackamas,79.869299345,3.8441442993,5.6796242199,88.270150754,75.239804331,6.9,3.3486454454,15.9,32.8,387,426.77581,100376,High,71.340362001,17.10959395,1.324044776,5.7690353591,10.226314061,1.1219997495,0.3232720424,78.358260097,109777,10.813378202,17.675233368,92.869957361,6.3147379562,11.56277301,17.238569772,1.5139136586,30.4,10.5,7.2011280089
41007,Oregon,Clatsop,76.740414628,4.2454033052,5.9758684868,84.467532468,67.587672689,18.6,3.725172418,16.5,30.7,26,423.33706000000006,65160,Low,61.674495717,39.111803662,0.7152936597,1.6909152839,10.427716413,1.5279061846,0.3771106029,83.256289232,10351,22.716785575,27.435285004,90.975407571,13.080801199,10.788756154,17.147147147,0.3169773044,7.4,12.7,
41009,Oregon,Columbia,77.559440696,4.236294795,5.8160872527,81.224826389,55.78358209,11.5,1.4200594887,20.2,34.0,14,434.29844,81463,High,75.712216321,41.223449771,0.7368225687,1.2787676318,7.14922049,1.6945063103,0.3247958426,85.879732739,13400,12.812264881,27.5796362,92.346692419,10.730858469,17.02810394,12.816654126,0.2673267327,10.1,17.2,7.278208441
41011,Oregon,Coos,74.847922707,4.6418751456,6.1365595203,66.54495614,54.864523375,20.9,3.9314781896,19.3,32.8,54,557.52819,61386,Low,70.707674983,38.140122287,0.5154799726,1.435868685,7.5515479973,2.9309163396,0.2834361179,84.004547437,14246,20.832179068,20.030816641,89.083999015,17.34637387,19.77897001,14.009049774,1.2728064657,9.9,14.8,11.625194401
41013,Oregon,Crook,78.024624718,4.315346293,5.9908113047,92.0,65.111598975,16.8,5.3805001417,20.7,32.4,9,530.57287,73421,High,75.626937165,49.846390169,0.4192638765,0.7272187593,8.0216681508,1.7475512021,0.1521222915,87.128970021,5466,16.940934555,15.540216786,88.522588523,15.358771298,22.312534863,13.668341709,0.7639231148,16.2,16.9,
41015,Oregon,Curry,73.909430791,4.454229593,6.0499899965,79.841040462,56.796116505,22.6,2.1252698151,22.4,32.6,16,588.08379,55238,Low,74.84929078,51.829736416,0.596668956,1.068853022,7.8725961538,2.6614010989,0.184581044,84.684065934,4326,23.49943725,55.251749639,89.920212766,20.622160084,33.52704515,18.025949954,0.6393016181,9.5,17.7,
41017,Oregon,Deschutes,80.858425207,3.7486100336,5.4449955073,85.581531142,75.042307277,10.3,5.1341378502,13.8,25.6,202,691.08401,95414,High,70.742935442,29.241423837,0.5251471131,1.4939116506,9.3433023361,1.1303851558,0.188477457,85.186055546,55546,13.056268139,12.069435134,92.976910225,7.3851510727,13.362491486,17.78015883,0.7952676919,15.8,11.0,9.6254031258
41019,Oregon,Douglas,74.491354044,4.670887555,6.5423918566,75.31938326,58.632376396,21.0,9.6873672533,22.4,35.4,72,424.24512,60296,Low,71.761252865,40.379133281,0.4873927158,1.2629519278,6.9071018811,2.2110552764,0.1849957753,86.044381198,25080,20.393306865,29.495976332,86.777213617,18.315963265,22.984295262,13.796123946,0.6675868285,19.3,19.3,8.0223508282
41021,Oregon,Gilliam,76.423143248,4.6222830653,6.2847415285,,60.0,15.1,20.807689076,19.3,31.6,1,148.07502,74010,High,75.604142693,100.0,0.6416584403,0.9871668312,6.169792695,2.0730503455,0.4935834156,87.364264561,440,74.002812107,,87.802071346,,,15.555555556,0.3597122302,14.0,14.2,
41023,Oregon,Grant,79.684265003,4.5546416564,6.1146404964,76.805555556,62.605863192,21.0,14.513174703,20.7,33.6,7,609.84061,61024,Low,80.638424821,100.0,0.2910602911,0.8731808732,4.1164241164,1.884961885,0.0831600832,90.51975052,1535,,,82.100238663,11.690647482,,16.488549618,0.5775339301,8.2,16.4,
41025,Oregon,Harney,76.106247297,4.9385288556,6.3333883818,,59.259259259,20.8,12.544918124,22.8,35.7,4,846.7741900000001,56649,Low,67.17605858,44.376250834,0.9408602151,0.497311828,5.8064516129,4.9193548387,0.0537634409,85.430107527,1728,21.249468763,,78.860235594,15.426497278,34.960333468,13.495934959,1.0041841004,11.9,18.7,
41027,Oregon,Hood River,80.830812965,4.0587728554,5.4854076887,90.0,66.897005594,12.8,2.0909606211,18.9,29.8,53,496.94672999999995,79092,High,68.085578096,51.795470659,0.5222152032,1.6761423458,30.69698884,1.4192461571,0.240050537,63.861865656,6078,8.4949394432,,91.508701918,10.346124906,9.3066542578,13.407821229,7.1731074643,15.5,13.0,
41029,Oregon,Jackson,77.266326825,4.5188560554,6.2544232744,84.558453237,63.652268013,14.0,5.8202304647,21.1,35.8,215,721.119,71030,High,64.978660991,20.595362337,0.8484019423,1.7887556168,15.091861139,1.7430062328,0.3850195681,78.016741557,55445,14.010180731,29.825155645,89.530100685,14.040303931,20.582632952,18.638573744,1.4392505678,15.6,18.2,6.0700311026
41031,Oregon,Jefferson,73.60134633,4.6621686979,5.8389507317,90.247058824,55.20464067,19.1,4.1037349636,21.2,34.7,16,322.14976,68419,Low,71.428571429,66.994531059,0.7778738116,0.8643042351,21.690107645,17.470731516,0.2396479925,60.62308478,6206,35.099624434,15.945996226,88.994110174,24.990003998,21.755946625,18.981200728,1.7689684569,18.4,17.1,
41033,Oregon,Josephine,74.581699341,4.624189829,6.2714456809,77.702517162,58.215720614,20.7,9.1136449264,20.6,33.3,65,957.62972,61575,Low,71.689233818,43.14224089,0.5830040651,1.1956138054,9.0616139648,1.7228225595,0.2732831555,84.495735644,19414,23.066918603,37.103082206,90.059445178,19.101943357,28.928791893,22.586445367,0.5567145497,14.5,18.5,12.072217731
41035,Oregon,Klamath,73.282167722,4.9053716531,6.2693501972,77.719626168,58.286491924,23.6,12.771875256,23.3,34.5,73,581.40365,54630,Low,68.730929265,37.752294239,0.7028270217,1.202805594,14.396525863,4.9969287031,0.2499892862,76.15959316,16901,23.830228436,27.257729001,85.045076283,20.282588879,28.115453065,19.571810883,1.4426727411,19.7,17.2,14.194299011
41037,Oregon,Lake,75.72731356,4.8168070885,6.2028306182,,56.953992597,21.1,18.490713911,22.8,33.9,4,265.28397,56518,Low,61.542957335,100.0,0.7355601109,1.2058362474,11.443385988,2.6287230194,0.1447003497,81.225129627,1891,39.245067609,,71.098772648,22.512708787,32.211705238,18.540145985,3.1190566755,7.8,18.7,
41039,Oregon,Lane,77.0847984,4.5995087496,6.6261819099,78.000558659,70.254451107,14.0,5.5280517987,18.9,31.9,315,1168.73611,70065,High,59.384109988,18.030869178,1.170047825,3.2601310139,10.766014046,1.6472489447,0.2851663645,79.440213442,97897,13.034602349,36.829750777,91.434339128,8.2440811725,15.286309435,19.938289277,1.0501032888,15.0,17.0,9.2349674454
41041,Oregon,Lincoln,76.056929224,4.3820698677,5.8587866553,86.0,62.070331847,21.3,4.8479571387,20.0,34.6,29,550.95335,61603,Low,71.36536861,37.999801568,0.7437870172,1.5721847268,10.41105055,4.1144408807,0.2203813384,80.844532772,10095,20.95689769,26.271197573,90.801173945,17.741731086,21.064513052,14.935505771,1.9353514623,8.9,15.8,
41043,Oregon,Linn,75.906461792,4.4039539306,6.1616254766,74.604719764,63.223745898,18.4,11.521571156,21.0,35.0,76,263.88635,70242,High,67.045949262,34.245393049,0.6783476303,1.3871144369,10.978280708,1.8008152339,0.2517186835,82.369045446,34128,16.957850816,20.952575634,90.353029643,14.303482587,14.650455552,17.509925685,1.2115518157,21.0,16.3,8.7703911594
41045,Oregon,Malheur,75.088412406,5.2263372942,6.0704017222,89.893899204,49.633699634,23.8,4.1436352378,27.3,36.0,8,555.48621,53762,Low,63.402729356,58.870482405,1.3075770815,1.4386468606,34.465110473,2.1252028461,0.243415304,60.017475971,8190,13.378234996,17.978954048,86.721785038,27.215536105,15.399323713,19.468574348,3.8758123716,10.6,18.5,
41047,Oregon,Marion,77.518244488,4.8087848154,6.1661629636,79.205511022,59.570362202,18.5,4.8951622859,24.2,34.9,248,487.68389,73210,High,62.243148637,15.35326087,1.2577110869,2.7807498969,29.316406194,2.8577526165,1.2248335213,61.93470054,94312,13.994039698,23.009972906,91.315094926,17.461120243,12.372591085,19.326343598,5.7579628788,24.9,16.6,11.539446066
41049,Oregon,Morrow,76.457992921,5.2399604257,6.2780524952,96.680327869,38.08411215,15.4,1.4546033235,26.5,35.8,5,1007.96618,80508,High,70.91624248,100.0,0.6259144854,1.1867988945,42.196390831,2.7231344497,0.3332791416,53.186473744,2996,13.460926601,,87.343822304,31.364698031,,15.667074663,11.975048322,12.0,17.8,
41051,Oregon,Multnomah,77.769938655,4.212799812,6.069883627,79.420832129,79.209416415,13.0,1.5017137946,18.0,28.6,1182,1148.1604399999999,83290,High,54.104009304,1.2816582212,5.8529969685,8.3322991827,13.734744168,1.5635090883,0.7178693627,66.507576314,283335,8.7670312866,42.997443765,92.979400792,10.968514839,12.652172707,20.216372373,3.8383706508,10.7,13.6,5.9789087575
41053,Oregon,Polk,78.956982086,4.1424884428,5.7039785732,80.270072993,67.761674718,11.3,8.0751830267,21.8,34.6,51,317.35427,79970,High,64.591391908,20.405338945,0.9453816603,2.2604532042,16.048104226,2.7659929848,0.5589889204,75.304270364,21735,12.92760541,15.383345465,90.388039541,8.7927547701,11.648064023,18.22621298,1.6487643209,12.1,15.2,8.2586540151
41055,Oregon,Sherman,80.183203858,4.6894912684,6.2238961026,,48.611111111,20.2,17.754889229,21.8,31.9,1,,73123,High,67.091836735,100.0,0.3587903639,1.0763710917,6.919528447,2.6652998462,0.0512557663,87.134802665,360,,,82.653061224,,,9.1549295775,0.5558643691,15.1,18.9,
41057,Oregon,Tillamook,75.170050205,4.5013088906,5.7410721367,83.005514706,60.02991524,16.2,0.8077503542,18.6,31.2,15,331.91086,68717,High,73.165778116,60.657174151,0.532516322,1.068680016,11.401685086,1.7106175001,0.372031951,82.915709231,6017,24.812585788,27.789860326,88.871964119,14.779445202,14.642681954,16.739894552,2.1902520498,7.9,14.8,
41059,Oregon,Umatilla,75.922644236,4.6707524741,5.9581477191,83.061290323,53.683632871,21.8,11.921353016,24.5,33.9,37,487.17724999999996,62890,Low,67.141945095,31.737745863,0.9868462144,1.2804017339,30.027606711,4.2109602388,0.2410902777,62.715950683,21867,13.348888751,24.794604022,85.312477832,24.187285033,12.963212437,15.179563125,4.3964966457,14.7,17.0,6.7312234294
41061,Oregon,Union,76.472179382,4.5621268677,5.8624011009,71.150362319,62.991371045,16.4,3.7538440488,20.9,33.2,22,481.80697000000004,63524,Low,64.581798084,42.914948847,0.7092198582,1.1987357385,5.538852914,1.3374961455,1.4762565526,87.638760407,6258,14.630577908,32.936407398,82.912675018,13.044861597,17.393145588,14.902705268,0.196747641,9.8,16.8,
41063,Oregon,Wallowa,77.730032058,4.0330308553,5.7724292113,,72.08994709,16.4,10.703037311,17.5,31.9,13,416.99244000000004,61173,Low,76.400476758,100.0,0.416992442,0.625488663,4.4175136826,1.1597602293,0.1303101381,91.399530884,1512,25.655700499,,82.41954708,,27.267273818,10.244648318,0.5023022185,8.8,14.3,
41065,Oregon,Wasco,75.208407502,4.7320579561,6.0558396619,72.224637681,57.266843189,18.3,12.146173194,21.4,31.0,28,721.52812,65701,Low,66.218422822,34.765654293,0.5886150458,1.1316598944,21.061026089,3.5848555045,0.778490867,71.769262902,6798,14.021539241,35.136152591,87.935837095,18.346732632,18.061816567,14.88641856,3.7296222664,16.8,14.3,
41067,Oregon,Washington,81.143107601,3.6824034309,5.3858010398,87.66518847,76.768747357,8.7,2.3074404056,16.6,29.3,554,604.4768,103486,High,60.869920729,5.4950930423,2.5553338398,12.969367053,18.724921309,1.1862439782,0.5911181986,60.972172359,186813,6.0112215856,13.355492737,94.714803371,7.2193966531,8.7889025457,16.434786449,3.680334451,11.1,9.6,6.516986501
41069,Oregon,Wheeler,,4.6608629512,6.210170078,48.52393617,72.444444444,31.0,51.060387645,22.0,34.1,0,278.55152999999996,46315,Low,69.230769231,100.0,0.208913649,0.6963788301,6.8245125348,2.7855153203,0.139275766,86.281337047,225,,,79.939668175,,,14.285714286,0.0735835173,11.6,17.9,
41071,Oregon,Yamhill,78.066618794,4.2922314474,5.8907354062,85.849261849,62.871798525,10.0,3.3377731553,20.2,34.2,63,529.2515000000001,86887,High,69.942836543,26.48855387,0.9526527006,2.0783476308,18.021243695,2.008394389,0.2779720923,74.686130849,28073,11.88270039,22.213378007,91.708723864,9.2942421037,12.076599081,18.091111986,2.9689266638,12.7,14.3,8.9755788138
