FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001,Pennsylvania,Adams,78.834616419,4.2742869935,5.7031662686,92.425179211,58.919109855,12.6,4.1891615149,23.3,39.7,56.0,130.21321,77041,High,79.057682314,63.257327736,1.7667778319,0.9920560573,7.6600966763,0.4768239218,0.0777532132,87.905159816,22648,11.614530331,19.175700552,88.557570958,9.9817002163,11.374239468,9.6592332749,1.3346633416,7.8,17.3,3.6579337617
42003,Pennsylvania,Allegheny,76.924253666,3.9487163096,5.37828198,90.43261419,80.501160817,15.2,5.5203629829,21.0,37.0,1353.0,482.43627000000004,76488,High,64.928720035,2.4146434689,13.13959137,4.52978997,2.9657297981,0.1811687384,0.0467821934,76.790480273,345877,6.3159534095,52.43434099,89.830322393,9.0244478275,14.647229009,12.658378606,0.9119269032,11.3,15.4,3.6549683434
42005,Pennsylvania,Armstrong,75.271340231,4.3702274255,5.7884741875,88.756499133,55.13427021,15.4,2.0477299554,25.9,38.3,28.0,168.55511,61521,Low,78.637483486,64.944019037,1.0831226394,0.3386709118,1.0269376034,0.1982083216,0.014046259,96.349533352,14374,10.961835274,45.875815713,84.653836541,14.434782609,14.197530864,10.052337123,0.3089548636,7.8,21.1,6.4491938508
42007,Pennsylvania,Beaver,75.61570245,3.9381652062,5.4243111376,78.688584043,69.257604658,12.7,9.3883943833,21.6,36.7,65.0,166.63547,66846,High,74.528655783,28.921320929,6.3641468083,0.6381655608,2.4645144931,0.2131243547,0.0549414059,87.914098206,39844,8.6421758925,41.828660109,87.741576936,13.213252695,12.87115368,10.283762114,0.3524118184,9.3,15.7,3.1810538117
42009,Pennsylvania,Bedford,76.216264699,4.6447041525,6.0483132761,94.466731898,51.545463639,14.3,6.2731542153,25.2,39.8,16.0,154.17107,58319,Low,78.100490816,90.65304664,0.6652587117,0.4984160507,1.3178458289,0.2027455121,0.0570221753,96.373812038,9997,17.284281734,36.441105567,82.072559834,15.575620767,20.941531245,10.059477631,0.2748653382,7.6,19.5,7.5454122031
42011,Pennsylvania,Berks,77.814755259,4.0584954099,5.2011242059,87.57667042,58.285019104,17.9,3.2919661019,23.9,41.4,270.0,190.37893,75655,High,71.04594282,26.55480134,4.4762153408,1.6711296356,25.325018888,1.1464323589,0.251605167,67.101873523,105214,10.660656087,31.308361597,88.053258792,16.728353685,10.696830157,13.01033955,4.5752470496,8.7,15.1,5.1416791301
42013,Pennsylvania,Blair,74.731859602,4.3460288597,5.9420663037,87.859032502,56.560186455,18.0,4.3778635615,25.2,42.2,94.0,304.3077,54909,Low,72.447970246,25.738874143,2.2864649589,0.722522927,1.6138285401,0.1820857549,0.0324262303,93.611201184,29176,11.679050353,41.50563762,84.685843159,16.301161018,13.319586205,11.389634935,0.3929833047,7.7,20.1,5.5629334514
42015,Pennsylvania,Bradford,77.151757359,4.3712599282,5.7284513465,89.231343284,51.598693704,17.6,4.7204602219,22.3,38.8,61.0,102.18611,61270,Low,72.26691714,72.978471493,0.8007370802,0.7672334366,1.6684814474,0.3300108887,0.0268029148,95.294413267,13167,17.504104003,17.224231716,84.114019684,23.401875591,11.290617165,10.232653902,0.2295765196,6.6,17.1,9.8155238427
42017,Pennsylvania,Bucks,79.089937505,3.6936673057,5.2711194143,92.725180756,73.219756507,7.5,4.4579654767,21.6,38.6,522.0,323.22782,107006,High,78.014648288,10.296842568,4.2271944816,5.8591234458,6.6894845693,0.3222990043,0.0775561005,81.376938128,150148,8.2386379026,32.618794157,94.06841251,4.29342211,7.7465578202,13.270799347,2.1015113141,8.9,15.8,6.9302789486
42019,Pennsylvania,Butler,77.771240988,3.7673393157,5.2973108731,93.971245247,73.581844143,9.8,3.1888357879,18.2,37.7,132.0,235.87163999999999,80978,High,76.374852016,43.308578005,1.3421499599,1.7070454053,2.0674048575,0.1915197089,0.0357839456,93.512017862,46222,9.6211376394,36.851567397,89.566951212,6.0047765268,9.6189132928,10.750973011,0.4629604794,9.0,13.1,3.3972290757
