FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
45001,South Carolina,Abbeville,72.885333031,4.4769563646,5.6813966712,85.0,55.921052632,22.0,8.8290117287,25.6,38.3,13,61.38987,51580,Low,76.950503356,78.97921383,25.362200213,0.4010804617,2.2755177212,0.4583776705,0.0409265777,69.85757551,5168,25.040618212,36.956432472,80.075503356,18.191451784,19.651674077,13.156498674,0.2456473022,8.3,17.6,
45003,South Carolina,Aiken,73.543142124,4.0462144234,5.5678570993,90.0,62.52106025,17.7,9.2278567624,28.0,38.4,58,171.62536,67769,High,76.674051832,37.019572532,24.576299893,1.2488003162,7.3160955231,0.6300457291,0.0818607802,64.246598543,42141,17.508132067,49.631050112,89.675830102,20.850151713,25.172067396,12.30964467,1.0371640162,9.8,17.6,5.4480852744
45005,South Carolina,Allendale,69.493709755,4.940457765,5.6312984312,,43.033419023,44.6,1.2912218429,34.1,46.1,4,203.55542999999997,35477,Low,64.653809674,100.0,71.217261501,0.9634957253,3.0261907993,0.5428144931,0.0949925363,23.096756683,1945,40.3999596,,70.597533987,33.419023136,38.685654876,13.843648208,0.6645870066,,22.0,
45007,South Carolina,Anderson,73.227205953,4.1915505401,5.7872767288,88.690580986,62.321579745,18.4,12.318030335,24.6,34.9,136,190.54234,64813,High,75.436481847,41.656603737,15.452233006,1.2394638533,5.3248606131,0.4120595468,0.0657042558,75.804877133,50793,24.097913628,35.27467536,87.207490199,21.991045562,22.561193575,12.063169912,0.9186693864,8.8,15.7,11.713583979
45009,South Carolina,Bamberg,70.599622961,4.572218281,5.7232752125,79.657258065,56.679729248,36.3,15.523045502,31.6,42.1,5,61.661789999999996,41555,Low,74.216027875,100.0,58.185601973,0.8709727147,1.7958994913,0.6243255742,0.0693695082,37.20517959,2807,32.935703332,,78.114111498,17.433941705,26.337352218,10.526315789,0.3825310807,8.0,21.4,
45011,South Carolina,Barnwell,69.574615302,4.8287002681,5.6147945875,78.295454545,44.402829796,45.8,0.0137425108,32.7,45.7,5,200.51841000000002,46482,Low,71.025040089,100.0,42.490340881,0.8411991979,3.1642783782,0.8069643468,0.0244534651,51.117523353,4806,27.966304014,59.871518957,73.911434563,33.545647558,35.653372134,16.596002423,0.3019575177,8.6,21.4,
45013,South Carolina,Beaufort,80.553023831,3.4036859034,4.9441578472,86.0,63.916380268,14.0,13.102042243,19.0,32.9,133,199.01597999999998,82199,High,75.730385562,18.601196043,15.428261274,1.5338302032,12.119369381,0.4216525362,0.14725172,69.003261651,38699,14.311350549,22.61145133,90.878747113,16.638513514,14.098933043,13.615599645,2.3253653365,8.7,13.0,10.207397496
45015,South Carolina,Berkeley,76.681691325,3.9104247041,5.281747651,84.0,68.407952784,12.6,9.0239465126,22.8,37.4,78,160.64761,82414,High,74.103466596,22.069859611,23.633613748,2.6922187785,9.1725864656,0.7056739951,0.1492847263,61.378748281,67096,18.989269496,33.574578054,87.384336123,17.216962046,19.197756605,12.267348516,1.5728480518,8.0,14.6,6.3350205631
45017,South Carolina,Calhoun,72.538220389,4.3465659491,5.6729945593,87.5,66.346790205,24.3,0.2724689817,28.3,38.8,3,21.14761,58916,High,83.719790986,100.0,37.790779642,0.5427886649,4.053291978,0.6626251234,0.1057380516,55.674608769,3022,40.405633137,27.97333209,78.527106466,22.23869533,33.346764669,15.457685665,0.2372127502,7.8,19.5,
45019,South Carolina,Charleston,77.8945433,3.1907857023,5.0105249007,85.0,78.599240533,14.2,5.9883202837,17.5,30.6,512,466.81292,88111,High,63.490390259,9.0599777089,22.882787776,1.9426581237,7.0054928871,0.5139419418,0.1010917437,66.238656634,124561,15.110711261,37.59145922,86.187955487,15.790734925,20.893840428,16.910428644,1.900253316,7.1,10.1,6.3486018932
