FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
46003,South Dakota,Aurora,75.89329034,3.340488057,4.416583576,,66.60583942,15.3,16.9180539,22.5,30.1,,71.89072999999999,66789,Low,76.3915547,100,1.042415528,0.790797987,8.159597412,3.450754853,0,86.23292595,548,,,81.66986564,18.6440678,,7.177033493,0.95475301,5.4,16.1,
46005,South Dakota,Beadle,78.36286286,3.679448102,4.38047677,70.65217391,54.92957747,19.3,6.369083893,28.8,32.3,9,270.53238999999996,59721,Low,70.23380094,25.35380438,1.010668164,11.77071104,14.84355061,2.368434485,1.954979327,68.10270022,4402,10.71942666,,86.53306613,50.18888289,18.01878193,12.80367695,4.254838892,5.7,19.2,
46007,South Dakota,Bennett,67.87777272,4.921864045,5.485566969,,55.34825871,35.6,23.32318479,27.1,32.2,,,48547,Low,57.71484375,100,0.574886536,0.877458396,3.751891074,59.24357035,0.060514372,32.22390318,804,,,63.671875,37.30569948,,13.63636364,0,4.7,26.9,
46009,South Dakota,Bon Homme,76.59123528,3.934144233,4.496425459,,48.13256181,10.1,26.0578809,23.4,30.7,4,,67069,Low,78.40065952,100,1.472045294,0.325548478,2.661004954,8.266100495,0.028308563,86.27034678,1901,24.60377668,,82.15169003,14.26174497,28.73150409,7.770961145,0.358851675,5.9,17.1,
46011,South Dakota,Brookings,79.88285338,3.357246131,4.395043426,82.75139665,79.49820789,7.4,16.4458021,21,31.4,20,161.20067,75209,High,58.86582654,31.13018182,1.637020567,3.37409672,4.84991662,1.553640912,0.086158977,87.34296832,8370,8.18246906,,89.83691623,6.161652773,,10.95579902,0.679652892,4.4,13.4,
46013,South Dakota,Brown,78.49827287,3.461632075,4.356771699,84.39805825,69.63845081,9.9,8.361088549,22.8,30.7,24,455.83441999999997,67491,High,65.71131753,26.9418553,1.574218854,3.106034506,4.741207961,3.911695333,0.325974611,84.99191689,9321,8.847208706,,88.13248595,11.20206807,9.328068157,11.38888889,1.335861896,5.6,14.9,
46015,South Dakota,Brule,79.0932567,3.848965975,4.676503861,,70.30201342,14.6,13.20024761,25.4,31.2,6,150.63076999999998,69383,High,72.51552795,100,0.508378836,0.58369422,2.541894182,12.05046131,0.037657692,81.13349652,1192,,,81.15942029,21.66377816,,9.296482412,0.44345898,5.2,20.2,
46017,South Dakota,Buffalo,53.98081304,5.5790109,6.033473473,,39.06633907,38.1,12.05484954,37.8,38.9,0,265.39278,32803,Low,52.62096774,100,0.636942675,0.212314225,1.804670913,79.72399151,0.106157113,15.12738854,407,72.56894049,,61.49193548,50.07153076,,26.21359223,0,5.1,35.2,
46019,South Dakota,Butte,78.55449011,3.669083887,4.438930219,85.18595041,55.39538715,15.1,16.82314204,24.4,32.6,3,55.23336,62368,Low,80.4964539,50.31728986,0.662800331,0.55233361,4.225352113,2.816901409,0.174905643,89.33996134,2428,19.24901349,,87.73049645,20.05469462,,15.76971214,0,5.2,18.7,
46021,South Dakota,Campbell,,3.285296304,4.24424238,,74.81481482,12.8,8.532710303,22.5,30.9,0,74.62687000000001,64367,Low,78.125,100,0.373134328,0.52238806,4.402985075,2.089552239,0,92.1641791,270,,,77.55681818,,,8.396946565,0.572655691,5.2,15.9,
46023,South Dakota,Charles Mix,71.41452819,4.197091453,4.858819652,,62.42105263,26.1,3.595530992,25.6,33.5,3,119.04762000000001,59721,Low,73.88556221,100,0.606060606,0.422077922,2.965367965,30.64935065,0,64.25324675,1900,33.79831623,,80.37258816,34.05572755,,14.35810811,0.141259564,5.8,20.1,17.05150977
46025,South Dakota,Clark,81.0416211,3.353203532,4.060462691,,54.02439024,13.7,16.23102996,23,31.1,,,65768,Low,82.29954614,100,1.671732523,0.278622087,5.547112462,1.393110436,0,91.05876393,820,,,84.5688351,,,12.63537906,1.0743568,5.8,16.6,
46027,South Dakota,Clay,77.21049776,3.695776107,4.737327289,87.5,75.48324742,14.6,11.06981033,24,33.2,7,116.64831000000001,63752,Low,51.75328178,22.10195764,1.821009656,2.663469639,3.369839933,4.063249303,0.084245998,86.30678504,3104,13.88021376,,89.73206258,5.18825971,,20.67669173,0.153043478,6.3,18.3,
46029,South Dakota,Codington,78.78499258,3.444875393,4.330017256,89.44285714,63.61831845,11.8,6.520250724,24.9,31.7,27,358.97967,66288,Low,67.40554971,27.12091792,0.697248973,0.828414622,3.500051776,3.258430845,0.01380691,90.75627352,7053,13.66950182,15.23425598,86.91044414,14.23728814,15.5633215,14.08274133,0.455690575,6.7,17.4,
46031,South Dakota,Corson,58.7138365,5.638709522,5.592628964,,43.15403423,40.4,21.20974889,33.8,36.2,,105.76415,42911,Low,60.52158273,100,0.713907985,0.44949762,1.612903226,64.01374934,0.052882073,30.64516129,818,45.91206075,,81.65467626,60.03289474,,16.82242991,0,5.2,27.6,15.33742331
46033,South Dakota,Custer,81.45013957,3.246888117,4.30691489,77.5,63.52201258,13.3,7.637109242,20.8,29.4,4,54.8426,76579,High,85.56905529,100,0.855544587,1.162663157,3.422178348,3.597674674,0.043874081,89.51409455,1590,29.21271727,,86.88321349,18.74490628,36.09293932,14.62068966,0,3.3,14.6,
46035,South Dakota,Davison,78.46580692,3.59636452,4.56372739,87.43181818,63.26701571,11.7,9.984543727,25.2,31.1,16,160.62644,67847,High,63.036493,21.37702947,0.873406285,0.993876117,5.350868387,3.920289128,0.070274069,87.77231202,4775,10.08391256,,85.41427588,15.32221722,14.10892087,10.84266352,0.236775548,5.7,18.7,
46037,South Dakota,Day,78.32299286,3.618645809,4.395519618,,65.56169429,16.7,18.58641466,24.7,30.7,2,,60503,Low,75.80025608,100,0.458631444,0.917262888,2.715098147,9.319390937,0,84.47991194,1086,,,82.62910798,18.63932898,,8.676789588,0.019308747,5.9,18.1,
46039,South Dakota,Deuel,79.19825045,3.410692598,4.202079902,,71.8171926,8.8,9.953261409,23,30.6,1,,67290,High,80.61111111,100,0.826825907,0.206706477,3.100597152,0.895728066,0,94.02847956,919,,,81.72222222,,,6.406685237,0,5.6,16.3,
46041,South Dakota,Dewey,56.65504403,5.099952876,5.971487297,,45.71657326,29.3,24.25567612,31,36.1,1,76.80492,48477,Low,61.45151695,100,0.652841782,0.422427035,2.304147465,72.61904762,0.038402458,20.10368664,1249,68.27146758,,77.57287329,58.24647456,,18.48484849,0.107457554,4.9,26.6,19.82248521
46043,South Dakota,Douglas,80.88946345,3.610261988,4.605386821,,66.37781629,11.3,2.171316576,23.1,31.4,1,35.23608,68324,High,77.70814682,100,0.634249472,0.176180409,3.453136011,2.677942213,0,91.5081043,577,,,84.60161146,,,11.00917431,1.03926097,5.5,17.1,
46045,South Dakota,Edmunds,79.09966803,3.249985937,4.242745055,,72.38636364,11.8,9.516416883,21.8,31.1,2,,74870,High,80.9314034,100,0.320433818,0.665516391,2.119792951,1.281735272,0,95.09489771,880,,,90.56010069,,,9.060402685,0.76107638,5.6,17.2,
46047,South Dakota,Fall River,72.85426165,3.93129708,4.94219014,68.5,66.05809129,20,12.45678065,25.1,34.2,5,635.73651,58834,Low,75.25413883,100,1.12268362,1.920735831,3.706208576,6.330312458,0.054105235,84.52590288,1205,28.99331083,,83.82224804,19.7856554,,16.66666667,0.363583479,4.3,18.9,
46049,South Dakota,Faulk,77.1698712,3.780130534,4.666713277,,67.44730679,15.6,18.77967458,24.9,32.2,1,,66810,Low,81.93779904,100,0.418410042,0.511390051,2.928870293,0.883310088,0,95.16503952,427,,,83.61244019,,,7.712418301,0.195599022,5.2,19.2,
46051,South Dakota,Grant,78.53793158,3.335252209,4.219820302,92.5,73.66730893,11.6,4.022945931,21.9,29.5,6,13.23977,73409,High,81.59919706,100,0.794386337,0.450152257,7.626108831,1.946246525,0.079438634,89.05070833,1557,27.78329034,,82.93743727,10.47904192,,11.18421053,1.149425287,5.9,15,
46053,South Dakota,Gregory,73.72117824,3.739498139,4.699270107,,60.0536193,17.4,11.12441792,25.9,31.9,4,24.887999999999998,54134,Low,78.34862385,100,0.423096068,0.472872076,2.090592335,7.81483325,0.099552016,86.56047785,746,,,80.24464832,12.67427123,,8.945686901,0,5.3,19.6,
46055,South Dakota,Haakon,80.07452208,3.613840605,4.699083716,,56.81818182,12.8,20.84799723,23.9,29.7,2,,62682,Low,82.04747775,100,0.270124257,0.37817396,1.620745543,3.457590492,0.054024851,91.19394922,352,,,71.06824926,,,4.084507042,0,4.7,17.7,
46057,South Dakota,Hamlin,77.33879833,3.240890327,4.270983563,,57.51960086,7.5,24.8824392,21.6,31.8,1,,87571,High,81.52223751,100,0.480545652,0.418539761,6.04557433,0.961091304,0.062005891,91.30367385,1403,,,86.93259973,24.5508982,,7.932692308,2.685512368,5.9,15.9,
