FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001,Tennessee,Anderson,72.601132472,5.0831860613,6.648976263,95.014705882,64.086623148,18.2,2.6408467875,25.1,37.1,39.0,118.40367,61009,High,71.049923602,36.520882227,3.9758705786,1.5504648902,4.2849664731,0.5421641698,0.1046937707,87.484108981,19302,13.340744858,96.561801689,88.477969379,26.260226973,15.741651119,12.18724778,0.8058964079,7.7,17.3,
47003,Tennessee,Bedford,72.80204165,4.918302891,6.5410667982,90.0,47.64318297,19.0,8.9272984831,29.8,40.7,15.0,73.50862,69272,High,70.178863504,55.108784362,7.6317029498,1.1817924795,16.311374988,1.5342569032,0.1903684855,72.632174159,13811,15.247410817,35.889538526,85.094707962,39.087371772,19.444521605,13.487852555,2.4549098196,7.1,22.0,9.317862166
47005,Tennessee,Benton,70.544268943,5.5789683119,6.8963921529,97.5,48.150490041,27.3,5.7688721062,30.4,41.3,4.0,43.47016,52795,Low,74.653579677,100.0,2.5461094206,0.6582624356,3.1112215115,0.7948829411,0.0310501149,91.28112774,3163,33.823175996,39.579210499,75.360854503,34.52991453,29.869693462,10.368663594,0.0725833058,6.8,24.1,
47007,Tennessee,Bledsoe,76.296763717,5.9268933072,7.0068921449,92.5,23.891684639,28.1,1.8957478556,32.2,41.0,2.0,33.20053,50731,Low,79.135494597,100.0,5.411686587,0.3386454183,3.8645418327,0.8100929615,0.0332005312,88.120849934,4173,24.888480463,24.306706441,82.06566916,40.120361083,14.65220982,13.163265306,0.2451495412,7.0,26.1,
47009,Tennessee,Blount,74.794861658,4.5636709603,6.0398559621,93.898324448,57.764933729,13.1,8.5770960034,24.3,39.4,94.0,173.90567,77206,High,76.95274477,37.200620934,2.8595464314,0.9508256985,4.829770388,0.5160615315,0.1244203144,89.328130302,33046,12.187951034,56.510329506,87.83816048,20.9847249,14.924248357,10.60475781,0.8823955972,6.6,18.1,7.9783230468
47011,Tennessee,Bradley,73.745858752,4.7299088106,6.3535166179,94.989949749,61.1391387,19.3,12.368771695,24.6,38.1,53.0,151.46219,61440,High,67.527261447,31.948075861,4.918488246,1.3299993726,8.6288638543,0.7994335852,0.1568395487,82.856092992,27354,12.454686142,39.411973358,87.878498652,22.447615678,14.503769144,12.832722833,2.0428456956,7.9,17.8,11.027609868
47013,Tennessee,Campbell,68.555815731,5.8173844705,7.0290237025,87.0,43.480152257,25.7,6.3311177582,30.7,38.6,14.0,59.66735,50443,Low,67.340953977,48.782847831,0.5867289859,0.445019019,1.670685926,0.3530318475,0.0944733113,95.686547498,9195,18.35945656,74.790544458,76.683224609,37.041884817,23.182679515,12.734201334,0.2217650359,7.4,23.2,
47015,Tennessee,Cannon,71.276668789,5.1898675157,6.6359269056,92.5,52.071638599,21.8,0.7438386169,29.4,40.0,3.0,26.55514,60098,High,77.189588463,100.0,2.1775210781,0.5377414858,3.332669455,0.5178251344,0.0929429728,91.774546903,3741,28.551456617,63.365619625,79.546253957,29.728725381,16.364826533,11.287477954,0.2967573827,6.9,22.5,
47017,Tennessee,Carroll,70.626868294,5.1781701269,6.6724497457,89.852941176,55.864438544,21.9,3.4253596224,32.3,40.6,10.0,55.44006,51159,Low,74.809024694,82.102672293,9.8302148302,0.4851004851,3.3056133056,0.6271656272,0.0658350658,83.808038808,6403,22.911490367,16.534977383,78.184402203,26.930815663,22.782935581,9.7361237489,0.1632653061,7.0,25.3,
47019,Tennessee,Carter,72.711614758,5.4840604181,7.0067950056,86.500782473,58.01503531,23.0,23.050542941,30.3,44.2,17.0,68.39465,48885,Low,74.069786671,40.737454752,2.0307951317,0.5454035285,2.7375398969,0.4699940374,0.0455964365,92.87117253,13169,14.694928223,44.388679111,80.027286258,25.883716438,24.493794905,10.065831387,0.3855235003,6.2,23.1,13.221153846
47021,Tennessee,Cheatham,72.253616469,4.6861003825,6.2658736633,90.0,60.670032125,12.4,1.4028548055,25.2,38.1,24.0,87.56567,82030,High,81.946190596,100.0,2.9985326833,0.5892933213,4.87764472,0.6200596393,0.0662659157,89.281488143,10895,26.944745775,92.403619008,89.32612522,16.759776536,15.080755011,8.4282460137,0.7299456369,7.8,17.9,
47023,Tennessee,Chester,72.816933933,5.2809454909,6.664382138,97.5,57.550622103,21.3,4.5441522587,31.7,42.6,5.0,96.55799,65714,High,76.630348966,65.941987198,8.9344541634,0.7383846416,3.5385663978,0.6588662956,0.0283994093,84.209928433,4099,21.36576547,,86.104531817,15.992292871,14.922289309,8.8379705401,0.2060106641,6.7,24.7,
47025,Tennessee,Claiborne,71.050323106,5.5099459943,6.8965230643,92.0,53.963608602,27.0,4.4385569921,30.2,40.2,17.0,21.43688,53195,Low,71.603745541,71.329151453,1.2280271942,0.9769094139,1.8129478777,0.4562993814,0.0244992956,94.300851351,7859,17.426117729,48.593376826,75.178359096,23.500925794,17.452442095,11.558538404,0.1475990554,7.5,24.6,
47027,Tennessee,Clay,71.886187282,5.7904936325,7.0471381931,97.5,40.887372014,29.8,0.084767096,32.9,39.3,3.0,,46575,Low,77.569509528,100.0,1.5037593985,0.1685247602,3.007518797,0.5963183822,0.1166709878,93.349753695,1465,29.855759363,,75.913776945,24.390243902,31.466331026,10.25210084,1.9309778143,7.2,25.1,
47029,Tennessee,Cocke,68.032550012,5.8450700961,7.145244907,92.0,38.680304353,28.7,11.194435694,33.9,42.8,14.0,56.143730000000005,47491,Low,71.163129009,67.893552599,2.0425622928,0.5560902577,3.2162335579,0.6550101593,0.0775318148,91.805689231,8017,22.612317763,64.827158014,75.619916683,35.155096012,19.856591285,12.517433752,0.4447028048,6.8,25.0,
47031,Tennessee,Coffee,71.754545636,5.1967844348,6.8832451214,90.879746835,49.761839956,19.4,5.2987902083,30.4,40.6,31.0,217.70323,65038,High,70.246556111,46.076111178,3.9565912952,1.3045701186,6.5393432619,0.6448633582,0.1072023486,85.446868867,14696,20.083950915,37.983582022,80.674738966,30.829141652,19.056726678,12.134731207,1.2300947481,7.0,24.5,
47033,Tennessee,Crockett,71.683926391,5.1776502484,6.7096604607,96.0,50.473372781,20.5,6.5417581261,31.1,42.1,,,56083,Low,68.875136513,100.0,14.089543699,0.5292518953,11.586325275,0.8653983693,0.0286082106,71.763696181,3380,30.154087387,,86.203130688,35.158680772,14.163302882,13.277623027,2.7927859371,7.1,21.5,
47035,Tennessee,Cumberland,73.424892111,5.2543922257,6.4459111372,92.0,42.305747514,24.3,10.92216765,29.1,37.7,40.0,40.14824,60632,High,80.238277407,53.943903835,0.7936998147,0.7334774552,3.7152563311,0.5172946263,0.1420630019,93.236565781,11866,18.801321733,54.911076044,85.608627537,33.952594491,23.394169003,9.6135721018,0.2354827396,7.0,21.3,12.534184139
47037,Tennessee,Davidson,75.084283803,4.2331634637,6.1135614261,78.896135635,74.60268986,17.3,8.2107628446,27.1,37.1,637.0,434.34681,80216,High,53.417594365,3.1425482341,25.383176993,3.8029912934,13.748045159,0.6224608119,0.1233971704,54.585349008,245589,13.617718397,71.548180127,91.597314498,24.27244582,19.467484148,17.132307902,5.7159825033,9.7,18.0,5.8295027163
47039,Tennessee,Decatur,70.714771133,5.4588232913,6.7829378335,97.5,47.806661251,24.0,2.8284939854,33.2,42.8,3.0,128.68909,52000,Low,74.971840505,100.0,2.5308853809,0.8407687028,3.9464653397,0.574811256,0.1201098147,90.828757721,2462,24.556449137,37.620094918,79.049335436,15.81027668,17.263703064,12.0,0.1372244076,6.5,25.5,
47041,Tennessee,DeKalb,71.672752148,5.6022122088,6.7476583773,92.5,44.885679904,22.0,7.1748276368,33.3,39.3,8.0,47.11425,57936,High,68.864037669,75.971115538,1.6348645465,1.2438162544,7.8351001178,0.6077738516,0.0424028269,87.265017668,4986,18.992817901,67.396257903,79.387875221,32.681420484,13.599362773,11.713395639,1.5127639458,6.9,25.3,
47043,Tennessee,Dickson,73.097891592,4.8020214493,6.6783593484,94.0,59.413037598,13.6,3.9065369585,27.2,39.5,17.0,121.63091000000001,74028,High,80.281623364,69.54248366,3.8710359781,0.7244971708,5.1966366409,0.5975779584,0.0810872746,87.755821537,14788,19.849356616,64.075827092,85.01801631,24.961423255,19.059976615,9.9160945843,0.3869402841,7.2,20.2,
47045,Tennessee,Dyer,69.934742733,5.1305335661,6.599986036,97.185851319,53.158362989,23.9,14.911284396,32.0,43.3,12.0,82.19628,57548,Low,62.38242408,54.376239776,15.187133542,0.6986684202,4.137212998,0.4876979561,0.0328785139,77.543975012,8992,24.675364733,20.05140451,87.221177103,33.714854441,24.973262322,11.493860846,0.5717768619,6.2,24.7,
47047,Tennessee,Fayette,75.204135394,4.5915597257,6.1734210442,87.5,62.613695766,18.5,4.8527019617,24.5,37.5,13.0,31.69213,76680,High,80.747160789,74.686830198,27.477079796,0.948500283,3.9660441426,0.4663271081,0.0679117148,66.211658178,9565,20.04506684,32.010743118,88.798565451,17.992289019,22.88744147,9.7614563716,0.9709216363,8.4,16.8,10.047003525
47049,Tennessee,Fentress,70.057984243,5.6690168633,6.9212276463,97.5,53.046776233,26.6,0.1175137123,32.4,40.8,6.0,40.617380000000004,47860,Low,80.560602128,100.0,0.5838748985,0.5991064175,2.3456539399,0.4721770918,0.0456945573,94.978675873,3955,24.638506906,49.149537468,83.480404879,29.207232267,24.544067272,8.9993284083,0.0948554849,6.7,26.4,
47051,Tennessee,Franklin,73.77983791,5.0773208767,6.6211835427,93.0,50.42088439,19.1,6.3925585485,29.4,41.0,24.0,62.704350000000005,64243,High,76.381821372,67.903399261,4.7185022618,0.9495229991,3.8160075245,0.564339141,0.1142114928,87.922694495,9385,16.829803563,24.683358788,78.861788618,19.624255952,23.392907271,11.75220164,0.3923848278,7.1,23.1,
47053,Tennessee,Gibson,70.322111207,5.3233103514,6.6468107682,95.582064298,53.733905579,19.2,10.612471145,30.8,41.1,20.0,39.18111,57630,Low,66.782764454,70.774752622,17.470859046,0.554412773,3.6007444412,0.3604662553,0.037222059,76.013321579,12815,25.343651271,27.900117579,86.391680764,25.36101083,20.103331122,10.445073321,0.7077601596,7.2,22.5,
47055,Tennessee,Giles,71.578770066,5.1142510971,6.6128506872,86.0,51.47779593,21.9,4.8451695056,30.7,41.5,11.0,65.10205,60422,High,73.988044406,73.11672049,9.5341948504,0.5077959702,3.1151329709,0.57615312,0.078122457,83.984896325,6733,29.764619469,30.8962108,82.561912895,22.310513447,20.054414311,10.706450197,0.351732544,6.9,23.2,
47057,Tennessee,Grainger,71.337687188,5.4853455142,6.7415327437,92.0,50.289449113,21.7,,32.9,40.5,3.0,20.2585,57132,Low,78.664018398,84.430654142,1.0412868198,0.3038774766,3.7113569142,0.571289656,0.0810339938,93.351160812,5355,30.434729679,64.24132393,77.033242735,30.350719424,21.173879902,12.252541466,0.8765778401,7.7,25.7,
47059,Tennessee,Greene,71.985636846,5.5172941477,6.9135189227,95.714798851,47.666501609,19.8,11.135751498,32.2,42.0,37.0,115.73915,54188,Low,75.908589328,67.329513057,2.2803367458,0.5966077407,4.013668242,0.4174876338,0.0923157474,91.304407732,16156,24.426490632,44.896666777,77.560246325,26.174730247,17.440879707,10.083727703,0.3709122076,6.9,23.4,7.239299052
47061,Tennessee,Grundy,69.66893117,5.5431859715,6.7492257337,92.5,41.122674235,26.9,3.7450745722,29.7,38.5,,57.32712000000001,41370,Low,83.21582452,100.0,1.2826943748,0.6019347904,2.020781082,0.7595843784,0.0071658904,93.780007166,3171,28.597756665,61.139642944,82.530356443,46.324655436,31.036164521,10.031023785,0.1555451859,6.8,23.0,
47063,Tennessee,Hamblen,71.057029024,5.5869320159,6.9928121493,93.0,50.893843854,21.7,14.538606606,29.8,40.7,37.0,225.02114,55904,Low,68.336050936,22.660816447,3.50368491,1.1477588498,15.141355564,1.0737586082,0.4319197777,77.821070436,15383,12.823035478,48.781489735,86.32657815,32.133856063,12.953008336,12.076011443,3.8161802103,7.5,20.9,
47065,Tennessee,Hamilton,75.599814628,4.2515075989,6.0995730949,89.0,73.331354213,19.0,13.207216972,25.8,38.0,403.0,281.15325,73319,High,64.348119168,12.506041665,17.741086284,2.344260051,8.1734515511,0.7018301287,0.1803276962,69.523566329,101055,11.920901314,44.196260082,90.353300378,20.233041279,17.157681256,12.979921313,2.3321336231,8.5,18.2,4.6690011673
47067,Tennessee,Hancock,70.800162348,6.4748138805,7.4073986258,87.5,47.584856397,36.0,0.5063095466,37.2,42.7,,14.37608,39077,Low,72.664983772,100.0,0.7331799885,0.3018976423,1.0638297872,0.3594019551,0.0431282346,95.816561242,1532,23.670676336,,66.606563289,33.101045296,,14.385964912,0.3582554517,7.0,31.2,
47069,Tennessee,Hardeman,70.329628856,5.5216919126,6.3990730583,86.0,37.723371324,29.5,6.9534824625,33.5,45.0,4.0,152.54038,47551,Low,71.157033926,79.259288351,41.09594399,0.9152423045,2.221613799,0.39112919,0.0195564595,53.694215199,7107,30.518302504,25.068939584,79.920433197,32.292557742,26.971069562,13.079470199,0.3758932628,7.4,24.5,
47071,Tennessee,Hardin,70.808493215,5.7470110006,6.9774067348,89.0,48.797953964,24.2,7.382664825,28.1,39.9,15.0,113.84920000000001,49126,Low,78.002400074,67.097760054,3.2465386169,0.5876087994,2.5671159426,0.5912813544,0.047743215,91.553123508,5865,25.20478891,50.28157683,84.971845288,22.655007949,25.194686212,11.497450162,0.2996925233,6.8,21.2,
47073,Tennessee,Hawkins,71.51577277,5.3551733579,7.0035869191,96.0,54.653994187,22.2,6.7805275093,27.7,38.7,18.0,25.59727,54454,Low,79.471632741,62.075774405,1.4556313993,0.590443686,2.2252559727,0.4351535836,0.1228668942,93.986348123,12731,22.085914206,41.834683277,84.049372023,27.694213414,14.7150535,10.889132821,0.1518894684,7.2,20.6,11.714285714
47075,Tennessee,Haywood,70.521516627,5.6992787308,6.9285493771,97.5,45.585412668,28.9,10.907472639,36.3,44.7,4.0,5.77101,42579,Low,57.340217695,46.143081057,50.548245614,0.3808864266,4.8880424746,0.5251615882,0.0461680517,42.630424746,4168,25.345226513,,76.234998605,24.566088117,25.32082638,14.115168539,0.2453914293,7.4,25.8,
47077,Tennessee,Henderson,71.739415389,5.5654730718,6.982110122,94.0,39.88948626,18.2,1.7264594669,33.4,38.8,5.0,57.00036,55656,Low,71.504392387,77.167588535,7.5881724261,0.4631278945,3.1136444603,0.5450659067,0.0213751336,85.97434984,6696,30.691322029,25.012506253,79.904831625,27.423249396,13.578994011,11.732101617,0.2776932441,6.7,23.3,17.096165933
47079,Tennessee,Henry,72.175154476,5.3523821831,6.7316944386,98.0,46.32085094,26.2,10.39884428,29.8,40.0,22.0,190.45279,52064,Low,75.592578569,67.772291065,7.0375376298,0.6665847515,3.0503163974,0.4761319653,0.046077287,86.720525895,6863,24.321539598,32.066532884,81.900795153,25.818944651,21.688344684,11.205564142,0.1462368387,7.3,23.0,16.351249054
47081,Tennessee,Hickman,69.899153986,5.2637179871,6.6178672101,95.0,47.777272038,21.8,3.8672244492,29.8,39.1,5.0,65.82514,59650,High,77.668845316,100.0,4.5458065515,0.4878804306,3.6087663595,0.7550530473,0.042592736,88.929760706,6591,37.026699098,87.985397051,77.222222222,25.092554504,26.109660574,9.1013165426,0.0292617674,6.6,22.5,
