FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
48001,Texas,Anderson,72.02778967,4.5169683509,5.7470674123,95.335420394,45.80573337,24.6,15.83915641,27.9,41.9,22.0,62.352779999999996,56548,Low,70.038501925,67.861952281,20.404946654,1.0807814882,19.649785229,0.8556186781,0.2182347236,56.857073576,17965.0,22.932499544,20.657481738,83.695018084,35.849249311,14.134860358,14.446130501,1.7749644277,8.3,18.4,
48003,Texas,Andrews,74.567687888,4.695795699,5.6546736284,94.0,44.690847585,13.2,8.2021834005,31.1,38.6,9.0,16.07372,80936,High,76.297935103,18.318108544,1.4680668667,0.766180883,58.160094299,1.7198885555,0.0267895414,38.260822975,5321.0,26.569142286,,90.398230088,42.596764284,,12.370311253,7.3347046723,6.5,16.3,
48005,Texas,Angelina,72.625754877,4.9821339159,6.0743799877,93.636363636,53.779110632,24.9,9.7603023891,31.1,42.6,57.0,164.91255999999998,57298,Low,64.304135724,51.905781585,14.771126559,1.1406452204,23.828719981,0.8268532622,0.0721492459,58.739793172,21341.0,18.858456624,22.657189049,88.894758102,32.168634387,16.121231662,14.831460674,3.3208012327,8.8,19.7,12.965210356
48007,Texas,Aransas,73.277614823,4.5025955565,5.8354004278,95.0,51.725978648,27.9,16.209726326,31.1,40.1,8.0,94.58501,60112,Low,77.670812745,23.57532522,1.5882399306,1.8522897454,27.295656972,1.4542445022,0.1221723024,67.127768582,5620.0,20.946917021,24.567341814,87.527687851,25.721912157,40.640291947,17.703349282,0.3380402225,9.3,19.0,
48009,Texas,Archer,77.68035339,4.2349095668,5.9325915413,95.314465409,63.819875776,12.6,4.9312258411,24.0,36.6,,11.075420000000001,71672,High,84.966560047,87.359813084,1.273673718,0.6534499945,9.6023922915,1.7942186289,0.0443016945,85.457968767,1932.0,27.824606773,,84.152369875,12.373453318,22.943673282,11.275964392,1.1668471069,7.7,15.1,
48011,Texas,Armstrong,69.665646211,3.9775605883,5.6578597366,,50.928381963,15.3,21.341758152,24.1,36.4,0.0,,68555,High,81.830238727,100.0,1.692139738,0.2183406114,10.971615721,1.692139738,0.0545851528,84.661572052,377.0,,,91.909814324,,,5.6338028169,0.1699716714,5.8,15.9,
48013,Texas,Atascosa,73.957045693,4.674633281,5.6300341132,92.227828746,45.811700891,22.6,5.8302307533,33.9,38.3,10.0,65.65735,58330,Low,77.391042982,71.452195749,1.1625212421,0.7917503476,66.010736907,1.5661208095,0.2162830218,31.01923374,12905.0,19.330922654,11.14556767,82.849413886,36.462065122,16.14236781,16.194968553,5.6364882814,8.6,16.2,15.57591623
48015,Texas,Austin,76.476312991,4.2201902779,5.3556494143,96.910550459,52.724177072,18.0,2.2417782993,26.9,38.0,6.0,44.1961,73248,High,77.493017907,78.834488017,8.5740442592,0.8997064116,28.244467595,1.0796476939,0.0662941566,60.668623923,7048.0,21.325599249,10.935056698,80.885493675,19.907888872,21.786492375,15.58277027,4.0657140885,9.2,16.8,
48017,Texas,Bailey,74.496679764,4.6348712227,5.5732880417,97.5,29.435483871,23.4,2.1972247016,30.3,37.5,2.0,44.96403,51193,Low,78.933333333,25.275202781,1.4838129496,1.0041966427,66.291966427,3.6121103118,0.2697841727,29.841127098,1736.0,37.040085604,,80.266666667,47.737444058,,9.4871794872,12.55735699,,14.1,
48019,Texas,Bandera,76.861617201,4.2930962343,5.7564851608,87.779255319,57.49724366,18.6,10.238088238,24.7,38.2,7.0,194.37205,66649,High,86.223862239,100.0,1.4003622388,0.7244776251,21.597384812,1.5682290056,0.0795158369,74.201528471,3628.0,20.304053197,,88.516157889,14.875105248,25.555839509,12.999403697,2.2874239938,8.0,16.0,
48021,Texas,Bastrop,76.747985087,4.3387155867,5.3061024422,93.358381503,51.402388225,16.2,5.5613588137,26.5,34.5,24.0,74.92462,77345,High,75.71664202,72.004608295,5.9903590966,1.1319937172,45.904421456,2.1502464388,0.1769304375,45.18586723,25207.0,30.169196317,13.673640223,86.082356956,25.677419355,14.719921942,15.701950752,6.4386338935,8.4,15.1,7.8424715668
48023,Texas,Baylor,70.081485494,4.2427015514,5.8445293014,,45.076923077,22.5,1.4413412789,24.4,38.0,8.0,,49566,Low,66.795865633,100.0,3.0320531331,0.4042737511,14.120704591,1.0395610742,0.6930407161,78.977764944,650.0,,,82.622739018,36.106750392,,10.927152318,0.0,,15.6,
48025,Texas,Bee,73.060614952,4.8767093202,5.671596155,89.816949153,39.849344369,28.2,10.781823203,33.9,41.6,5.0,51.863859999999995,54072,Low,72.112807365,54.166264051,8.4181523501,0.7779578606,61.669367909,1.0502431118,0.1264181524,28.171799028,10753.0,19.171095338,14.920442071,77.694907353,34.456237502,10.063969104,15.832842849,2.9223868425,8.9,18.5,
48027,Texas,Bell,75.514008341,4.4049055458,5.9409545643,89.520619681,67.428723925,15.7,10.644629728,28.2,42.6,274.0,278.99784999999997,69562,High,56.155950259,13.69065445,22.490736102,3.3316971564,26.642386818,1.1289621128,0.869293197,42.867243313,112415.0,14.932763269,15.290922992,89.882864092,24.917038237,19.283639717,16.517908447,2.1464195378,7.8,15.7,8.0271547177
48029,Texas,Bexar,76.146428629,4.5164568757,5.6216796671,86.0593963,64.997007406,19.1,9.6878184585,27.6,41.2,1492.0,247.64344000000003,69755,High,59.1080251,4.7076529221,8.0777265087,3.6594227369,59.809721705,1.3013973892,0.2523376439,26.633883849,608168.0,11.671413613,18.300494113,90.308237957,22.109194495,14.607798427,18.236709081,5.5580209788,8.7,14.1,8.7781314618
48031,Texas,Blanco,78.036819951,4.0094478187,5.5015950535,96.695804196,62.224889956,13.4,0.9537848338,24.0,36.5,5.0,38.32005,91031,High,74.24515097,100.0,1.1649294911,1.049969344,18.508583691,1.4255058246,0.0689760883,77.099938688,2499.0,15.620494088,,89.902019596,9.4117647059,19.931568282,12.210526316,1.0873347251,,16.3,
48033,Texas,Borden,,3.2927405914,5.0278460808,,59.340659341,17.9,15.105740218,19.2,34.7,0.0,0.0,80738,High,63.59832636,100.0,1.7482517483,0.1748251748,14.86013986,0.8741258741,0.0,80.944055944,182.0,,,85.774058577,,,7.1794871795,0.1512859304,6.1,11.7,
48035,Texas,Bosque,73.587368438,4.4456555494,5.7982994622,88.802083333,56.565139493,19.4,9.7418734429,29.2,38.4,10.0,47.3784,66325,High,75.893933307,100.0,1.8530216888,0.7580543272,19.577805854,1.1212886924,0.1052853232,75.821225521,3907.0,29.320535177,19.712201853,82.188295165,24.644030668,,12.508884151,2.0340909091,8.2,19.2,
48037,Texas,Bowie,72.298010833,4.5674854417,5.8474940031,87.498420221,50.78183172,19.5,9.4905790745,28.4,42.7,67.0,137.42406,55343,Low,62.693600759,37.943655604,25.447446203,1.3393392738,8.7242466217,1.1550165236,0.1036133803,61.390382497,24174.0,18.514608179,12.225949938,80.078158674,34.755695368,23.192588679,14.844784464,1.0006686496,9.3,18.2,9.2204355791
48039,Texas,Brazoria,76.934304831,3.8891190829,5.254585588,95.258278146,66.898973774,12.1,6.6588459174,25.4,42.1,248.0,117.31146000000001,93071,High,74.002927186,22.595428876,16.842216084,7.9282996355,31.83802997,0.894123899,0.1218234412,41.475116434,109625.0,13.412510577,16.370773641,93.243840712,16.81676266,13.10192239,12.921913344,3.8538077658,10.4,12.9,8.2543536113
48041,Texas,Brazos,78.954963527,4.1848098652,5.4694746834,89.856078249,71.356388951,18.9,12.364658376,25.6,35.8,197.0,149.97773,55724,Low,46.792964995,11.850382084,10.758347875,5.7199952596,27.456549368,0.7314990008,0.1299534538,54.193450836,62342.0,9.5603659509,9.1343323014,84.752587231,13.41056782,9.6782205778,23.671150972,3.2727855397,8.1,15.0,4.5956333306
48043,Texas,Brewster,79.70437538,4.0172538091,5.19332774,96.032608696,79.611650485,19.8,16.324018469,23.7,35.8,12.0,178.70283,57871,Low,57.192128221,34.181856275,2.4072322086,2.5543992431,42.047724167,2.0393146221,0.1471670346,50.604436035,2781.0,15.37586297,,79.630756746,15.411973918,32.258064516,15.515409139,2.0059517249,5.4,12.1,
48045,Texas,Briscoe,,5.5880523891,6.3702474549,,51.973684211,21.7,48.456992928,36.3,41.5,1.0,,57983,Low,78.198198198,100.0,4.0138408304,0.1384083045,28.512110727,1.3148788927,0.0692041522,63.944636678,304.0,,,69.54954955,,,17.117117117,4.085106383,5.9,22.5,
