FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001,Utah,Beaver,74.855930428,3.9902219172,5.1286915804,97.5,61.854525264,14.0,4.2305091508,20.0,35.8,6.0,82.95313,67100,Low,82.355406538,100.0,0.8295313148,0.8295313148,14.489146965,1.9493985898,0.3732890917,81.266417807,1801,,,80.51131601,21.7503884,,10.823529412,2.9072381238,5.2,10.1,
49003,Utah,Box Elder,77.498426451,4.2103108497,5.2407696055,86.0,59.452436783,9.0,5.1067888943,19.3,37.9,17.0,461.04269,83493,High,75.712793734,31.737939167,0.4387084423,0.8343436922,10.356709846,1.1039499713,0.272796886,86.058643354,15779,12.361032979,22.447570892,92.631853786,14.137976175,12.448606275,11.706512778,0.8305287157,7.9,10.3,4.7033671833
49005,Utah,Cache,80.248419282,4.3733218022,5.2988254102,93.076385654,74.910719347,8.3,8.5290530127,19.9,32.8,57.0,238.07350000000002,83027,High,63.618442414,14.439671358,0.9171799176,2.3849486983,11.909995576,1.0021560049,0.6292444151,82.234379499,35282,8.6799642254,9.8136871495,92.30251867,6.5553599084,10.257168328,14.779484638,1.6495595376,9.6,10.6,5.142282002
49007,Utah,Carbon,72.757057884,4.9075526888,5.9801102518,87.802431611,65.780866721,16.9,9.0348291001,23.3,35.6,8.0,247.4647,59838,Low,68.116664589,34.616892024,0.5240428939,0.5919743801,13.508661264,1.7856276384,0.3542141783,82.531903537,4892,13.274738173,35.654668331,83.173376542,17.360496014,23.429491873,18.170103093,0.6213774738,6.0,13.9,
49009,Utah,Daggett,,4.2788643065,5.3904338747,,61.481481481,8.1,15.384615365,19.4,35.3,0.0,0.0,65231,Low,82.824427481,100.0,0.1008064516,0.6048387097,5.2419354839,1.2096774194,0.1008064516,90.927419355,135,,,88.549618321,,,12.307692308,0.9803921569,4.6,11.3,
49011,Utah,Davis,79.34763935,4.3534007127,5.6303079173,91.777837671,76.038551014,5.8,4.6376146445,17.8,33.6,168.0,270.89524,111081,High,77.401154577,0.8365524334,1.2513162936,2.4093867478,11.982894212,0.8558253195,0.9461237329,80.661670333,105315,6.4966912993,17.237212314,94.04049741,8.301739461,10.423256281,9.4676979072,0.9634109749,9.5,7.8,4.2073948151
49013,Utah,Duchesne,75.725102969,4.9134749647,5.6601661956,86.0,52.106174264,13.5,6.7188741669,22.3,32.0,8.0,205.10817,75705,High,79.296991361,68.04960196,0.3271963667,0.5811398154,7.7306246032,4.7712067197,0.3955657567,85.251745861,5199,19.984298052,30.077700727,89.737861186,19.582245431,23.058337594,13.333333333,0.8562857922,7.6,12.1,12.568306011
49015,Utah,Emery,74.845142519,4.5144716979,5.4586759155,87.5,61.091549296,13.6,11.508609671,21.9,37.9,1.0,88.72240000000001,68823,Low,79.55075846,100.0,0.3055993691,0.5619085174,7.3245268139,1.3406940063,0.1380126183,89.402602524,2272,18.431350309,,88.243873979,15.489233094,19.904854794,9.8550724638,0.7592770827,5.8,13.0,
49017,Utah,Garfield,77.563094064,4.3291887783,5.2921607392,87.5,70.805617147,14.9,21.624415283,19.5,36.8,2.0,131.72751,64844,Low,73.507646769,100.0,0.6398193451,1.110274746,7.4331953331,3.0109145653,0.3387278886,86.770794129,1353,,,80.759743463,10.082493126,,11.506849315,0.6344658207,4.8,10.7,
49019,Utah,Grand,80.268921591,4.5236310263,5.8090373838,72.5,70.452911574,15.1,2.4976303098,20.0,36.7,12.0,329.69297,67360,Low,69.771607703,17.954286896,0.834535339,2.3387595302,13.115598599,5.233875953,0.2472697301,77.848753348,2782,23.529757791,,87.796686073,18.192154633,,23.419203747,0.6033182504,5.2,11.4,
