FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
51001,Virginia,Accomack,73.81627342,4.568747799,6.017646527,83,44.35472242,24.1,0.899445146,29.7,38.1,12,135.38313000000002,56039,Low,70.48664522,90.35405381,26.52306026,0.953698968,11.19768946,0.836366918,0.201570444,59.34594904,6935,19.22278774,25.335698,82.68074395,26.47309992,22.64340312,12.79151944,5.249651502,6.4,21.7,9.911504425
51003,Virginia,Albemarle,81.45895265,3.508810042,5.329932324,,81.27419298,8.7,3.526663792,17.3,33.5,158,232.54608,102750,High,65.95064797,40.37457182,9.255160967,6.021127978,7.40170822,0.432241779,0.089041806,74.56430029,28159,8.81572414,14.46618308,91.26575537,4.431699687,9.878423547,12.6320678,1.738590787,6.9,11.4,1.965163019
51005,Virginia,Alleghany,73.13673236,4.629855127,6.196672609,82.5,48.17351598,19.4,7.894757405,24.3,36.5,6,34.25831,58215,Low,80.5785124,53.13670104,4.570058239,0.445357999,1.685508736,0.383693046,0.0890716,90.86673518,3066,14.2844899,31.44512825,82.59694851,18.46381093,30.95891886,8.587041374,0.139333984,6.5,19.1,
51007,Virginia,Amelia,73.56556875,4.623446416,5.949351024,92.5,43.52331606,14.1,6.153926581,26.4,37.8,1,66.76558,71112,High,81.15421003,100,18.56083086,0.667655786,4.206231454,0.645400594,0.059347181,74.31008902,3088,31.58078146,30.1985555,78.95931883,12.46983105,24.28105319,14.54720617,0.76287349,6.7,19.6,
51009,Virginia,Amherst,75.49267269,4.431371241,5.787197342,90,61.21995276,16.2,3.866821808,24.1,37.7,7,63.70238,61499,Low,78.40497559,62.36624397,18.05007007,0.608357753,3.032233406,0.926869665,0.044591668,74.80252261,7197,16.74003629,31.73629257,81.35726657,16.4494103,20.27883397,9.688995215,0.188102516,7,17.2,
51011,Virginia,Appomattox,77.18493052,4.553061197,5.938082531,87.5,58.40104849,15.8,2.041593356,27.3,38.7,2,59.29791,64701,Low,77.5864696,100,17.53439279,0.426944972,2.603178368,0.450664137,0.071157495,76.62476281,3815,21.41862707,20.34836399,80.05485296,24.33557477,17.30617089,8.811641067,0,6.9,20.2,
51013,Virginia,Arlington,83.93974015,3.042145294,4.52783548,89,91.73688502,8,0.078137744,17,28.1,180,287.83492,138416,High,41.84524343,0,10.04560945,11.28193302,15.96672389,0.743929416,0.167405471,59.36488414,91975,2.733133228,12.3040544,94.4911683,6.323157461,3.131752842,15.94996805,3.953341429,6.7,9.6,5.518873801
51015,Virginia,Augusta,77.95665694,4.349474814,5.417356573,92,53.83263197,10.3,7.504591326,22.3,37,41,84.34827999999999,72831,High,78.9453074,84.26445726,4.774623947,0.741242476,4.195688014,0.299052999,0.034506115,88.5938119,18773,19.31272934,14.6443785,86.15063308,11.3988179,16.96304145,9.103078983,0.992739665,6.8,16.8,8.181283108
51017,Virginia,Bath,74.40505718,5.209794861,6.62218984,,62.82225237,15.1,10.48247684,27.6,38.9,,24.685259999999996,60234,Low,75.40707468,100,3.381881017,0.543075784,2.369785238,0.345593681,0,91.77980746,737,,,79.50589556,28.76480542,,10.4109589,0.456505199,,21.4,
51019,Virginia,Bedford,76.95642495,4.179103718,5.626382879,90,67.25198591,12.1,1.475363538,21.1,36.6,60,125.115,72742,High,84.21310172,70.7344391,6.974547685,1.470714505,2.953695186,0.442808954,0.040478381,86.53296535,16743,16.23177532,31.1474729,86.37531348,12.50157055,16.81161457,8.39789278,0.431512118,7.4,15.4,5.561440678
51021,Virginia,Bland,75.5022838,4.218683458,5.919638666,,38.57302118,15.5,5.196114726,22.7,36.4,,80.91923999999999,57748,Low,80.85287847,100,4.191616767,0.614986244,1.294707882,0.194206182,0.016183849,92.60398123,1794,,,69.04051173,15.88983051,,9.734513274,0,6.3,16.9,
51023,Virginia,Botetourt,77.58984114,3.962109702,5.531655728,93,61.5971223,7.6,10.8473376,20.1,35,19,58.60806,84395,High,85.80694392,59.43862365,3.117948718,0.990476191,2.637362637,0.380952381,0.046886447,91.38754579,6950,12.35340975,29.51768109,87.49332316,9.581208469,14.85177924,8.298279159,0.212713484,7,15.3,
51025,Virginia,Brunswick,72.69103307,4.943051866,5.885196541,87.5,39.24946896,26.7,10.06511364,29.8,46.2,4,88.89453,51441,Low,72.53521127,100,52.70175884,1.028636739,3.009714903,0.444472665,0.057146486,41.43120198,4237,31.85840708,50.10647626,77.49608764,23.3570863,13.66238993,9.483488569,0.184004732,6.6,21.2,
