FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
53001,Washington,Adams,77.001990968,4.8644797196,5.4756686076,81.133333333,37.520292208,20.3,23.228694685,26.8,29.8,7.0,196.92603000000003,67056,Low,69.052531344,47.290544802,0.8741594621,1.6906820365,64.774255524,6.325648415,0.3073967339,31.926032661,4928,27.124451265,,87.36708459,32.350463353,,19.237012987,15.158898305,14.5,14.3,
53003,Washington,Asotin,76.694406098,4.6067788694,5.8155674664,77.014035088,59.660678643,18.5,4.6132834554,19.2,31.8,15.0,523.3048,64789,Low,73.596100869,7.2604891182,0.8736529336,1.0466096057,4.8073085281,2.0089582687,0.5188700164,88.611468358,5010,11.409880957,31.007751938,86.988768807,19.512195122,22.140156044,11.147011309,0.5534531693,10.7,15.6,17.137096774
53005,Washington,Benton,77.840331499,4.373435132,5.1935393239,82.514669052,65.287482708,12.9,5.2280779195,20.8,31.9,148.0,387.51225,83040,High,68.495097528,12.143682356,1.433423629,3.4876102946,26.379641203,1.5560893787,0.3080583034,65.381309271,56386,8.8274486011,20.341935217,91.753155314,15.520319227,11.685074683,12.383900929,4.1471255481,16.0,12.0,8.1149106058
53007,Washington,Chelan,79.2911446,4.1192956443,5.1783470055,84.581339713,63.264377118,13.0,4.5962806036,17.7,28.9,88.0,592.52222,74848,High,63.328467153,33.629258669,0.5325199695,1.3825518457,29.21359551,2.0938285186,0.3025113442,66.53999525,19771,9.1869038848,21.084057922,89.641524736,16.593399789,14.052766862,14.164546226,7.4123899463,10.1,12.2,6.6070945031
53009,Washington,Clallam,77.272649719,4.2041312385,5.7922798715,61.556998557,61.839577329,16.3,12.600490179,17.9,31.2,75.0,489.58978,67071,Low,72.76085755,36.090985678,0.8915687487,2.0936404865,7.01144094,5.701144094,0.203566275,81.560502989,16656,12.44906567,38.021026909,91.471041685,15.101829479,21.898806901,14.434368961,0.4749446569,6.9,12.7,6.5371024735
53011,Washington,Clark,78.574991011,3.937811266,5.2347817219,84.35588091,67.90197894,8.4,3.6129785405,14.9,30.6,388.0,471.64924,97240,High,66.208690346,13.481127971,2.4223352202,5.8528254821,12.588506188,1.3378106111,1.1593591097,73.443346445,139317,8.5544518502,23.540242668,93.961848521,10.543973161,10.901165703,15.707886521,2.8962325295,13.4,10.6,8.7259894935
53013,Washington,Columbia,76.615318917,4.3207487907,5.8290496307,,65.365853659,18.6,14.227239916,20.1,30.8,3.0,345.42314,66267,Low,77.854122622,100.0,0.88823094,1.6777695534,8.1914631137,1.8258080434,2.0231926968,83.024919812,820,,,74.78858351,16.806722689,,11.351351351,1.2800417973,10.1,14.2,
53015,Washington,Cowlitz,75.09348022,4.7978456268,6.012195432,82.041220115,57.10329449,16.7,8.8716293757,21.2,36.5,62.0,571.48426,71996,High,66.152180423,32.976609772,0.9728522824,1.7862205841,10.80326765,2.2965693224,0.56971222,81.091402041,27804,10.697963864,29.266748494,89.562072381,17.795005065,15.872128362,16.341320865,1.2982936712,10.3,15.0,12.658227848
53017,Washington,Douglas,80.674602414,4.2592484751,5.0890052276,88.488691438,51.802982377,15.4,14.92858241,20.9,29.9,12.0,66.96728,69808,Low,68.411000764,25.380781592,0.5848475378,1.5290861199,35.847582481,2.4576990044,0.3839457119,59.37988303,11065,6.9754464286,9.1290852657,88.999236058,16.83029453,9.1834110862,14.005235602,9.2831532476,11.1,13.2,
53019,Washington,Ferry,73.455021337,5.2789219112,6.0511546139,,55.377574371,29.1,24.535410594,22.8,37.5,8.0,320.12805000000003,57090,Low,75.621414914,100.0,0.8269974657,1.1871415233,4.1883420035,16.780045351,0.2934507136,72.575696945,1311,32.09727362,,76.927979605,29.438822447,34.431613518,16.354344123,0.398463071,11.8,17.9,
53021,Washington,Franklin,78.880955389,4.7227507503,5.1172813157,80.041052632,50.744505691,15.1,8.8785856448,25.5,35.9,20.0,154.4924,82542,High,70.07692836,11.445079536,1.8357331825,2.6344487752,55.598077428,1.9871963164,0.478623503,37.976856433,27938,8.8605218697,21.767152686,92.334638368,22.399645154,7.8578961517,17.46031746,12.453120814,15.1,14.7,10.899390244
53023,Washington,Garfield,76.973428458,3.927034473,5.5160575178,,57.213930348,17.6,3.5352683481,21.1,32.8,2.0,42.319089999999996,63313,Low,76.901140684,100.0,0.2115954295,3.5124841303,6.0516292848,1.0579771477,0.0,87.134997884,402,,,82.699619772,,,9.4527363184,0.7130124777,9.8,13.6,
53025,Washington,Grant,76.85429364,4.6340452249,5.4617158559,80.849833887,51.230554911,18.0,10.646023754,26.6,33.1,40.0,264.90582,71374,Low,65.645469828,44.869505564,1.0771538207,1.4248427122,44.178889343,2.8944856737,0.3720368531,50.669081984,25842,19.86117622,27.243882586,89.673062431,25.399410579,13.305137194,14.921505868,9.7869600215,15.3,13.8,5.3131816765
53027,Washington,Grays Harbor,74.643201978,4.7083497016,6.2432849706,77.336277174,48.431285904,19.1,5.4219830078,22.2,40.2,28.0,503.29926,65758,Low,72.610232806,39.114971707,1.3028852374,1.688446112,11.39992237,5.4625436667,0.4204942425,77.716392806,18104,14.719488603,47.861671068,88.729904609,17.582098227,16.895860778,13.86425648,2.2861225219,6.8,14.8,14.256198347
53029,Washington,Island,80.761204667,4.0269559031,5.3919015871,89.026845638,70.459157189,10.4,5.1405605067,14.8,31.0,39.0,328.05128,88451,High,74.646063779,47.780835166,2.9107306386,5.4632710075,8.8956379612,1.0687748502,0.5274322742,77.285636454,21191,8.5647063565,16.918456883,94.272284613,6.9958185912,13.73140442,15.754985755,1.0004608183,9.2,10.9,9.2842770911
53031,Washington,Jefferson,80.096422307,4.1168717314,5.8242549239,81.741573034,67.293729373,16.6,6.6965462818,14.7,29.4,28.0,530.9367,77856,High,79.691755385,53.258331564,1.0678056594,2.2156967432,4.579699828,1.8983211722,0.2521207807,87.379130332,6060,9.7251753847,27.028650369,90.375092845,5.4068667207,17.699763189,15.650209745,0.4865580636,8.0,10.9,
53033,Washington,King,81.056605929,3.4472362106,4.990478941,86.313703668,82.94318201,10.4,2.4562498659,13.3,29.1,2683.0,638.1582999999999,120672,High,56.087676772,3.2943483098,6.9804700226,22.200248307,11.136885946,1.0675888667,0.88078613,53.746400866,770513,5.730577201,30.573751706,94.771921618,6.084747582,8.9100847442,17.922886813,4.5654648903,10.2,7.2,5.3183221875
53035,Washington,Kitsap,79.536640666,3.8677425435,5.5361053448,82.839498018,72.563917187,9.7,7.8418419668,15.4,32.4,185.0,487.65027000000003,98894,High,70.149351134,17.571141936,2.8974493802,5.8586462483,9.6053418234,1.7914124571,1.0293238444,73.909629832,76075,7.431703436,20.7329523,94.796017303,11.583249471,10.980548325,14.27482734,0.9068000458,7.5,9.2,9.4442520776
