FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
55001,Wisconsin,Adams,75.932958939,4.4850628387,5.527580153,87.5,52.840764331,20.5,3.6511226093,23.7,33.6,2.0,74.59555,57944,Low,86.407870816,100.0,2.9791598676,0.6946710802,4.6995197911,1.2867732761,0.0652711082,89.30952492,3925,18.155283537,28.754452947,82.750507967,14.802065404,14.53953299,12.862834377,0.6405202996,7.8,16.9,
55003,Wisconsin,Ashland,74.005555442,4.604436922,5.6872949863,89.807692308,68.744662681,16.9,11.284832625,23.5,34.4,28.0,410.47328999999996,52158,Low,72.382065138,54.919822799,0.6779028547,0.7774115306,3.0412339076,11.213383917,0.0373157535,82.194166304,3513,15.463401766,54.666638632,80.327150577,12.944983819,17.783875106,11.849056604,0.2362824888,5.2,20.9,
55005,Wisconsin,Barron,77.645535394,4.2467832333,5.5386345609,91.605871886,64.299195391,11.3,6.000006171,23.3,33.8,47.0,102.49183,66507,Low,76.775608015,78.257797949,1.7252791835,0.7174428288,3.3608780134,1.2982298806,0.0149467256,91.798518139,10067,13.761912656,11.539682082,83.449752715,12.750859297,16.15297302,12.045334739,0.5823796303,6.7,18.2,3.7593984962
55007,Wisconsin,Bayfield,79.385057575,3.9478171018,5.5762103463,,73.732876712,15.9,10.276341769,20.2,33.9,7.0,238.53539,64339,Low,84.548378451,100.0,0.5903750969,0.5009243246,2.1587453038,9.5891227861,0.0357803089,85.228695808,2920,20.34268172,24.911770812,88.287322434,9.0444357059,19.169819037,12.567934783,0.1396825397,5.6,15.7,
55009,Wisconsin,Brown,78.727876589,3.9214878244,5.0614220406,91.663616956,69.801694939,10.5,5.723013174,21.9,31.5,187.0,261.95853999999997,77645,High,64.617952253,16.590012652,2.9721793403,3.7845823954,10.475025514,3.5664678336,0.0932145002,78.183385713,71153,7.5487568815,21.013706159,90.965822509,13.455863485,9.233145943,11.487426928,1.9558205377,7.3,16.5,6.014683101
55011,Wisconsin,Buffalo,81.717211683,3.9033681568,5.6355826147,93.541666667,62.061784103,12.2,5.4007113387,20.7,34.3,3.0,14.90424,73869,High,78.320449754,100.0,0.5589090096,0.4620314479,3.1075340934,0.5141962888,0.0149042403,94.463074745,2881,11.937318227,,86.17357695,6.0400151,,9.0990990991,0.4095133092,7.5,15.5,
55013,Wisconsin,Burnett,79.176721975,4.2798169932,5.5169650777,81.68452381,60.43956044,22.3,2.8966134355,23.8,34.2,3.0,111.16311999999999,67061,Low,85.297022718,100.0,0.8015445823,0.4797566113,2.0945471566,4.4348233092,0.0643575942,90.533582963,2912,27.098312678,20.268763808,83.095809228,14.492753623,,11.587982833,0.3344895937,5.7,21.2,
55015,Wisconsin,Calumet,81.220724035,3.5486435628,5.0942280463,95.21331058,74.708291477,5.2,3.6404442996,20.0,33.3,8.0,33.83522,86890,High,80.676996424,52.629571717,0.9868606553,2.7763679768,5.8309366717,0.7293370176,0.0733096487,88.45842967,12941,7.5984848058,12.864549162,91.79022646,6.4642340733,7.0391140102,9.3330075739,0.8256037102,8.2,15.6,
55017,Wisconsin,Chippewa,78.831804053,4.0423482791,5.3242099321,94.572213501,64.028393966,11.0,6.0795302918,21.4,33.7,48.0,101.538,76637,High,74.615124026,62.521682731,1.6007167388,1.4737942362,2.0218008063,0.6988203673,0.068687472,92.904285501,16905,10.117361392,15.624291237,89.016448978,8.681084374,13.447350566,11.533294953,0.7454992466,7.7,16.4,4.6948356808
55019,Wisconsin,Clark,76.817915527,4.5142153003,5.5864492643,94.304812834,44.349530878,15.9,6.850128581,24.9,32.9,7.0,63.26566,66994,Low,77.915222187,100.0,0.4629895899,0.5550123656,6.3035601311,0.9144763329,0.0488870996,91.203197791,7141,20.586636802,12.481158251,77.907343208,12.405548664,9.2144667127,13.542494043,2.31420508,7.5,19.6,11.385658915
