FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001,West Virginia,Barbour,72.048230912,5.9525598948,7.0413251821,92.5,33.081342607,25.1,5.2718824224,33.3,44.2,5.0,123.55313000000001,51353,Low,79.305058763,100.0,1.3981011835,0.3186370139,1.1965145012,0.7738327481,0.0195083886,94.3490701,3307,25.5214292,38.034061615,82.507238971,21.872060207,21.170082937,9.2863284609,0.0407664085,6.2,25.1,
54003,West Virginia,Berkeley,73.25304764,4.5094063944,6.4136208803,97.0,59.365537539,13.5,10.788941573,25.6,36.4,53.0,207.64120000000003,78995,High,75.396889681,32.425702022,8.0247659317,1.4104500151,6.6777408638,0.3669586228,0.0528541226,80.322410148,35337,15.431677435,77.313309539,90.999109023,18.11536628,14.007016538,11.656703672,0.4590252464,7.5,16.5,10.970125281
54005,West Virginia,Boone,68.870466508,5.8627094582,7.1131628862,91.0,51.229508197,25.3,3.2884611873,35.3,44.0,7.0,43.74028,48034,Low,79.110717,100.0,0.8359253499,0.1555209953,0.7533048212,0.1701010886,0.0097200622,97.166601866,4636,19.090502146,108.94450146,86.306055232,39.516503952,24.357569115,9.5907928389,0.4095933675,7.0,25.4,
54007,West Virginia,Braxton,73.540831923,6.061577256,6.8634949908,97.5,32.219397021,24.3,9.4537935541,33.7,44.0,6.0,98.66797999999999,50038,Low,79.252060004,100.0,0.7811215261,0.3124486104,0.7482321987,0.5755632297,0.0164446637,96.357506989,2753,28.454599106,68.180626213,78.259032326,20.797227036,28.709579934,7.7262693157,0.0,6.4,25.0,
54009,West Virginia,Brooke,73.082235547,5.1981001618,6.7349218619,90.0,61.320146205,17.5,4.8097476715,28.5,45.7,5.0,46.788,49187,Low,73.370774611,41.62861829,1.6141861227,0.6597108501,1.5159313152,0.2432976185,0.0280728021,94.408833575,4651,9.0259108111,68.653027599,82.939493483,17.186067828,11.851689777,7.3394495413,0.7571097336,8.2,20.8,
54011,West Virginia,Cabell,69.468349412,5.5822187709,7.3505157329,86.0,67.993471756,23.9,2.9962095819,31.7,42.5,157.0,385.52594,55031,High,63.506055496,22.028616852,4.7826936861,1.2543168046,1.8059990009,0.2421754523,0.0184618058,89.300840555,22058,11.01168309,131.77934521,84.020644898,17.095579833,16.418020073,15.114213198,0.2716099681,6.8,22.1,6.3020439061
54013,West Virginia,Calhoun,71.477695637,6.2744527509,7.316581783,,33.669511249,24.6,13.381140199,38.1,43.5,4.0,50.34402,45793,Low,82.35048097,100.0,0.4698774962,0.2349387481,0.9397549924,0.4530961571,0.0503440175,96.861889579,1289,26.973752464,,72.772898369,23.470243085,,6.2761506276,0.0,6.8,27.0,
54015,West Virginia,Clay,69.324251984,5.905393101,7.0864929044,97.5,38.854805726,30.5,9.8604286501,32.7,44.0,,102.78813,45291,Low,78.952702703,100.0,0.5396376718,0.12848516,0.8736990878,0.3854554799,0.038545548,96.620840293,1467,39.108995069,83.170457853,83.445945946,36.991368681,38.847209071,11.744386874,0.0,6.6,25.8,
54017,West Virginia,Doddridge,76.751630519,5.6553192881,6.6829583602,97.5,37.363777893,20.2,1.1874640036,31.0,44.8,1.0,13.02083,56985,High,88.488612836,100.0,2.8645833333,0.5338541667,1.0026041667,0.4557291667,0.0260416667,93.4765625,1927,,,81.904761905,38.327526132,24.597220514,4.9783549784,0.0,6.8,22.6,
54019,West Virginia,Fayette,69.797626924,5.8021262103,6.982176927,89.0,53.977518374,22.4,6.0266298573,34.7,48.2,16.0,89.57821,49739,Low,75.696815445,62.951985774,3.9030507781,0.3403972154,1.4281326781,0.2917690418,0.0153562654,92.183660934,9252,17.303151209,99.608153051,80.905084114,33.049315776,12.083131948,10.546258289,0.0315208826,6.8,25.3,
