FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001,Wyoming,Albany,78.535386946,3.8717218754,5.502409394,86.0,85.310344828,12.0,9.2184036406,21.4,32.0,30,616.88057,59633,Low,49.358781384,12.96336265,1.2468306454,3.7666309434,10.630734245,1.212849936,0.151606242,81.430849256,10150,8.9332906521,12.217577603,89.565898007,4.9738444387,17.701879523,21.792069934,0.5582115124,6.4,15.5,
56003,Wyoming,Big Horn,76.081342006,3.8914761975,5.4507748966,78.475103734,58.783008037,15.7,5.6659291065,21.7,31.9,4,166.41704,60818,Low,77.209088823,100.0,0.7821600932,0.6407056083,9.6854717923,1.9304376768,0.0582459644,86.511898818,2613,24.200183921,,86.504475557,10.309278351,22.134064325,8.896797153,1.4216303761,5.2,16.3,
56005,Wyoming,Campbell,76.540719529,3.7094692799,4.7785899659,84.0,60.516442286,9.5,8.2444665121,24.4,34.3,26,246.32616000000002,89749,High,78.410425639,26.802194531,0.5894985052,0.7621373532,9.8909427765,1.8863952166,0.096846183,85.793086025,13593,15.25967387,14.985549649,92.426869512,22.514947683,19.77507996,10.674810937,0.6257110353,5.4,18.5,
56007,Wyoming,Carbon,75.774670843,4.1351579574,4.90202987,75.423976608,60.45587066,13.0,18.976654138,25.8,32.9,8,286.03321,67773,Low,76.771452846,47.031712183,1.1162271522,1.1371564113,17.734058881,2.0650202316,0.1046462955,76.998744244,3773,23.901944662,25.055806114,91.248937978,27.639971651,29.861686099,10.109519798,0.9255210611,4.6,17.4,
56009,Wyoming,Converse,77.238739694,4.0411877818,5.4254221385,86.903409091,63.859338061,13.2,2.8794243922,25.1,34.0,8,253.45789,77224,High,78.307341861,52.745254891,0.5576073575,0.6879571294,8.5017017887,1.4990223767,0.0724165399,87.877471214,3384,12.406434804,31.505986137,81.443840897,18.090452261,24.73662767,5.8562555457,1.0174757282,4.5,18.6,
56011,Wyoming,Crook,76.790998092,3.5309170441,4.8832957307,92.5,71.2,9.1,5.7133538402,22.0,31.4,3,52.687039999999996,77897,High,75.959875476,100.0,0.8956796628,0.3292939937,2.4367755532,1.1327713383,0.0922023182,93.861959958,1500,21.046992193,,86.129367001,18.467852257,26.745119016,13.475177305,0.6702608189,5.3,17.4,
56013,Wyoming,Fremont,70.518910676,4.1263403149,5.4688220262,64.829787234,59.320934256,18.1,5.9302506509,23.1,32.5,32,281.30102,64170,Low,70.688723835,53.583626446,0.602787894,0.6052995102,7.3188496798,21.288459123,0.0753484868,70.141906317,9248,30.690130776,33.862433862,86.684672519,31.685393258,26.407064906,13.526570048,0.1939237233,7.3,18.6,12.999540652
56015,Wyoming,Goshen,75.842428275,3.6588705264,5.0644152723,82.5,71.20636018,15.6,5.8550921478,22.6,32.4,10,624.90112,63191,Low,74.055016822,48.503760602,1.1548805569,0.8068343617,10.164530929,1.7639613985,0.0711912672,85.722195855,2893,22.903510781,,80.724322185,15.09054326,,8.9717741935,0.2791878173,5.6,15.3,
56017,Wyoming,Hot Springs,73.044923681,4.036075232,5.3353991664,,70.582329317,15.5,2.3721368019,23.3,31.9,5,321.81935,60811,Low,72.631072631,100.0,0.9440034327,0.6650933276,5.1062003862,2.4887363227,0.1072731174,89.272688264,996,,,89.321789322,18.626309662,44.290902649,5.51558753,0.1836125775,4.3,16.2,
56019,Wyoming,Johnson,79.342486328,3.9782869797,5.1116818848,92.5,68.202247191,9.2,11.26850353,20.7,31.3,13,319.6712,66100,Low,79.586629242,46.537232153,0.6850097043,0.844845302,4.3840621075,1.8266925448,0.0456673136,91.231875785,1780,16.720171215,,87.700944118,11.166253102,30.341222051,10.326797386,0.0,4.1,13.8,
