Year,Month,Day,date,Time (CST),State,Magnitude (0-5),Injuries,Fatalities,Property Loss ($) [0=unk],Crop Loss ($) [0=unk],Latitude,Longitude,Length of track (miles),Width of track (yards)
2020,10,10,10/10/20,4:01:00,AL,0,0,0,0,0,30.4803,-88.2508,0.08,25
2020,10,10,10/10/20,5:40:00,WA,1,0,0,0,0,47.3688,-123.9473,0.5,30
2020,10,10,10/10/20,14:34:00,GA,1,0,0,250000,0,33.587,-83.877,1.44,75
2020,10,10,10/10/20,15:14:00,AL,0,0,0,0,0,32.9462,-85.3531,0.67,125
2020,10,10,10/10/20,16:12:00,GA,0,0,0,100000,0,33.365,-84.811,0.35,90
2020,10,10,10/10/20,16:18:00,GA,0,0,0,50000,0,33.402,-84.793,0.96,90
2020,10,10,10/10/20,16:27:00,GA,0,0,0,50000,0,33.1031,-84.4262,2.13,200
2020,10,10,10/10/20,17:45:00,GA,0,0,0,40000,0,33.564,-84.3056,0.56,150
2020,10,10,10/10/20,18:16:00,GA,0,0,0,250000,0,33.7263,-84.2122,1.68,250
2020,10,10,10/10/20,18:43:00,GA,0,0,0,100000,0,33.9028,-84.0983,0.66,200
2020,10,11,10/11/20,13:20:00,SC,1,0,0,30000,0,34.3643,-79.5002,0.5,40
2020,10,11,10/11/20,14:19:00,SC,1,1,0,150000,0,33.8767,-79.0725,0.3,30
2020,10,11,10/11/20,14:31:00,SC,0,0,0,20000,0,33.8148,-79.0196,2.27,20
2020,10,11,10/11/20,15:51:00,NC,1,0,0,60000,0,34.1129,-78.6586,5.49,30
2020,10,23,10/23/20,14:18:00,KY,unk,0,0,0,0,36.9407,-88.7891,0.35,30
2020,10,28,10/28/20,17:09:00,MS,1,0,0,30000,0,33.1392,-88.5032,5,150
2020,10,7,10/7/20,13:14:00,NY,0,0,0,15000,2000,42.9012,-74.6256,0.11,20
2020,10,7,10/7/20,15:50:00,MA,0,0,0,6000,0,42.1842,-71.3733,0.53,50
2020,10,9,10/9/20,15:34:00,MS,0,0,0,2000,0,31.4343,-90.7235,0.73,100
2020,11,10,11/10/20,13:45:00,IL,1,0,0,0,0,41.1699,-90.8965,20.34,50
2020,11,10,11/10/20,14:02:00,IL,1,0,0,0,0,41.1233,-90.6691,0.54,30
2020,11,10,11/10/20,14:20:00,OR,0,0,0,40000,0,45.86,-122.85,1.7,200
