"","PlayerShort","Height","Weight","Position1","Club","Country","Rater1","Rater2","Rater","Skintone","Position","Games","Victories","Ties","Defeats","Goals","YellowCards","YellowReds","RedCards","RedCardsRate"
"1","joshua-king",180,74,"Center Forward","Blackburn Rovers","England",0.5,0.75,0.625,"dark","Att",106,40,28,38,11,4,0,0,0
"2","florent-malouda",181,73,"Left Winger","Chelsea FC","England",0.5,0.75,0.625,"dark","Att",604,338,137,129,105,64,3,0,0
"3","ricardo-vaz-te",188,79,"Left Winger","West Ham United","England",0.5,0.75,0.625,"dark","Att",187,64,46,77,42,13,0,0,0
"4","jimmy-briand",180,74,"Center Forward","Olympique Lyon","France",0.5,0.75,0.625,"dark","Att",333,142,95,96,65,42,0,0,0
"5","loic-remy",184,66,"Right Winger","Olympique Marseille","France",0.5,0.75,0.625,"dark","Att",259,104,73,82,89,14,0,3,0.0115830115830116
"6","alexandre-alphonse",176,70,"Right Winger","Stade Brest","France",0.5,0.75,0.625,"dark","Att",229,111,53,65,68,33,0,2,0.00873362445414847
"7","maxim-choupo-moting",190,84,"Center Forward","1. FSV Mainz 05","Germany",0.5,0.75,0.625,"dark","Att",196,73,49,74,39,7,0,0,0
"8","youssef-el-arabi",180,75,"Center Forward","Granada CF","Spain",0.5,0.75,0.625,"dark","Att",159,52,47,60,57,15,0,0,0
"9","juanfran_4",179,72,"Right Winger","Real Madrid","Spain",0.5,0.75,0.625,"dark","Att",92,31,18,43,4,5,0,0,0
"10","gervinho",179,68,"Right Winger","Arsenal FC","England",0.75,0.75,0.75,"dark","Att",341,157,83,101,88,32,0,2,0.00586510263929619
"11","christian-benteke",190,83,"Center Forward","Aston Villa","England",0.75,0.75,0.75,"dark","Att",216,92,46,78,84,21,1,3,0.0138888888888889
"12","daniel-sturridge",188,76,"Center Forward","Chelsea FC","England",0.75,0.75,0.75,"dark","Att",216,106,47,63,81,10,0,1,0.00462962962962963
"13","victor-anichebe",185,77,"Center Forward","Everton FC","England",0.75,0.75,0.75,"dark","Att",200,86,57,57,30,16,1,0,0
"14","scott-sinclair",177,64,"Left Winger","Manchester City","England",0.75,0.75,0.75,"dark","Att",215,86,52,77,47,5,0,0,0
"15","antonio-valencia_2",175,70,"Right Winger","Manchester United","England",0.75,0.75,0.75,"dark","Att",344,171,68,105,36,48,3,3,0.00872093023255814
"16","jason-roberts",186,89,"Center Forward","Reading FC","England",0.75,0.75,0.75,"dark","Att",347,138,82,127,93,39,2,5,0.0144092219020173
"17","cameron-jerome",185,85,"Center Forward","Stoke City","England",0.75,0.75,0.75,"dark","Att",380,134,103,143,81,38,1,1,0.00263157894736842
"18","frazier-campbell",172,82,"Center Forward","Sunderland AFC","England",0.75,0.75,0.75,"dark","Att",194,74,47,73,45,21,1,0,0
"19","jermain-defoe",170,65,"Center Forward","Tottenham Hotspur","England",0.75,0.75,0.75,"dark","Att",563,256,133,174,225,52,2,3,0.00532859680284192
