class,surv,sex,age
first,yes,female,adult
first,yes,male,child
first,no,female,child
first,no,male,adult
first,no,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,yes,female,child
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,child
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,
first,no,male,adult
first,no,male,adult
first,no,male,
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,no,male,
first,yes,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,no,male,adult
first,no,male,child
first,yes,male,child
first,yes,female,child
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,male,adult
first,yes,female,child
first,yes,male,adult
first,yes,male,child
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,female,adult
first,no,male,
first,yes,female,
first,yes,female,
first,yes,male,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,child
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,
first,yes,male,adult
first,yes,male,adult
first,yes,female,
first,yes,female,adult
first,yes,male,adult
first,yes,female,adult
first,no,male,
first,no,male,adult
first,yes,female,adult
first,no,male,adult
first,yes,female,adult
first,yes,female,adult
first,yes,female,adult
first,no,male,adult
first,yes,male,adult
first,yes,female,
first,no,male,adult
first,yes,male,adult
