# name: UN Data for SDGs revisions2
# source: UN Data for SDGs revisions2.csv
# importDate: 2022-08-30T17:04:58.769Z
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true, formula: (`Medical Doctor Rate` * 10000)
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
Country,Boundary,Region,Average Life Expectancy,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Urban Living,Internet Users,Medical Doctor Rate,Total Count of Medical Doctors,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Forested Area,Share of Income Owned by Top 1%,Land Losing Ecological Productivity,Average GNP per Person,Youth Not in School or Employment,Immigrants
Afghanistan,[object Object],Asia,64.8,10.2,7.7,12.5,69.0,38.0,25.8,13.5,3,30000,6.7,83,0,2,..,8,"2,202",41.8,0.4
Albania,[object Object],Europe,78.6,14.7,15.5,14.0,19.6,2.9,61.2,71.8,12,120000,2.3,184,2,28,8,8,"13,962",30.3,1.7
Algeria,[object Object],Africa,76.9,14.6,14.8,14.4,10.1,43.1,73.2,59.6,17,170000,1.4,149,4,1,10,1,"11,350",21.1,0.6
Andorra,[object Object],Europe,81.9,13.3,..,..,..,0.1,88.0,91.6,33,330000,0.0,64,6,34,..,..,..,..,58.5
Angola,[object Object],Africa,61.2,11.8,11.0,12.7,150.5,31.8,66.2,14.3,2,20000,..,79,1,46,15,20,"6,654",9.6,2.1
Antigua and Barbuda,[object Object],Caribbean,77,12.8,13.2,12.1,42.8,0.1,24.5,76.0,30,300000,..,318,6,22,..,..,"21,908",..,30.1
Argentina,[object Object],South America,76.7,17.7,18.9,16.4,62.8,44.8,92.0,74.3,40,400000,5.3,194,4,10,..,39,"22,034",19.2,4.9
Armenia,[object Object],Asia,75.1,13.1,13.6,12.6,21.5,3.0,63.2,64.7,44,440000,1.7,77,2,12,..,2,"13,654",36.5,6.4
Australia,[object Object],Oceania,83.4,22,22.4,21.5,11.7,25.2,86.1,86.5,37,370000,0.9,173,17,16,9,..,"49,756",8.4,30
Austria,[object Object],Europe,81.5,16.1,16.4,15.8,7.3,9.0,58.5,87.7,52,520000,1.0,103,8,47,9,..,"56,352",6.3,19.9
Azerbaijan,[object Object],Asia,73,12.9,13.0,12.8,55.8,10.0,56.0,79.8,35,350000,2.2,220,4,14,..,..,"14,404",13,2.5
Bahamas,[object Object],Caribbean,73.9,12.9,..,..,30.0,0.4,83.1,85.0,20,200000,32.0,461,5,51,..,..,"35,783",22.9,16.2
Bahrain,[object Object],Asia,77.3,16.3,16.7,16.1,13.4,1.6,89.4,98.6,9,90000,0.5,233,20,1,18,..,"45,026",18,45.2
Bangladesh,[object Object],Asia,72.6,11.6,12.0,11.2,83.0,163.0,37.4,15.0,6,60000,2.4,52,1,11,..,65,"4,754",26.1,1.3
Barbados,[object Object],Caribbean,79.2,15.4,16.8,14.0,33.6,0.3,31.2,81.8,25,250000,9.8,296,5,15,..,..,"15,639",25.3,12.1
Belarus,[object Object],Europe,74.8,15.4,15.7,15.2,14.5,9.5,79.0,79.1,52,520000,2.4,344,7,43,..,1,"19,150",10.8,11.3
Belgium,[object Object],Europe,81.6,19.8,20.7,18.8,4.7,11.5,98.0,88.7,31,310000,1.7,88,9,23,8,11,"51,708",8.7,17.2
Belize,[object Object],Central America,74.6,13.1,13.4,12.8,68.5,0.4,45.9,47.1,11,110000,37.8,345,2,60,..,81,"7,005",26.9,15.4
Benin,[object Object],Africa,61.8,12.6,11.4,13.8,86.1,11.8,47.9,20.0,1,10000,1.1,70,1,38,18,53,"3,287",14.6,3.3
Bhutan,[object Object],Asia,71.8,13,13.5,12.8,20.2,0.8,41.6,48.1,4,40000,1.2,156,2,73,..,10,"11,345",28.8,7
Bolivia,[object Object],South America,71.5,14.2,14.2,14.2,64.9,11.5,69.8,43.8,16,160000,6.2,160,2,50,..,18,"8,724",11.2,1.4
Bosnia and Herzegovina,[object Object],Europe,77.4,13.8,14.1,13.5,9.6,3.3,48.6,70.1,22,220000,1.2,84,7,43,9,4,"14,895",21.2,1.1
Botswana,[object Object],Africa,69.6,12.8,13.0,12.7,46.1,2.3,70.2,47.0,5,50000,..,197,3,19,23,51,"17,766",34.8,4.8
Brazil,[object Object],South America,75.9,15.4,15.8,15.1,59.1,211.0,86.8,67.5,22,220000,27.4,344,2,59,28,27,"14,652",23.8,0.4
Brunei,[object Object],Asia,75.9,14.3,14.8,13.9,10.3,0.4,77.9,94.6,16,160000,0.5,136,19,72,..,..,"62,100",21,25.5
Bulgaria,[object Object],Europe,75.1,14.4,14.6,14.2,39.9,7.0,75.3,64.8,40,400000,1.3,94,6,35,13,..,"23,091",15.8,2.4
Burkina Faso,[object Object],Africa,61.6,9.3,9.1,9.4,104.3,20.3,30.0,16.0,1,10000,1.3,41,0,19,14,19,"2,190",23,3.5
Burundi,[object Object],Africa,61.6,11.1,11.0,11.1,55.6,11.5,13.4,2.7,1,10000,6.1,98,0,10.9,14.6,29,752,4,2.8
