# name: UN-dataset
# source: UN Data for SDGs revisions2.csv
# importDate: 2023-02-27T08:44:56.853Z
# description: undefined
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Boundary, type: boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
Country,Region,Average Life Expectancy,Internet Users,Total Count of Medical Doctors,Urban Living,Forested Area,Average GNP per Person,Share of Income Owned by Top 1%,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Medical Doctor Rate,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Land Losing Ecological Productivity,Youth Not in School or Employment,Immigrants,Boundary
Afghanistan,Asia,64.8,13.5,30000,25.8,2,"2,202",..,10.2,7.7,12.5,69.0,38.0,3,6.7,83,0,8,41.8,0.4,[object Object]
Albania,Europe,78.6,71.8,120000,61.2,28,"13,962",8,14.7,15.5,14.0,19.6,2.9,12,2.3,184,2,8,30.3,1.7,[object Object]
Algeria,Africa,76.9,59.6,170000,73.2,1,"11,350",10,14.6,14.8,14.4,10.1,43.1,17,1.4,149,4,1,21.1,0.6,[object Object]
Andorra,Europe,81.9,91.6,330000,88.0,34,..,..,13.3,..,..,..,0.1,33,0.0,64,6,..,..,58.5,[object Object]
Angola,Africa,61.2,14.3,20000,66.2,46,"6,654",15,11.8,11.0,12.7,150.5,31.8,2,..,79,1,20,9.6,2.1,[object Object]
Antigua and Barbuda,Caribbean,77,76.0,300000,24.5,22,"21,908",..,12.8,13.2,12.1,42.8,0.1,30,..,318,6,..,..,30.1,[object Object]
Argentina,South America,76.7,74.3,400000,92.0,10,"22,034",..,17.7,18.9,16.4,62.8,44.8,40,5.3,194,4,39,19.2,4.9,[object Object]
Armenia,Asia,75.1,64.7,440000,63.2,12,"13,654",..,13.1,13.6,12.6,21.5,3.0,44,1.7,77,2,2,36.5,6.4,[object Object]
Australia,Oceania,83.4,86.5,370000,86.1,16,"49,756",9,22,22.4,21.5,11.7,25.2,37,0.9,173,17,..,8.4,30,[object Object]
Austria,Europe,81.5,87.7,520000,58.5,47,"56,352",9,16.1,16.4,15.8,7.3,9.0,52,1.0,103,8,..,6.3,19.9,[object Object]
Azerbaijan,Asia,73,79.8,350000,56.0,14,"14,404",..,12.9,13.0,12.8,55.8,10.0,35,2.2,220,4,..,13,2.5,[object Object]
Bahamas,Caribbean,73.9,85.0,200000,83.1,51,"35,783",..,12.9,..,..,30.0,0.4,20,32.0,461,5,..,22.9,16.2,[object Object]
Bahrain,Asia,77.3,98.6,90000,89.4,1,"45,026",18,16.3,16.7,16.1,13.4,1.6,9,0.5,233,20,..,18,45.2,[object Object]
Bangladesh,Asia,72.6,15.0,60000,37.4,11,"4,754",..,11.6,12.0,11.2,83.0,163.0,6,2.4,52,1,65,26.1,1.3,[object Object]
Barbados,Caribbean,79.2,81.8,250000,31.2,15,"15,639",..,15.4,16.8,14.0,33.6,0.3,25,9.8,296,5,..,25.3,12.1,[object Object]
Belarus,Europe,74.8,79.1,520000,79.0,43,"19,150",..,15.4,15.7,15.2,14.5,9.5,52,2.4,344,7,1,10.8,11.3,[object Object]
Belgium,Europe,81.6,88.7,310000,98.0,23,"51,708",8,19.8,20.7,18.8,4.7,11.5,31,1.7,88,9,11,8.7,17.2,[object Object]
Belize,Central America,74.6,47.1,110000,45.9,60,"7,005",..,13.1,13.4,12.8,68.5,0.4,11,37.8,345,2,81,26.9,15.4,[object Object]
Benin,Africa,61.8,20.0,10000,47.9,38,"3,287",18,12.6,11.4,13.8,86.1,11.8,1,1.1,70,1,53,14.6,3.3,[object Object]
Bhutan,Asia,71.8,48.1,40000,41.6,73,"11,345",..,13,13.5,12.8,20.2,0.8,4,1.2,156,2,10,28.8,7,[object Object]
Bolivia,South America,71.5,43.8,160000,69.8,50,"8,724",..,14.2,14.2,14.2,64.9,11.5,16,6.2,160,2,18,11.2,1.4,[object Object]
Bosnia and Herzegovina,Europe,77.4,70.1,220000,48.6,43,"14,895",9,13.8,14.1,13.5,9.6,3.3,22,1.2,84,7,4,21.2,1.1,[object Object]
Botswana,Africa,69.6,47.0,50000,70.2,19,"17,766",23,12.8,13.0,12.7,46.1,2.3,5,..,197,3,51,34.8,4.8,[object Object]
Brazil,South America,75.9,67.5,220000,86.8,59,"14,652",28,15.4,15.8,15.1,59.1,211.0,22,27.4,344,2,27,23.8,0.4,[object Object]
Brunei,Asia,75.9,94.6,160000,77.9,72,"62,100",..,14.3,14.8,13.9,10.3,0.4,16,0.5,136,19,..,21,25.5,[object Object]
Bulgaria,Europe,75.1,64.8,400000,75.3,35,"23,091",13,14.4,14.6,14.2,39.9,7.0,40,1.3,94,6,..,15.8,2.4,[object Object]
Burkina Faso,Africa,61.6,16.0,10000,30.0,19,"2,190",14,9.3,9.1,9.4,104.3,20.3,1,1.3,41,0,19,23,3.5,[object Object]
